Gmag,G_BPmag,G_RPmag,logAge,MH
14.483,17.293,13.048,10.04532,-0.80000
14.402,17.150,12.976,10.04532,-0.80000
13.714,15.946,12.365,10.04532,-0.80000
12.782,14.459,11.549,10.04532,-0.80000
12.178,13.606,11.016,10.04532,-0.80000
11.738,13.034,10.622,10.04532,-0.80000
11.102,12.265,10.038,10.04532,-0.80000
10.521,11.596,9.495,10.04532,-0.80000
10.075,11.094,9.075,10.04532,-0.80000
9.703,10.680,8.724,10.04532,-0.80000
9.311,10.240,8.358,10.04532,-0.80000
9.112,10.013,8.173,10.04532,-0.80000
8.866,9.735,7.946,10.04532,-0.80000
8.580,9.405,7.685,10.04532,-0.80000
8.364,9.156,7.488,10.04532,-0.80000
7.790,8.477,6.981,10.04532,-0.80000
7.184,7.751,6.462,10.04532,-0.80000
7.147,7.708,6.430,10.04532,-0.80000
6.628,7.107,5.978,10.04532,-0.80000
6.521,6.985,5.885,10.04532,-0.80000
6.322,6.759,5.710,10.04532,-0.80000
6.140,6.555,5.550,10.04532,-0.80000
6.102,6.511,5.515,10.04532,-0.80000
6.053,6.457,5.472,10.04532,-0.80000
5.887,6.274,5.323,10.04532,-0.80000
5.732,6.102,5.184,10.04532,-0.80000
5.592,5.948,5.058,10.04532,-0.80000
5.588,5.944,5.055,10.04532,-0.80000
5.460,5.804,4.939,10.04532,-0.80000
5.338,5.671,4.828,10.04532,-0.80000
5.219,5.543,4.719,10.04532,-0.80000
5.101,5.416,4.611,10.04532,-0.80000
5.055,5.366,4.568,10.04532,-0.80000
5.042,5.353,4.556,10.04532,-0.80000
4.903,5.206,4.426,10.04532,-0.80000
4.771,5.067,4.302,10.04532,-0.80000
4.640,4.931,4.178,10.04532,-0.80000
4.511,4.797,4.054,10.04532,-0.80000
4.424,4.707,3.971,10.04532,-0.80000
4.336,4.616,3.885,10.04532,-0.80000
4.198,4.476,3.750,10.04532,-0.80000
4.165,4.443,3.718,10.04532,-0.80000
4.112,4.390,3.665,10.04532,-0.80000
4.004,4.282,3.556,10.04532,-0.80000
3.872,4.153,3.420,10.04532,-0.80000
3.823,4.106,3.369,10.04532,-0.80000
3.733,4.023,3.272,10.04532,-0.80000
3.631,3.931,3.157,10.04532,-0.80000
3.551,3.868,3.058,10.04532,-0.80000
3.509,3.844,2.997,10.04532,-0.80000
