Gmag,G_BPmag,G_RPmag,logAge,MH
14.983,17.344,13.616,10.11394,-1.80000
14.373,16.295,13.080,10.11394,-1.80000
13.963,15.679,12.716,10.11394,-1.80000
13.152,14.646,11.966,10.11394,-1.80000
12.659,14.072,11.498,10.11394,-1.80000
12.278,13.645,11.133,10.11394,-1.80000
11.703,13.014,10.578,10.11394,-1.80000
11.180,12.445,10.071,10.11394,-1.80000
10.779,12.008,9.684,10.11394,-1.80000
10.449,11.646,9.366,10.11394,-1.80000
10.102,11.263,9.034,10.11394,-1.80000
9.671,10.775,8.627,10.11394,-1.80000
9.193,10.230,8.178,10.11394,-1.80000
8.645,9.622,7.659,10.11394,-1.80000
8.106,9.016,7.155,10.11394,-1.80000
8.042,8.944,7.095,10.11394,-1.80000
7.926,8.814,6.987,10.11394,-1.80000
7.819,8.693,6.887,10.11394,-1.80000
7.719,8.581,6.794,10.11394,-1.80000
7.622,8.472,6.704,10.11394,-1.80000
7.550,8.391,6.636,10.11394,-1.80000
7.513,8.350,6.602,10.11394,-1.80000
7.388,8.212,6.485,10.11394,-1.80000
7.265,8.077,6.369,10.11394,-1.80000
7.146,7.947,6.256,10.11394,-1.80000
7.031,7.822,6.147,10.11394,-1.80000
6.934,7.717,6.055,10.11394,-1.80000
6.894,7.674,6.017,10.11394,-1.80000
6.773,7.545,5.902,10.11394,-1.80000
6.663,7.427,5.796,10.11394,-1.80000
6.549,7.306,5.686,10.11394,-1.80000
6.426,7.177,5.567,10.11394,-1.80000
6.270,7.014,5.416,10.11394,-1.80000
6.108,6.847,5.258,10.11394,-1.80000
6.034,6.771,5.185,10.11394,-1.80000
5.939,6.673,5.091,10.11394,-1.80000
5.839,6.572,4.993,10.11394,-1.80000
5.804,6.537,4.958,10.11394,-1.80000
5.657,6.392,4.809,10.11394,-1.80000
5.528,6.267,4.676,10.11394,-1.80000
5.503,6.244,4.651,10.11394,-1.80000
5.475,6.218,4.622,10.11394,-1.80000
5.372,6.123,4.512,10.11394,-1.80000
5.278,6.041,4.411,10.11394,-1.80000
5.190,5.968,4.315,10.11394,-1.80000
5.111,5.903,4.225,10.11394,-1.80000
5.036,5.844,4.142,10.11394,-1.80000
4.961,5.785,4.058,10.11394,-1.80000
4.881,5.718,3.969,10.11394,-1.80000
4.779,5.629,3.860,10.11394,-1.80000
4.681,5.540,3.757,10.11394,-1.80000
4.606,5.470,3.679,10.11394,-1.80000
4.569,5.435,3.640,10.11394,-1.80000
4.463,5.334,3.532,10.11394,-1.80000
4.339,5.214,3.405,10.11394,-1.80000
4.226,5.105,3.290,10.11394,-1.80000
4.112,4.994,3.174,10.11394,-1.80000
3.987,4.872,3.047,10.11394,-1.80000
3.863,4.751,2.921,10.11394,-1.80000
3.742,4.633,2.799,10.11394,-1.80000
3.627,4.522,2.683,10.11394,-1.80000
3.505,4.403,2.559,10.11394,-1.80000
3.377,4.278,2.429,10.11394,-1.80000
3.260,4.164,2.310,10.11394,-1.80000
3.143,4.050,2.192,10.11394,-1.80000
3.023,3.934,2.070,10.11394,-1.80000
2.907,3.821,1.952,10.11394,-1.80000
2.786,3.703,1.829,10.11394,-1.80000
2.669,3.590,1.711,10.11394,-1.80000
2.556,3.481,1.596,10.11394,-1.80000
2.438,3.366,1.475,10.11394,-1.80000
2.321,3.253,1.356,10.11394,-1.80000
2.208,3.145,1.241,10.11394,-1.80000
2.096,3.037,1.127,10.11394,-1.80000
1.978,2.924,1.007,10.11394,-1.80000
1.867,2.817,0.893,10.11394,-1.80000
1.755,2.710,0.779,10.11394,-1.80000
1.641,2.601,0.662,10.11394,-1.80000
1.534,2.499,0.553,10.11394,-1.80000
1.427,2.396,0.443,10.11394,-1.80000
1.320,2.294,0.334,10.11394,-1.80000
1.258,2.236,0.271,10.11394,-1.80000
1.280,2.255,0.293,10.11394,-1.80000
1.261,2.238,0.274,10.11394,-1.80000
1.156,2.138,0.166,10.11394,-1.80000
1.053,2.041,0.060,10.11394,-1.80000
0.948,1.941,-0.048,10.11394,-1.80000
0.853,1.852,-0.145,10.11394,-1.80000
0.756,1.761,-0.245,10.11394,-1.80000
0.662,1.673,-0.342,10.11394,-1.80000
0.568,1.585,-0.439,10.11394,-1.80000
0.474,1.498,-0.536,10.11394,-1.80000
0.362,1.396,-0.651,10.11394,-1.80000
0.273,1.315,-0.745,10.11394,-1.80000
0.167,1.219,-0.855,10.11394,-1.80000
0.061,1.125,-0.965,10.11394,-1.80000
-0.046,1.029,-1.078,10.11394,-1.80000
-0.141,0.946,-1.178,10.11394,-1.80000
-0.243,0.857,-1.285,10.11394,-1.80000
-0.339,0.776,-1.386,10.11394,-1.80000
-0.433,0.696,-1.486,10.11394,-1.80000
-0.525,0.619,-1.584,10.11394,-1.80000
-0.610,0.545,-1.674,10.11394,-1.80000
-0.698,0.472,-1.767,10.11394,-1.80000
-0.779,0.404,-1.853,10.11394,-1.80000
-0.859,0.337,-1.938,10.11394,-1.80000
-0.942,0.268,-2.026,10.11394,-1.80000
-1.014,0.208,-2.104,10.11394,-1.80000
-1.094,0.142,-2.189,10.11394,-1.80000
-1.168,0.081,-2.268,10.11394,-1.80000
-1.240,0.024,-2.345,10.11394,-1.80000
-1.313,-0.035,-2.422,10.11394,-1.80000
-1.380,-0.088,-2.495,10.11394,-1.80000
-1.453,-0.146,-2.572,10.11394,-1.80000
2.547,3.110,1.824,10.11394,-1.80000
2.504,3.079,1.772,10.11394,-1.80000
2.476,3.058,1.738,10.11394,-1.80000
2.477,3.057,1.740,10.11394,-1.80000
2.479,3.057,1.744,10.11394,-1.80000
2.482,3.057,1.748,10.11394,-1.80000
2.485,3.058,1.753,10.11394,-1.80000
2.487,3.058,1.757,10.11394,-1.80000
2.490,3.059,1.761,10.11394,-1.80000
2.492,3.059,1.765,10.11394,-1.80000
2.493,3.059,1.767,10.11394,-1.80000
2.493,3.058,1.768,10.11394,-1.80000
2.492,3.057,1.766,10.11394,-1.80000
2.489,3.056,1.762,10.11394,-1.80000
2.484,3.053,1.755,10.11394,-1.80000
2.482,3.052,1.752,10.11394,-1.80000
2.478,3.051,1.746,10.11394,-1.80000
2.469,3.047,1.733,10.11394,-1.80000
2.458,3.043,1.717,10.11394,-1.80000
2.446,3.038,1.699,10.11394,-1.80000
2.431,3.033,1.676,10.11394,-1.80000
2.416,3.029,1.653,10.11394,-1.80000
2.399,3.025,1.627,10.11394,-1.80000
2.389,3.022,1.612,10.11394,-1.80000
2.372,3.018,1.584,10.11394,-1.80000
2.354,3.013,1.557,10.11394,-1.80000
2.336,3.009,1.529,10.11394,-1.80000
2.323,3.006,1.509,10.11394,-1.80000
2.311,3.004,1.489,10.11394,-1.80000
2.293,3.000,1.462,10.11394,-1.80000
2.273,2.996,1.431,10.11394,-1.80000
2.254,2.993,1.403,10.11394,-1.80000
2.236,2.989,1.375,10.11394,-1.80000
2.217,2.983,1.348,10.11394,-1.80000
2.193,2.973,1.316,10.11394,-1.80000
2.191,2.973,1.313,10.11394,-1.80000
2.162,2.957,1.274,10.11394,-1.80000
2.120,2.930,1.224,10.11394,-1.80000
2.046,2.875,1.138,10.11394,-1.80000
1.956,2.804,1.037,10.11394,-1.80000
1.860,2.726,0.931,10.11394,-1.80000
1.760,2.642,0.822,10.11394,-1.80000
1.664,2.559,0.720,10.11394,-1.80000
1.604,2.506,0.656,10.11394,-1.80000
1.503,2.414,0.549,10.11394,-1.80000
1.406,2.326,0.447,10.11394,-1.80000
1.319,2.246,0.357,10.11394,-1.80000
1.239,2.173,0.274,10.11394,-1.80000
1.155,2.094,0.186,10.11394,-1.80000
1.210,2.145,0.243,10.11394,-1.80000
1.283,2.213,0.320,10.11394,-1.80000
1.236,2.170,0.270,10.11394,-1.80000
1.154,2.095,0.185,10.11394,-1.80000
1.055,2.005,0.082,10.11394,-1.80000
0.950,1.908,-0.027,10.11394,-1.80000
0.846,1.811,-0.136,10.11394,-1.80000
0.743,1.717,-0.242,10.11394,-1.80000
0.641,1.622,-0.348,10.11394,-1.80000
0.539,1.528,-0.454,10.11394,-1.80000
0.438,1.435,-0.558,10.11394,-1.80000
0.338,1.343,-0.663,10.11394,-1.80000
0.236,1.250,-0.769,10.11394,-1.80000
0.134,1.158,-0.876,10.11394,-1.80000
0.031,1.067,-0.983,10.11394,-1.80000
-0.070,0.977,-1.090,10.11394,-1.80000
-0.171,0.889,-1.196,10.11394,-1.80000
-0.272,0.802,-1.303,10.11394,-1.80000
-0.374,0.715,-1.411,10.11394,-1.80000
-0.473,0.632,-1.517,10.11394,-1.80000
-0.573,0.550,-1.623,10.11394,-1.80000
-0.669,0.473,-1.728,10.11394,-1.80000
-0.765,0.396,-1.830,10.11394,-1.80000
-0.865,0.314,-1.937,10.11394,-1.80000
-0.965,0.233,-2.045,10.11394,-1.80000
-0.976,0.224,-2.057,10.11394,-1.80000
-1.053,0.161,-2.139,10.11394,-1.80000
-1.139,0.092,-2.232,10.11394,-1.80000
-1.224,0.025,-2.323,10.11394,-1.80000
-1.232,0.018,-2.332,10.11394,-1.80000
-1.350,-0.058,-2.465,10.11394,-1.80000
-0.886,0.310,-1.965,10.11394,-1.80000
-0.530,0.595,-1.582,10.11394,-1.80000
-0.042,1.003,-1.060,10.11394,-1.80000
-0.056,0.991,-1.076,10.11394,-1.80000
-0.288,0.796,-1.323,10.11394,-1.80000
-0.712,0.454,-1.780,10.11394,-1.80000
-1.069,0.168,-2.165,10.11394,-1.80000
-1.300,-0.009,-2.415,10.11394,-1.80000
-1.426,-0.101,-2.552,10.11394,-1.80000
-1.489,-0.143,-2.622,10.11394,-1.80000
-1.527,-0.166,-2.665,10.11394,-1.80000
32.171,32.610,31.554,10.11394,-1.80000
