Gmag,G_BPmag,G_RPmag,logAge,MH
14.935,17.204,13.582,9.97772,-1.90000
14.552,16.551,13.244,9.97772,-1.90000
13.881,15.536,12.649,9.97772,-1.90000
13.078,14.532,11.905,9.97772,-1.90000
12.595,13.975,11.446,9.97772,-1.90000
12.224,13.560,11.090,9.97772,-1.90000
11.655,12.938,10.539,9.97772,-1.90000
11.128,12.368,10.029,9.97772,-1.90000
10.723,11.926,9.637,9.97772,-1.90000
10.389,11.562,9.316,9.97772,-1.90000
10.067,11.208,9.006,9.97772,-1.90000
9.792,10.899,8.746,9.97772,-1.90000
9.664,10.756,8.625,9.97772,-1.90000
9.220,10.256,8.206,9.97772,-1.90000
8.723,9.704,7.735,9.97772,-1.90000
8.232,9.153,7.274,9.97772,-1.90000
8.142,9.051,7.191,9.97772,-1.90000
8.014,8.907,7.072,9.97772,-1.90000
7.868,8.742,6.936,9.97772,-1.90000
7.739,8.596,6.817,9.97772,-1.90000
7.701,8.553,6.781,9.97772,-1.90000
7.564,8.399,6.654,9.97772,-1.90000
7.440,8.261,6.538,9.97772,-1.90000
7.317,8.124,6.422,9.97772,-1.90000
7.248,8.049,6.358,9.97772,-1.90000
7.141,7.932,6.258,9.97772,-1.90000
7.008,7.786,6.132,9.97772,-1.90000
6.874,7.640,6.005,9.97772,-1.90000
6.749,7.506,5.887,9.97772,-1.90000
6.707,7.460,5.847,9.97772,-1.90000
6.604,7.350,5.749,9.97772,-1.90000
6.479,7.216,5.630,9.97772,-1.90000
6.363,7.092,5.519,9.97772,-1.90000
6.244,6.966,5.404,9.97772,-1.90000
6.124,6.840,5.289,9.97772,-1.90000
6.011,6.720,5.180,9.97772,-1.90000
5.945,6.651,5.117,9.97772,-1.90000
5.782,6.480,4.958,9.97772,-1.90000
5.662,6.356,4.842,9.97772,-1.90000
5.519,6.209,4.702,9.97772,-1.90000
5.489,6.179,4.672,9.97772,-1.90000
5.466,6.156,4.649,9.97772,-1.90000
5.336,6.027,4.518,9.97772,-1.90000
5.189,5.886,4.366,9.97772,-1.90000
5.160,5.859,4.336,9.97772,-1.90000
5.133,5.834,4.308,9.97772,-1.90000
5.031,5.742,4.199,9.97772,-1.90000
4.939,5.664,4.097,9.97772,-1.90000
4.853,5.596,3.999,9.97772,-1.90000
4.775,5.538,3.909,9.97772,-1.90000
4.704,5.488,3.824,9.97772,-1.90000
4.638,5.442,3.745,9.97772,-1.90000
4.570,5.393,3.666,9.97772,-1.90000
4.482,5.323,3.568,9.97772,-1.90000
4.392,5.245,3.472,9.97772,-1.90000
4.285,5.146,3.359,9.97772,-1.90000
4.280,5.141,3.353,9.97772,-1.90000
4.266,5.129,3.339,9.97772,-1.90000
4.161,5.029,3.232,9.97772,-1.90000
