Gmag,G_BPmag,G_RPmag,logAge,MH
15.002,17.409,13.628,10.07918,-1.75000
14.378,16.322,13.081,10.07918,-1.75000
14.007,15.758,12.751,10.07918,-1.75000
13.195,14.713,12.002,10.07918,-1.75000
12.701,14.134,11.534,10.07918,-1.75000
12.322,13.706,11.171,10.07918,-1.75000
11.746,13.072,10.615,10.07918,-1.75000
11.219,12.499,10.105,10.07918,-1.75000
10.816,12.059,9.715,10.07918,-1.75000
10.486,11.697,9.397,10.07918,-1.75000
10.137,11.310,9.063,10.07918,-1.75000
9.703,10.817,8.655,10.07918,-1.75000
9.221,10.265,8.203,10.07918,-1.75000
8.680,9.662,7.692,10.07918,-1.75000
8.154,9.071,7.199,10.07918,-1.75000
8.054,8.957,7.106,10.07918,-1.75000
7.935,8.823,6.995,10.07918,-1.75000
7.821,8.695,6.889,10.07918,-1.75000
7.715,8.576,6.790,10.07918,-1.75000
7.618,8.466,6.700,10.07918,-1.75000
7.545,8.385,6.633,10.07918,-1.75000
7.413,8.239,6.509,10.07918,-1.75000
7.289,8.103,6.392,10.07918,-1.75000
7.167,7.969,6.277,10.07918,-1.75000
7.052,7.843,6.168,10.07918,-1.75000
7.040,7.830,6.157,10.07918,-1.75000
6.917,7.697,6.040,10.07918,-1.75000
6.803,7.575,5.931,10.07918,-1.75000
6.684,7.447,5.817,10.07918,-1.75000
6.575,7.332,5.713,10.07918,-1.75000
6.463,7.213,5.605,10.07918,-1.75000
6.342,7.087,5.488,10.07918,-1.75000
6.316,7.059,5.462,10.07918,-1.75000
6.254,6.994,5.403,10.07918,-1.75000
6.125,6.859,5.277,10.07918,-1.75000
5.996,6.726,5.151,10.07918,-1.75000
5.867,6.594,5.025,10.07918,-1.75000
5.773,6.498,4.932,10.07918,-1.75000
5.737,6.462,4.896,10.07918,-1.75000
5.589,6.316,4.746,10.07918,-1.75000
5.458,6.190,4.611,10.07918,-1.75000
5.433,6.167,4.586,10.07918,-1.75000
5.406,6.141,4.557,10.07918,-1.75000
5.304,6.049,4.449,10.07918,-1.75000
5.211,5.968,4.349,10.07918,-1.75000
5.126,5.898,4.254,10.07918,-1.75000
5.049,5.837,4.167,10.07918,-1.75000
4.978,5.782,4.086,10.07918,-1.75000
4.907,5.727,4.006,10.07918,-1.75000
4.832,5.666,3.921,10.07918,-1.75000
4.736,5.585,3.818,10.07918,-1.75000
4.642,5.500,3.719,10.07918,-1.75000
4.570,5.434,3.644,10.07918,-1.75000
4.533,5.398,3.605,10.07918,-1.75000
4.427,5.298,3.497,10.07918,-1.75000
4.303,5.179,3.369,10.07918,-1.75000
4.190,5.069,3.254,10.07918,-1.75000
4.075,4.958,3.137,10.07918,-1.75000
3.950,4.836,3.010,10.07918,-1.75000
3.825,4.714,2.884,10.07918,-1.75000
3.750,4.642,2.808,10.07918,-1.75000
3.704,4.596,2.761,10.07918,-1.75000
3.589,4.484,2.644,10.07918,-1.75000
3.466,4.365,2.520,10.07918,-1.75000
3.338,4.240,2.390,10.07918,-1.75000
3.221,4.126,2.271,10.07918,-1.75000
3.105,4.013,2.153,10.07918,-1.75000
2.985,3.896,2.032,10.07918,-1.75000
2.870,3.784,1.915,10.07918,-1.75000
2.750,3.668,1.793,10.07918,-1.75000
2.634,3.556,1.675,10.07918,-1.75000
2.522,3.448,1.561,10.07918,-1.75000
2.405,3.335,1.442,10.07918,-1.75000
2.290,3.223,1.324,10.07918,-1.75000
2.179,3.117,1.211,10.07918,-1.75000
2.069,3.011,1.099,10.07918,-1.75000
1.954,2.901,0.982,10.07918,-1.75000
1.845,2.796,0.870,10.07918,-1.75000
1.736,2.693,0.760,10.07918,-1.75000
1.626,2.587,0.647,10.07918,-1.75000
1.523,2.489,0.541,10.07918,-1.75000
1.421,2.391,0.437,10.07918,-1.75000
1.319,2.295,0.333,10.07918,-1.75000
1.260,2.238,0.272,10.07918,-1.75000
1.286,2.262,0.299,10.07918,-1.75000
1.289,2.265,0.302,10.07918,-1.75000
1.224,2.204,0.236,10.07918,-1.75000
1.121,2.106,0.130,10.07918,-1.75000
1.019,2.009,0.025,10.07918,-1.75000
0.918,1.915,-0.079,10.07918,-1.75000
0.824,1.827,-0.175,10.07918,-1.75000
0.725,1.734,-0.277,10.07918,-1.75000
0.632,1.647,-0.374,10.07918,-1.75000
0.535,1.557,-0.474,10.07918,-1.75000
0.443,1.472,-0.569,10.07918,-1.75000
0.329,1.368,-0.688,10.07918,-1.75000
0.219,1.269,-0.802,10.07918,-1.75000
0.126,1.186,-0.899,10.07918,-1.75000
0.022,1.093,-1.008,10.07918,-1.75000
-0.067,1.015,-1.102,10.07918,-1.75000
-0.167,0.928,-1.206,10.07918,-1.75000
-0.269,0.840,-1.314,10.07918,-1.75000
-0.371,0.753,-1.422,10.07918,-1.75000
-0.464,0.675,-1.521,10.07918,-1.75000
-0.559,0.593,-1.621,10.07918,-1.75000
-0.648,0.517,-1.716,10.07918,-1.75000
-0.738,0.442,-1.812,10.07918,-1.75000
-0.827,0.368,-1.906,10.07918,-1.75000
-0.909,0.300,-1.994,10.07918,-1.75000
-0.993,0.231,-2.083,10.07918,-1.75000
-1.077,0.161,-2.172,10.07918,-1.75000
-1.155,0.099,-2.256,10.07918,-1.75000
-1.236,0.034,-2.343,10.07918,-1.75000
-1.313,-0.027,-2.425,10.07918,-1.75000
-1.388,-0.087,-2.507,10.07918,-1.75000
-1.448,-0.134,-2.570,10.07918,-1.75000
2.429,3.080,1.638,10.07918,-1.75000
2.412,3.068,1.617,10.07918,-1.75000
2.367,3.035,1.564,10.07918,-1.75000
2.365,3.032,1.562,10.07918,-1.75000
2.365,3.030,1.564,10.07918,-1.75000
2.366,3.028,1.567,10.07918,-1.75000
2.368,3.028,1.571,10.07918,-1.75000
2.370,3.027,1.575,10.07918,-1.75000
2.373,3.027,1.579,10.07918,-1.75000
2.375,3.026,1.584,10.07918,-1.75000
2.377,3.026,1.588,10.07918,-1.75000
2.378,3.025,1.590,10.07918,-1.75000
2.379,3.025,1.591,10.07918,-1.75000
2.378,3.024,1.591,10.07918,-1.75000
2.376,3.023,1.588,10.07918,-1.75000
2.375,3.023,1.587,10.07918,-1.75000
2.374,3.022,1.585,10.07918,-1.75000
2.370,3.021,1.579,10.07918,-1.75000
2.364,3.019,1.570,10.07918,-1.75000
2.357,3.017,1.559,10.07918,-1.75000
2.349,3.015,1.546,10.07918,-1.75000
2.339,3.013,1.531,10.07918,-1.75000
2.328,3.011,1.513,10.07918,-1.75000
2.315,3.008,1.494,10.07918,-1.75000
2.314,3.008,1.492,10.07918,-1.75000
2.312,3.008,1.488,10.07918,-1.75000
2.297,3.005,1.466,10.07918,-1.75000
2.284,3.003,1.445,10.07918,-1.75000
2.268,3.001,1.420,10.07918,-1.75000
2.251,2.997,1.395,10.07918,-1.75000
2.236,2.993,1.372,10.07918,-1.75000
2.219,2.987,1.348,10.07918,-1.75000
2.202,2.981,1.325,10.07918,-1.75000
2.185,2.973,1.303,10.07918,-1.75000
2.167,2.964,1.279,10.07918,-1.75000
2.144,2.950,1.250,10.07918,-1.75000
2.160,2.961,1.269,10.07918,-1.75000
2.124,2.938,1.226,10.07918,-1.75000
2.080,2.906,1.174,10.07918,-1.75000
2.004,2.847,1.088,10.07918,-1.75000
1.912,2.772,0.987,10.07918,-1.75000
1.816,2.692,0.882,10.07918,-1.75000
1.718,2.607,0.776,10.07918,-1.75000
1.625,2.526,0.677,10.07918,-1.75000
1.563,2.471,0.611,10.07918,-1.75000
1.465,2.381,0.508,10.07918,-1.75000
1.372,2.296,0.411,10.07918,-1.75000
1.300,2.230,0.336,10.07918,-1.75000
1.249,2.183,0.283,10.07918,-1.75000
1.204,2.141,0.236,10.07918,-1.75000
1.237,2.172,0.272,10.07918,-1.75000
1.291,2.221,0.327,10.07918,-1.75000
1.238,2.174,0.272,10.07918,-1.75000
1.173,2.115,0.204,10.07918,-1.75000
1.068,2.018,0.094,10.07918,-1.75000
0.942,1.902,-0.036,10.07918,-1.75000
0.828,1.797,-0.155,10.07918,-1.75000
0.722,1.699,-0.265,10.07918,-1.75000
0.617,1.602,-0.374,10.07918,-1.75000
0.514,1.507,-0.480,10.07918,-1.75000
0.414,1.415,-0.584,10.07918,-1.75000
0.312,1.322,-0.691,10.07918,-1.75000
0.209,1.228,-0.799,10.07918,-1.75000
0.105,1.136,-0.907,10.07918,-1.75000
0.002,1.044,-1.016,10.07918,-1.75000
-0.101,0.955,-1.124,10.07918,-1.75000
-0.202,0.867,-1.231,10.07918,-1.75000
-0.303,0.781,-1.338,10.07918,-1.75000
-0.405,0.695,-1.447,10.07918,-1.75000
-0.502,0.614,-1.550,10.07918,-1.75000
-0.599,0.535,-1.654,10.07918,-1.75000
-0.691,0.460,-1.754,10.07918,-1.75000
-0.787,0.383,-1.856,10.07918,-1.75000
-0.888,0.300,-1.964,10.07918,-1.75000
-0.991,0.216,-2.075,10.07918,-1.75000
-1.051,0.168,-2.139,10.07918,-1.75000
-1.107,0.122,-2.200,10.07918,-1.75000
-1.174,0.069,-2.271,10.07918,-1.75000
-1.250,0.010,-2.353,10.07918,-1.75000
-1.449,-0.132,-2.573,10.07918,-1.75000
-1.028,0.197,-2.118,10.07918,-1.75000
-0.689,0.469,-1.754,10.07918,-1.75000
-0.211,0.857,-1.240,10.07918,-1.75000
-0.226,0.846,-1.256,10.07918,-1.75000
-0.453,0.660,-1.500,10.07918,-1.75000
-0.851,0.343,-1.930,10.07918,-1.75000
-1.188,0.078,-2.294,10.07918,-1.75000
-1.406,-0.085,-2.531,10.07918,-1.75000
-1.524,-0.166,-2.661,10.07918,-1.75000
-1.584,-0.205,-2.728,10.07918,-1.75000
-1.621,-0.227,-2.770,10.07918,-1.75000
32.170,32.609,31.553,10.07918,-1.75000
