Gmag,G_BPmag,G_RPmag,logAge,MH
15.045,17.558,13.654,10.04139,-1.60000
14.473,16.535,13.152,10.04139,-1.60000
14.132,15.993,12.851,10.04139,-1.60000
13.318,14.912,12.103,10.04139,-1.60000
12.822,14.317,11.636,10.04139,-1.60000
12.442,13.882,11.273,10.04139,-1.60000
11.863,13.237,10.715,10.04139,-1.60000
11.330,12.655,10.200,10.04139,-1.60000
10.923,12.211,9.806,10.04139,-1.60000
10.748,12.019,9.637,10.04139,-1.60000
10.593,11.849,9.488,10.04139,-1.60000
10.283,11.502,9.191,10.04139,-1.60000
10.231,11.444,9.141,10.04139,-1.60000
9.780,10.926,8.718,10.04139,-1.60000
9.441,10.530,8.403,10.04139,-1.60000
9.275,10.338,8.249,10.04139,-1.60000
8.732,9.725,7.739,10.04139,-1.60000
8.213,9.140,7.253,10.04139,-1.60000
8.078,8.987,7.128,10.04139,-1.60000
7.940,8.830,6.999,10.04139,-1.60000
7.822,8.698,6.889,10.04139,-1.60000
7.708,8.570,6.784,10.04139,-1.60000
7.694,8.553,6.770,10.04139,-1.60000
7.578,8.423,6.663,10.04139,-1.60000
7.439,8.269,6.533,10.04139,-1.60000
7.309,8.125,6.410,10.04139,-1.60000
7.186,7.990,6.295,10.04139,-1.60000
7.167,7.969,6.277,10.04139,-1.60000
7.066,7.859,6.181,10.04139,-1.60000
6.944,7.726,6.065,10.04139,-1.60000
6.823,7.596,5.951,10.04139,-1.60000
6.711,7.476,5.844,10.04139,-1.60000
6.595,7.352,5.732,10.04139,-1.60000
6.548,7.302,5.687,10.04139,-1.60000
6.428,7.176,5.572,10.04139,-1.60000
6.303,7.043,5.451,10.04139,-1.60000
6.178,6.913,5.331,10.04139,-1.60000
6.056,6.785,5.212,10.04139,-1.60000
5.935,6.661,5.094,10.04139,-1.60000
5.814,6.537,4.974,10.04139,-1.60000
5.728,6.449,4.889,10.04139,-1.60000
5.691,6.412,4.852,10.04139,-1.60000
5.623,6.345,4.784,10.04139,-1.60000
5.541,6.264,4.701,10.04139,-1.60000
5.403,6.132,4.559,10.04139,-1.60000
5.377,6.107,4.532,10.04139,-1.60000
5.350,6.082,4.504,10.04139,-1.60000
5.252,5.994,4.399,10.04139,-1.60000
5.165,5.918,4.305,10.04139,-1.60000
5.086,5.853,4.216,10.04139,-1.60000
5.016,5.799,4.137,10.04139,-1.60000
4.953,5.753,4.064,10.04139,-1.60000
4.894,5.709,3.996,10.04139,-1.60000
4.831,5.661,3.924,10.04139,-1.60000
4.750,5.595,3.834,10.04139,-1.60000
4.666,5.521,3.744,10.04139,-1.60000
4.568,5.432,3.641,10.04139,-1.60000
4.530,5.396,3.602,10.04139,-1.60000
4.426,5.297,3.495,10.04139,-1.60000
4.303,5.179,3.369,10.04139,-1.60000
4.190,5.070,3.254,10.04139,-1.60000
4.075,4.959,3.137,10.04139,-1.60000
3.949,4.836,3.009,10.04139,-1.60000
3.824,4.715,2.882,10.04139,-1.60000
3.703,4.597,2.759,10.04139,-1.60000
3.589,4.485,2.643,10.04139,-1.60000
3.467,4.366,2.520,10.04139,-1.60000
3.339,4.242,2.390,10.04139,-1.60000
3.223,4.129,2.272,10.04139,-1.60000
3.107,4.017,2.155,10.04139,-1.60000
2.989,3.902,2.035,10.04139,-1.60000
2.876,3.793,1.920,10.04139,-1.60000
2.758,3.679,1.800,10.04139,-1.60000
2.645,3.569,1.685,10.04139,-1.60000
2.536,3.464,1.573,10.04139,-1.60000
2.422,3.354,1.457,10.04139,-1.60000
2.309,3.246,1.343,10.04139,-1.60000
2.202,3.143,1.233,10.04139,-1.60000
2.096,3.041,1.125,10.04139,-1.60000
1.985,2.935,1.011,10.04139,-1.60000
1.880,2.835,0.904,10.04139,-1.60000
1.777,2.736,0.799,10.04139,-1.60000
1.672,2.636,0.692,10.04139,-1.60000
1.575,2.544,0.592,10.04139,-1.60000
1.482,2.455,0.496,10.04139,-1.60000
1.397,2.375,0.409,10.04139,-1.60000
1.337,2.318,0.348,10.04139,-1.60000
1.375,2.353,0.388,10.04139,-1.60000
1.380,2.358,0.393,10.04139,-1.60000
1.315,2.296,0.326,10.04139,-1.60000
1.210,2.197,0.218,10.04139,-1.60000
1.107,2.100,0.112,10.04139,-1.60000
1.006,2.005,0.008,10.04139,-1.60000
0.910,1.915,-0.091,10.04139,-1.60000
0.808,1.821,-0.196,10.04139,-1.60000
0.713,1.732,-0.295,10.04139,-1.60000
0.614,1.641,-0.397,10.04139,-1.60000
0.521,1.556,-0.494,10.04139,-1.60000
0.404,1.450,-0.615,10.04139,-1.60000
0.292,1.349,-0.732,10.04139,-1.60000
0.197,1.265,-0.831,10.04139,-1.60000
0.091,1.171,-0.943,10.04139,-1.60000
-0.000,1.091,-1.039,10.04139,-1.60000
-0.103,1.002,-1.147,10.04139,-1.60000
-0.208,0.912,-1.258,10.04139,-1.60000
-0.310,0.824,-1.366,10.04139,-1.60000
-0.405,0.742,-1.466,10.04139,-1.60000
-0.504,0.656,-1.571,10.04139,-1.60000
-0.595,0.580,-1.667,10.04139,-1.60000
-0.689,0.502,-1.767,10.04139,-1.60000
-0.782,0.425,-1.866,10.04139,-1.60000
-0.868,0.354,-1.958,10.04139,-1.60000
-0.955,0.283,-2.051,10.04139,-1.60000
-1.041,0.215,-2.143,10.04139,-1.60000
-1.123,0.149,-2.232,10.04139,-1.60000
-1.210,0.079,-2.325,10.04139,-1.60000
-1.290,0.016,-2.411,10.04139,-1.60000
-1.371,-0.047,-2.497,10.04139,-1.60000
-1.434,-0.095,-2.566,10.04139,-1.60000
2.300,3.075,1.425,10.04139,-1.60000
2.250,3.035,1.369,10.04139,-1.60000
2.243,3.028,1.363,10.04139,-1.60000
2.241,3.025,1.361,10.04139,-1.60000
2.240,3.022,1.361,10.04139,-1.60000
2.240,3.020,1.362,10.04139,-1.60000
2.241,3.019,1.365,10.04139,-1.60000
2.243,3.018,1.368,10.04139,-1.60000
2.245,3.017,1.373,10.04139,-1.60000
2.248,3.017,1.377,10.04139,-1.60000
2.250,3.017,1.381,10.04139,-1.60000
2.252,3.016,1.384,10.04139,-1.60000
2.254,3.016,1.387,10.04139,-1.60000
2.255,3.015,1.389,10.04139,-1.60000
2.255,3.015,1.390,10.04139,-1.60000
2.255,3.015,1.390,10.04139,-1.60000
2.255,3.014,1.390,10.04139,-1.60000
2.254,3.014,1.389,10.04139,-1.60000
2.252,3.012,1.387,10.04139,-1.60000
2.249,3.011,1.383,10.04139,-1.60000
2.245,3.009,1.377,10.04139,-1.60000
2.240,3.007,1.371,10.04139,-1.60000
2.234,3.005,1.361,10.04139,-1.60000
2.226,3.002,1.351,10.04139,-1.60000
2.223,3.001,1.346,10.04139,-1.60000
2.221,3.000,1.344,10.04139,-1.60000
2.211,2.997,1.330,10.04139,-1.60000
2.201,2.993,1.316,10.04139,-1.60000
2.190,2.988,1.301,10.04139,-1.60000
2.178,2.982,1.285,10.04139,-1.60000
2.166,2.976,1.270,10.04139,-1.60000
2.152,2.968,1.253,10.04139,-1.60000
2.139,2.959,1.237,10.04139,-1.60000
2.125,2.949,1.220,10.04139,-1.60000
2.108,2.937,1.201,10.04139,-1.60000
2.090,2.923,1.180,10.04139,-1.60000
2.095,2.925,1.186,10.04139,-1.60000
2.061,2.900,1.148,10.04139,-1.60000
2.018,2.866,1.099,10.04139,-1.60000
1.936,2.798,1.009,10.04139,-1.60000
1.840,2.717,0.905,10.04139,-1.60000
1.743,2.633,0.801,10.04139,-1.60000
1.648,2.550,0.700,10.04139,-1.60000
1.558,2.470,0.605,10.04139,-1.60000
1.504,2.422,0.548,10.04139,-1.60000
1.448,2.370,0.488,10.04139,-1.60000
1.335,2.267,0.370,10.04139,-1.60000
1.252,2.192,0.285,10.04139,-1.60000
1.192,2.136,0.222,10.04139,-1.60000
1.174,2.119,0.203,10.04139,-1.60000
1.211,2.153,0.242,10.04139,-1.60000
1.272,2.209,0.306,10.04139,-1.60000
1.193,2.137,0.222,10.04139,-1.60000
1.100,2.052,0.125,10.04139,-1.60000
1.011,1.971,0.032,10.04139,-1.60000
0.906,1.875,-0.077,10.04139,-1.60000
0.802,1.780,-0.185,10.04139,-1.60000
0.701,1.687,-0.290,10.04139,-1.60000
0.602,1.596,-0.394,10.04139,-1.60000
0.503,1.506,-0.496,10.04139,-1.60000
