Gmag,G_BPmag,G_RPmag,logAge,MH
16.428,20.527,14.853,9.95424,-0.65000
16.191,20.079,14.633,9.95424,-0.65000
15.707,19.188,14.185,9.95424,-0.65000
15.040,18.011,13.571,9.95424,-0.65000
14.824,17.642,13.374,9.95424,-0.65000
14.449,17.043,13.028,9.95424,-0.65000
14.254,16.745,12.848,9.95424,-0.65000
13.833,16.140,12.457,9.95424,-0.65000
13.209,15.313,11.871,9.95424,-0.65000
12.642,14.623,11.329,9.95424,-0.65000
12.206,14.111,10.910,9.95424,-0.65000
11.958,13.824,10.672,9.95424,-0.65000
11.833,13.679,10.552,9.95424,-0.65000
11.425,13.193,10.164,9.95424,-0.65000
10.977,12.660,9.738,9.95424,-0.65000
10.482,12.065,9.273,9.95424,-0.65000
9.932,11.387,8.763,9.95424,-0.65000
9.394,10.709,8.273,9.95424,-0.65000
8.906,10.121,7.825,9.95424,-0.65000
8.882,10.093,7.802,9.95424,-0.65000
8.729,9.914,7.661,9.95424,-0.65000
8.567,9.725,7.510,9.95424,-0.65000
8.418,9.554,7.371,9.95424,-0.65000
8.411,9.546,7.365,9.95424,-0.65000
8.281,9.398,7.242,9.95424,-0.65000
8.119,9.215,7.091,9.95424,-0.65000
7.972,9.048,6.952,9.95424,-0.65000
7.960,9.035,6.942,9.95424,-0.65000
7.832,8.893,6.820,9.95424,-0.65000
7.707,8.754,6.701,9.95424,-0.65000
7.587,8.622,6.587,9.95424,-0.65000
7.511,8.539,6.515,9.95424,-0.65000
7.427,8.448,6.435,9.95424,-0.65000
7.336,8.350,6.347,9.95424,-0.65000
7.206,8.211,6.222,9.95424,-0.65000
7.080,8.077,6.099,9.95424,-0.65000
7.019,8.012,6.041,9.95424,-0.65000
6.931,7.920,5.955,9.95424,-0.65000
6.836,7.820,5.862,9.95424,-0.65000
6.707,7.686,5.736,9.95424,-0.65000
6.580,7.556,5.611,9.95424,-0.65000
6.460,7.434,5.492,9.95424,-0.65000
6.433,7.406,5.465,9.95424,-0.65000
6.426,7.399,5.458,9.95424,-0.65000
6.379,7.351,5.411,9.95424,-0.65000
6.269,7.242,5.301,9.95424,-0.65000
6.132,7.110,5.162,9.95424,-0.65000
6.081,7.061,5.110,9.95424,-0.65000
5.989,6.976,5.013,9.95424,-0.65000
5.885,6.886,4.902,9.95424,-0.65000
5.807,6.828,4.813,9.95424,-0.65000
5.769,6.812,4.765,9.95424,-0.65000
5.745,6.813,4.729,9.95424,-0.65000
5.709,6.801,4.682,9.95424,-0.65000
5.642,6.752,4.606,9.95424,-0.65000
5.542,6.664,4.500,9.95424,-0.65000
5.526,6.650,4.484,9.95424,-0.65000
5.457,6.586,4.412,9.95424,-0.65000
5.360,6.494,4.313,9.95424,-0.65000
5.241,6.380,4.192,9.95424,-0.65000
5.119,6.263,4.068,9.95424,-0.65000
5.020,6.167,3.967,9.95424,-0.65000
