Gmag,G_BPmag,G_RPmag,logAge,MH
12.277,13.300,11.279,10.09691,-2.19174
12.017,12.986,11.045,10.09691,-2.19174
11.859,12.798,10.902,10.09691,-2.19174
11.494,12.372,10.568,10.09691,-2.19174
11.194,12.026,10.293,10.09691,-2.19174
10.756,11.541,9.882,10.09691,-2.19174
10.421,11.178,9.564,10.09691,-2.19174
9.883,10.600,9.051,10.09691,-2.19174
9.387,10.069,8.578,10.09691,-2.19174
9.002,9.657,8.211,10.09691,-2.19174
8.772,9.409,7.993,10.09691,-2.19174
8.676,9.306,7.902,10.09691,-2.19174
8.638,9.266,7.866,10.09691,-2.19174
8.351,8.957,7.595,10.09691,-2.19174
7.956,8.524,7.229,10.09691,-2.19174
7.519,8.046,6.823,10.09691,-2.19174
6.987,7.464,6.332,10.09691,-2.19174
6.549,6.978,5.937,10.09691,-2.19174
6.447,6.866,5.845,10.09691,-2.19174
6.329,6.735,5.739,10.09691,-2.19174
6.217,6.610,5.639,10.09691,-2.19174
6.108,6.489,5.542,10.09691,-2.19174
5.979,6.346,5.427,10.09691,-2.19174
5.881,6.238,5.339,10.09691,-2.19174
5.870,6.226,5.329,10.09691,-2.19174
5.750,6.095,5.221,10.09691,-2.19174
5.633,5.968,5.114,10.09691,-2.19174
5.519,5.845,5.010,10.09691,-2.19174
5.413,5.731,4.914,10.09691,-2.19174
5.307,5.617,4.817,10.09691,-2.19174
5.251,5.557,4.765,10.09691,-2.19174
5.237,5.542,4.752,10.09691,-2.19174
5.114,5.412,4.638,10.09691,-2.19174
4.985,5.275,4.517,10.09691,-2.19174
4.867,5.151,4.407,10.09691,-2.19174
4.744,5.022,4.291,10.09691,-2.19174
4.611,4.883,4.164,10.09691,-2.19174
4.440,4.707,4.001,10.09691,-2.19174
4.361,4.626,3.925,10.09691,-2.19174
4.347,4.611,3.911,10.09691,-2.19174
4.212,4.473,3.781,10.09691,-2.19174
4.078,4.336,3.651,10.09691,-2.19174
3.958,4.215,3.533,10.09691,-2.19174
3.911,4.168,3.485,10.09691,-2.19174
3.773,4.033,3.344,10.09691,-2.19174
3.665,3.928,3.230,10.09691,-2.19174
3.640,3.905,3.205,10.09691,-2.19174
3.612,3.878,3.174,10.09691,-2.19174
3.509,3.784,3.060,10.09691,-2.19174
3.416,3.703,2.954,10.09691,-2.19174
3.332,3.632,2.853,10.09691,-2.19174
3.255,3.570,2.758,10.09691,-2.19174
3.181,3.511,2.668,10.09691,-2.19174
3.105,3.449,2.577,10.09691,-2.19174
3.023,3.380,2.481,10.09691,-2.19174
2.919,3.287,2.365,10.09691,-2.19174
2.820,3.196,2.258,10.09691,-2.19174
2.745,3.125,2.179,10.09691,-2.19174
