Gmag,G_BPmag,G_RPmag,logAge,MH
12.269,13.290,11.271,10.11394,-2.19174
11.853,12.790,10.897,10.11394,-2.19174
11.189,12.020,10.289,10.11394,-2.19174
10.751,11.536,9.878,10.11394,-2.19174
10.416,11.172,9.560,10.11394,-2.19174
9.880,10.596,9.048,10.11394,-2.19174
9.385,10.067,8.576,10.11394,-2.19174
9.001,9.655,8.210,10.11394,-2.19174
8.674,9.305,7.900,10.11394,-2.19174
8.348,8.954,7.592,10.11394,-2.19174
7.951,8.519,7.224,10.11394,-2.19174
7.511,8.039,6.815,10.11394,-2.19174
6.973,7.449,6.319,10.11394,-2.19174
6.425,6.843,5.825,10.11394,-2.19174
6.386,6.799,5.790,10.11394,-2.19174
6.273,6.673,5.688,10.11394,-2.19174
6.163,6.551,5.591,10.11394,-2.19174
6.034,6.407,5.475,10.11394,-2.19174
5.917,6.279,5.372,10.11394,-2.19174
5.848,6.203,5.309,10.11394,-2.19174
5.803,6.154,5.269,10.11394,-2.19174
5.686,6.027,5.162,10.11394,-2.19174
5.572,5.903,5.058,10.11394,-2.19174
5.466,5.789,4.961,10.11394,-2.19174
5.360,5.675,4.864,10.11394,-2.19174
5.228,5.534,4.742,10.11394,-2.19174
5.190,5.493,4.707,10.11394,-2.19174
5.164,5.466,4.683,10.11394,-2.19174
5.034,5.328,4.562,10.11394,-2.19174
4.916,5.204,4.451,10.11394,-2.19174
4.793,5.074,4.335,10.11394,-2.19174
4.658,4.935,4.207,10.11394,-2.19174
4.487,4.757,4.043,10.11394,-2.19174
4.307,4.572,3.869,10.11394,-2.19174
4.194,4.458,3.760,10.11394,-2.19174
4.124,4.386,3.692,10.11394,-2.19174
4.002,4.263,3.572,10.11394,-2.19174
3.955,4.216,3.524,10.11394,-2.19174
3.817,4.081,3.383,10.11394,-2.19174
3.708,3.976,3.269,10.11394,-2.19174
3.684,3.952,3.243,10.11394,-2.19174
3.656,3.926,3.213,10.11394,-2.19174
3.552,3.831,3.099,10.11394,-2.19174
3.459,3.749,2.992,10.11394,-2.19174
3.374,3.677,2.891,10.11394,-2.19174
3.295,3.614,2.796,10.11394,-2.19174
3.221,3.553,2.705,10.11394,-2.19174
3.144,3.489,2.614,10.11394,-2.19174
3.059,3.417,2.517,10.11394,-2.19174
2.954,3.323,2.400,10.11394,-2.19174
2.854,3.230,2.292,10.11394,-2.19174
2.779,3.160,2.213,10.11394,-2.19174
2.704,3.088,2.135,10.11394,-2.19174
2.602,2.990,2.029,10.11394,-2.19174
2.494,2.885,1.917,10.11394,-2.19174
2.384,2.778,1.804,10.11394,-2.19174
2.259,2.656,1.677,10.11394,-2.19174
2.147,2.547,1.562,10.11394,-2.19174
2.025,2.427,1.437,10.11394,-2.19174
1.893,2.299,1.303,10.11394,-2.19174
1.777,2.186,1.184,10.11394,-2.19174
1.656,2.067,1.060,10.11394,-2.19174
1.537,1.950,0.938,10.11394,-2.19174
1.419,1.835,0.818,10.11394,-2.19174
1.303,1.722,0.699,10.11394,-2.19174
1.182,1.605,0.576,10.11394,-2.19174
1.065,1.491,0.456,10.11394,-2.19174
0.952,1.380,0.340,10.11394,-2.19174
0.840,1.271,0.225,10.11394,-2.19174
0.725,1.160,0.107,10.11394,-2.19174
0.614,1.052,-0.007,10.11394,-2.19174
0.503,0.944,-0.122,10.11394,-2.19174
0.391,0.837,-0.236,10.11394,-2.19174
0.285,0.734,-0.347,10.11394,-2.19174
0.178,0.631,-0.456,10.11394,-2.19174
0.067,0.524,-0.571,10.11394,-2.19174
-0.036,0.425,-0.677,10.11394,-2.19174
-0.138,0.326,-0.783,10.11394,-2.19174
-0.245,0.223,-0.893,10.11394,-2.19174
-0.345,0.128,-0.997,10.11394,-2.19174
-0.445,0.032,-1.101,10.11394,-2.19174
-0.544,-0.063,-1.203,10.11394,-2.19174
-0.619,-0.134,-1.280,10.11394,-2.19174
-0.608,-0.125,-1.269,10.11394,-2.19174
-0.625,-0.140,-1.286,10.11394,-2.19174
-0.722,-0.233,-1.388,10.11394,-2.19174
-0.827,-0.333,-1.496,10.11394,-2.19174
-0.921,-0.423,-1.595,10.11394,-2.19174
-1.020,-0.516,-1.697,10.11394,-2.19174
-1.119,-0.610,-1.800,10.11394,-2.19174
-1.211,-0.697,-1.897,10.11394,-2.19174
-1.309,-0.788,-2.001,10.11394,-2.19174
-1.403,-0.874,-2.100,10.11394,-2.19174
-1.495,-0.958,-2.198,10.11394,-2.19174
-1.588,-1.042,-2.298,10.11394,-2.19174
-1.696,-1.140,-2.413,10.11394,-2.19174
-1.788,-1.221,-2.513,10.11394,-2.19174
-1.889,-1.310,-2.623,10.11394,-2.19174
-1.979,-1.389,-2.720,10.11394,-2.19174
-2.074,-1.470,-2.826,10.11394,-2.19174
-2.160,-1.543,-2.919,10.11394,-2.19174
