,# source_id,ra,dec,pmra,pmdec,x,y,vx,vy,plx,memberprob,pmcorr,pmrae,pmdece,plxe
8743,4171083469770349184,272.696101,-7.213135,-1.5953,-4.1904,0.0118,-0.0055,0.9871722640416905,0.38499473074695967,1.0272,0.96141,0.0864,0.462,0.3617,0.6043
8744,4171083499839899520,272.696797,-7.212392,-2.3777,-4.2523,0.0125,-0.0048,0.20477226404169047,0.32309473074696005,0.3461,0.99204,0.0317,0.0737,0.0571,0.0847
8745,4171083504130090368,272.697383,-7.212043,-1.8926,-4.638,0.0131,-0.0044,0.6898722640416903,-0.06260526925303989,0.0846,0.95928,0.0486,0.9204,0.759,1.4746
8746,4171083504130145920,272.694836,-7.211608,-2.8919,-4.4564,0.0106,-0.004,-0.30942773595830975,0.11899473074695965,5.3663,0.9617,-0.0315,0.7726,0.5821,1.0381
8748,4171083504130171904,272.694879,-7.210354,-2.1733,-4.6586,0.0106,-0.0027,0.4091722640416906,-0.08320526925303984,-0.9987,0.98742,0.1758,0.6494,0.5145,0.8194
8749,4171083504130089984,272.6969,-7.211715,-3.0017,-4.326,0.0126,-0.0041,-0.41922773595830964,0.2493947307469604,0.8075,0.96615,0.0647,0.1592,0.1235,0.1921
8754,4171083504147392640,272.692398,-7.209225,-2.7428,-4.6787,0.0082,-0.0016,-0.16032773595830951,-0.10330526925304007,0.0474,0.99881,-0.2476,0.1015,0.0743,0.1457
8758,4171084260061645056,272.69087,-7.20781,-2.3001,-5.1928,0.0067,-0.0002,0.28237226404169036,-0.6174052692530401,2.6885,0.96242,0.0522,0.4774,0.3577,0.6116
8760,4171084255754140288,272.69095,-7.206862,-1.9648,-4.6669,0.0067,0.0007,0.6176722640416903,-0.09150526925304003,-0.0785,0.99025,0.1963,0.2844,0.2308,0.322
8765,4171083504130170752,272.695414,-7.209609,-2.435,-4.5644,0.0112,-0.002,0.14747226404169034,0.010994730746960002,0.2216,0.99936,-0.0167,0.0773,0.0612,0.0877
