,# source_id,ra,dec,pmra,pmdec,x,y,vx,vy,plx,memberprob,pmcorr,pmrae,pmdece,plxe
1721,4057922484667059968,262.659917,-31.597021,-5.4876,-3.6443,-0.0022,-0.0015,0.008842253521126331,0.04495774647887263,0.1014,0.9995,0.2263,0.1132,0.0821,0.1131
1723,4057922488968813568,262.656335,-31.59503,-4.9985,-3.2665,-0.0053,0.0005,0.497942253521126,0.4227577464788723,0.5454,0.95733,0.2999,0.2069,0.1506,0.2007
1727,4057922488968786176,262.660044,-31.594842,-5.9123,-3.4219,-0.0021,0.0007,-0.4158577464788742,0.26735774647887256,0.4191,0.98802,0.2399,0.4052,0.2964,0.4105
1731,4057922488968808704,262.658371,-31.593105,-6.0061,-3.745,-0.0035,0.0024,-0.5096577464788741,-0.055742253521127605,-0.0017,0.99035,0.2482,0.4177,0.3218,0.425
1733,4057922488968785536,262.660914,-31.594196,-5.4588,-2.9888,-0.0014,0.0013,0.037642253521125824,0.7004577464788726,0.5984,0.95122,0.2435,0.287,0.2177,0.2811
1734,4057922488968803072,262.659968,-31.593353,-5.4787,-3.3736,-0.0022,0.0022,0.017742253521126017,0.31565774647887235,0.0888,0.99686,0.2959,0.1251,0.0922,0.119
1737,4057922484656637056,262.663619,-31.59788,-5.4757,-3.5914,0.0009,-0.0024,0.02074225352112613,0.09785774647887235,0.2525,0.99885,0.1717,0.0827,0.0619,0.0802
1739,4057922489010483200,262.664027,-31.596766,-5.4735,-3.8461,0.0013,-0.0012,0.022942253521126332,-0.15684225352112735,0.2674,0.99871,0.2073,0.1125,0.0819,0.1085
1740,4057922484667061376,262.663478,-31.596241,-5.096,-3.5851,0.0008,-0.0007,0.40044225352112583,0.10415774647887233,0.1706,0.99459,0.1101,0.0791,0.0587,0.0786
1748,4057922489010491648,262.662306,-31.594514,-5.3059,-3.5335,-0.0002,0.001,0.19054225352112564,0.15575774647887242,0.1476,0.99916,0.137,0.0662,0.0485,0.065
1754,4057922488968758912,262.664711,-31.594008,-5.4269,-4.1329,0.0019,0.0015,0.06954225352112609,-0.44364225352112774,-1.4728,0.98377,0.2843,0.5176,0.3601,0.4776
1766,4057921733054425856,262.66954,-31.60057,-5.7237,-3.1993,0.006,-0.005,-0.2272577464788741,0.48995774647887247,0.8076,0.96334,0.2645,0.3696,0.2927,0.3738
1788,4057921767414109696,262.678856,-31.599881,-5.3524,-3.8601,0.0139,-0.0044,0.14404225352112565,-0.17084225352112759,0.2962,0.9895,0.1706,0.2812,0.1896,0.2456
1790,4057922488968698880,262.66856,-31.597639,-5.8495,-3.3751,0.0052,-0.0021,-0.353057746478874,0.3141577464788723,0.4371,0.97813,0.3182,0.3129,0.2282,0.2726
1817,4057921763102126208,262.675584,-31.594873,-5.2563,-3.6346,0.0111,0.0007,0.2401422535211255,0.05465774647887267,0.39,0.99107,0.1987,0.2599,0.2033,0.2607
1822,4057921763102120192,262.680033,-31.594762,-6.0118,-3.5966,0.0149,0.0008,-0.5153577464788741,0.09265774647887248,0.1774,0.97159,0.2428,0.2464,0.1951,0.2463
1836,4057921660026468864,262.683127,-31.608446,-5.3462,-3.8997,0.0176,-0.0129,0.1502422535211263,-0.21044225352112766,0.0122,0.97081,0.2534,0.3498,0.2711,0.2828
1920,4057921763112564736,262.682743,-31.595583,-5.5158,-3.3655,0.0172,-0.0001,-0.019357746478873672,0.32375774647887257,0.3598,0.96495,-0.0034,0.2681,0.1931,0.265
2047,4057922488968837632,262.655066,-31.592455,-6.0673,-3.8657,-0.0063,0.0031,-0.5708577464788744,-0.1764422535211274,-0.0525,0.98061,0.2682,0.632,0.422,0.5532
2048,4057922489010501632,262.658135,-31.59248,-5.159,-3.719,-0.0037,0.003,0.3374422535211261,-0.02974225352112736,-0.0236,0.99827,0.144,0.116,0.0864,0.1245
2053,4057922488968796160,262.661084,-31.593046,-5.6682,-3.8081,-0.0012,0.0025,-0.17175774647887376,-0.11884225352112754,0.5321,0.99129,0.2822,0.1567,0.1168,0.1509
2054,4057922488968825088,262.659369,-31.591124,-7.1027,-4.2304,-0.0027,0.0044,-1.6062577464788736,-0.5411422535211279,0.0658,0.95711,0.3889,0.7139,0.5023,0.5659
2055,4057922488968824960,262.659324,-31.590815,-5.5602,-3.9753,-0.0027,0.0047,-0.06375774647887411,-0.28604225352112733,-0.0253,0.98447,0.4133,0.5816,0.4108,0.4618
2057,4057922488968810752,262.660994,-31.591781,-4.8764,-3.8387,-0.0013,0.0037,0.6200422535211256,-0.14944225352112728,-0.254,0.98638,0.2098,0.3541,0.2787,0.3769
2073,4057922488968761472,262.666038,-31.592613,-5.7363,-3.9171,0.003,0.0029,-0.23985774647887403,-0.22784225352112752,0.3003,0.99616,0.1707,0.1905,0.1367,0.1764
2082,4057922489010494592,262.665019,-31.590765,-5.4886,-3.3231,0.0021,0.0048,0.007842253521125997,0.36615774647887234,-0.2576,0.99402,0.2639,0.2504,0.1985,0.2293
2100,4057922489010507392,262.659466,-31.586676,-5.3485,-3.8621,-0.0026,0.0089,0.14794225352112633,-0.17284225352112736,0.2417,0.99218,0.2521,0.0828,0.0611,0.0741
2105,4057922488968846336,262.661284,-31.585714,-4.9584,-3.6348,-0.001,0.0098,0.5380422535211258,0.05445774647887269,0.2157,0.97619,0.2099,0.1245,0.0967,0.1163
2111,4057922523328550656,262.664445,-31.587868,-5.293,-3.5893,0.0017,0.0077,0.20344225352112577,0.09995774647887234,-0.1967,0.99045,-0.026,0.4028,0.3072,0.4078
2113,4057922523328544640,262.667342,-31.587147,-5.7028,-4.2755,0.0041,0.0084,-0.20635774647887395,-0.5862422535211276,-0.0167,0.95968,0.2537,0.2774,0.1799,0.2406
2133,4057921767414184064,262.676028,-31.592789,-5.3396,-3.8815,0.0115,0.0027,0.15684225352112602,-0.19224225352112745,0.4709,0.9859,0.1859,0.3188,0.2397,0.3055
2145,4057921767467910656,262.680992,-31.589506,-5.4169,-3.8729,0.0157,0.006,0.07954225352112587,-0.1836422535211275,0.3353,0.98512,0.1544,0.3284,0.2568,0.3149
2228,4057922519019947008,262.678941,-31.581967,-5.1754,-3.7633,0.014,0.0136,0.32104225352112614,-0.07404225352112759,0.0482,0.99084,0.1657,0.2255,0.1757,0.2125
2237,4057922523328603136,262.671161,-31.57613,-5.395,-3.6052,0.0074,0.0194,0.10144225352112635,0.08405774647887254,-0.2906,0.9737,0.2121,0.3801,0.2874,0.3517
2244,4057922622099166080,262.673042,-31.574446,-5.5234,-3.9235,0.009,0.0211,-0.026957746478873723,-0.2342422535211277,-0.0635,0.98983,0.2546,0.2141,0.1595,0.1797
2249,4057922622099163904,262.680985,-31.576778,-5.6868,-3.6704,0.0157,0.0187,-0.19035774647887393,0.018857746478872617,0.1579,0.98387,0.3222,0.2058,0.1496,0.1794
2254,4057921767455953792,262.682761,-31.594126,-5.4675,-3.4018,0.0173,0.0014,0.02894225352112567,0.28745774647887234,0.2227,0.97742,0.1832,0.3539,0.2778,0.355
2666,4057922660809201152,262.694085,-31.558824,-5.4803,-3.8494,0.0269,0.0367,0.016142253521126193,-0.16014225352112765,0.2019,0.95169,0.236,0.1299,0.0929,0.1175
