,# source_id,ra,dec,pmra,pmdec,x,y,vx,vy,plx,memberprob,pmcorr,pmrae,pmdece,plxe
1505,4064109612690428928,270.733375,-26.071176,-6.6342,-2.4932,-0.0074,0.0013,0.36413543307086815,0.02194251968504002,-0.2448,0.99023,0.1648,0.7412,0.4381,0.6283
1506,4064109612690449152,270.733623,-26.070061,-6.9281,-2.5209,-0.0072,0.0024,0.07023543307086832,-0.005757480314960262,0.8177,0.99593,-0.0343,0.4483,0.2915,0.4267
1507,4064109608392660864,270.734148,-26.068797,-7.4393,-3.0353,-0.0068,0.0037,-0.4409645669291322,-0.52015748031496,0.1068,0.99418,0.1267,0.3165,0.2143,0.3182
1509,4064109612690329984,270.73592,-26.074127,-6.9791,-2.0377,-0.0052,-0.0016,0.01923543307086817,0.4774425196850398,0.3602,0.99248,-0.0912,0.652,0.405,0.6421
1515,4064109612690329216,270.738244,-26.072097,-6.7718,-2.6675,-0.0031,0.0004,0.2265354330708682,-0.1523574803149601,0.529,0.9983,0.3138,0.2674,0.1727,0.2419
1521,4064109612690375552,270.737233,-26.07065,-6.4737,-2.6813,-0.004,0.0019,0.524635433070868,-0.16615748031495992,0.3645,0.9844,0.1023,0.7534,0.5152,0.7066
1524,4064109612748338944,270.735972,-26.069805,-6.2423,-2.9806,-0.0051,0.0027,0.7560354330708678,-0.46545748031496004,1.6592,0.95576,-0.4657,0.8789,0.5212,0.7258
1528,4064109612748336256,270.737796,-26.068757,-7.3988,-3.0084,-0.0035,0.0037,-0.40046456692913157,-0.4932574803149601,0.7309,0.98598,0.263,0.2669,0.1722,0.2613
1530,4064109608392667264,270.740652,-26.070607,-6.8813,-2.559,-0.0009,0.0019,0.11703543307086761,-0.043857480314960284,0.0937,0.99965,0.0083,0.1961,0.1369,0.2105
1532,4064109608392665344,270.738472,-26.069058,-6.783,-2.6058,-0.0029,0.0034,0.21533543307086767,-0.09065748031496002,0.3659,0.99944,-0.072,0.1623,0.1039,0.1856
1533,4064109612748335616,270.739383,-26.069074,-6.7939,-2.3492,-0.0021,0.0034,0.2044354330708682,0.1659425196850397,0.2724,0.99838,0.2281,0.3381,0.2283,0.3173
1534,4064109612690334080,270.740456,-26.069887,-8.3581,-2.6036,-0.0011,0.0026,-1.3597645669291323,-0.08845748031496026,1.9585,0.98245,0.4457,1.0876,0.5917,0.8585
1539,4064106653455169920,270.742593,-26.077351,-7.1415,-2.805,0.0008,-0.0049,-0.1431645669291317,-0.2898574803149603,0.0875,0.9995,0.0679,0.1647,0.1264,0.1679
1541,4064106653455175296,270.748004,-26.078558,-6.8633,-2.7778,0.0057,-0.0061,0.1350354330708683,-0.26265748031496017,0.1286,0.9996,0.1952,0.1918,0.1329,0.1801
1543,4064106653465115136,270.746563,-26.077997,-7.07,-2.3097,0.0044,-0.0055,-0.07166456692913226,0.20544251968504001,-0.1782,0.9988,0.3604,0.3182,0.2146,0.2675
1549,4064106657810819712,270.743155,-26.07566,-6.7697,-2.6378,0.0013,-0.0032,0.22863543307086776,-0.12265748031496004,0.2731,0.99967,-0.0043,0.1066,0.0785,0.1196
1564,4064106657752546560,270.748648,-26.075684,-8.0331,-2.6848,0.0063,-0.0032,-1.0347645669291312,-0.1696574803149602,1.1878,0.98613,-0.208,0.5838,0.3707,0.548
1571,4064106657759591936,270.744792,-26.07309,-6.5003,-2.8585,0.0028,-0.0006,0.49803543307086784,-0.34335748031495994,-0.2781,0.99858,0.0456,0.2386,0.1868,0.2365
1572,4064109608392668544,270.741907,-26.072838,-7.1386,-1.5636,0.0002,-0.0003,-0.14026456692913225,0.9515425196850398,0.6703,0.95276,-0.0106,0.3775,0.2597,0.38
1577,4064106657752611840,270.747815,-26.072926,-7.6791,-3.2838,0.0055,-0.0004,-0.680764566929132,-0.76865748031496,0.8232,0.97494,0.6051,1.2269,0.7276,0.7317
1581,4064106657752638464,270.747338,-26.072425,-6.6449,-2.4086,0.0051,0.0001,0.3534354330708682,0.10654251968504003,0.4137,0.99787,0.3374,0.3064,0.2083,0.2853
1587,4064109608392670080,270.743102,-26.06944,-5.9844,-2.6501,0.0013,0.0031,1.013935433070868,-0.13495748031496024,-0.086,0.9898,0.3103,0.3073,0.1963,0.2702
1588,4064109612690289664,270.743324,-26.068861,-6.3417,-3.3163,0.0015,0.0036,0.6566354330708677,-0.8011574803149601,-1.006,0.98136,-0.2452,0.594,0.4148,0.7654
1608,4064106657752630784,270.748907,-26.071373,-6.3076,-1.7184,0.0065,0.0011,0.6907354330708682,0.79674251968504,0.3785,0.95459,-0.0645,0.4983,0.3182,0.5039
1627,4064106589032718464,270.756487,-26.086823,-7.5714,-2.8458,0.0133,-0.0143,-0.5730645669291317,-0.33065748031496023,0.6622,0.97609,-0.1362,0.5221,0.3651,0.5276
1738,4064106966989675648,270.772463,-26.080849,-7.1762,-2.4507,0.0277,-0.0084,-0.17786456692913166,0.06444251968504,0.5258,0.96155,0.2262,0.6472,0.3666,0.6028
1766,4064107035709481984,270.756752,-26.077648,-7.4459,-2.5764,0.0136,-0.0051,-0.44756456692913194,-0.061257480314960144,0.2448,0.99526,0.2981,0.2446,0.166,0.2112
1798,4064106966989928576,270.765188,-26.07444,-6.8751,-2.3307,0.0211,-0.0019,0.12323543307086826,0.18444251968503966,0.2779,0.99223,0.005,0.1704,0.1301,0.1852
1804,4064107031412304256,270.755996,-26.072921,-7.4794,-2.5057,0.0129,-0.0004,-0.481064566929132,0.00944251968503984,0.7888,0.97859,0.3255,0.3942,0.2649,0.3267
1813,4064107031412307584,270.76005,-26.073137,-6.508,-2.3228,0.0165,-0.0006,0.490335433070868,0.1923425196850399,0.378,0.98937,0.3338,0.3819,0.2545,0.3482
1823,4064107035713082752,270.765623,-26.071793,-6.6335,-2.1564,0.0215,0.0007,0.3648354330708683,0.3587425196850398,0.5789,0.96199,0.0161,0.508,0.3507,0.4647
1835,4064107031412314496,270.767345,-26.070392,-7.1445,-2.4639,0.0231,0.0021,-0.14616456692913182,0.05124251968503968,0.9734,0.95626,-0.0143,0.7916,0.4849,0.7361
1840,4064106962692840832,270.771327,-26.078678,-6.5293,-2.7843,0.0266,-0.0062,0.4690354330708679,-0.2691574803149601,0.3111,0.97474,0.3864,0.3442,0.2272,0.2921
2046,4064109853209210880,270.708341,-26.060172,-6.3548,-2.7711,-0.0299,0.0123,0.643535433070868,-0.25595748031496024,-0.013,0.95249,-0.0154,0.2021,0.1437,0.217
2113,4064109681410221696,270.72544,-26.061156,-7.2906,-2.702,-0.0146,0.0113,-0.2922645669291324,-0.18685748031496008,0.0649,0.9817,-0.2269,0.6302,0.4035,0.6659
2117,4064109677112129664,270.724492,-26.059938,-6.9118,-2.4052,-0.0154,0.0126,0.08653543307086764,0.1099425196850401,0.2728,0.99825,-0.0874,0.1609,0.1144,0.1885
