,# source_id,ra,dec,pmra,pmdec,x,y,vx,vy,plx,memberprob,pmcorr,pmrae,pmdece,plxe
14911,1821607990884412160,298.485741,18.7567,-3.294,-2.5974,0.0398,-0.0225,0.17146224016491995,-0.018523294966500625,0.6381,0.98477,0.1167,0.3878,0.3724,0.3928
14912,1821607990884429696,298.484801,18.758239,-3.4774,-2.6744,0.0389,-0.021,-0.01193775983507983,-0.09552329496650058,0.2521,0.99935,-0.0384,0.096,0.0912,0.1008
14917,1821607990884426240,298.48585,18.759389,-3.2414,-2.8198,0.0399,-0.0198,0.22406224016491993,-0.24092329496650056,0.5782,0.99281,0.2239,0.1804,0.1806,0.1917
14918,1821607990884426112,298.486078,18.759791,-3.2077,-2.4164,0.0401,-0.0194,0.25776224016492,0.16247670503349942,0.3967,0.98026,0.2787,0.4821,0.4555,0.509
14920,1821607990919181952,298.486506,18.761085,-3.4906,-2.6098,0.0405,-0.0181,-0.025137759835080153,-0.030923294966500592,0.2566,0.99988,-0.0559,0.0166,0.0157,0.0177
14921,1821607990884432384,298.486391,18.761617,-3.3279,-2.6157,0.0404,-0.0176,0.1375622401649199,-0.03682329496650061,0.3276,0.9987,0.0267,0.1039,0.1031,0.1088
14927,1821607986600533504,298.487299,18.761558,-3.2395,-2.9248,0.0413,-0.0176,0.22596224016491995,-0.34592329496650054,0.3582,0.99005,0.2587,0.1634,0.1807,0.1728
14928,1821607922164861696,298.490139,18.750366,-3.7708,-2.8071,0.0439,-0.0288,-0.30533775983507994,-0.22822329496650084,0.286,0.9924,0.2247,0.2174,0.2224,0.2369
14931,1821607917863006080,298.49022,18.752569,-3.2059,-2.6613,0.044,-0.0266,0.2595622401649198,-0.08242329496650092,-0.3188,0.9903,0.1547,0.1526,0.1701,0.1663
14934,1821607922199680128,298.492612,18.751378,-3.5009,-2.7397,0.0463,-0.0278,-0.03543775983508013,-0.16082329496650072,0.2333,0.99907,0.0312,0.0743,0.0716,0.0791
14938,1821607922199684096,298.492105,18.753163,-3.2247,-2.8591,0.0458,-0.026,0.2407622401649201,-0.2802232949665009,0.2729,0.98749,0.2136,0.2112,0.2266,0.226
14940,1821607986608268544,298.4905,18.755039,-3.2637,-2.7441,0.0443,-0.0241,0.20176224016491995,-0.16522329496650068,0.6413,0.99295,0.2323,0.2091,0.2144,0.2043
14941,1821607917888791680,298.492659,18.7529,-4.2805,-3.2046,0.0463,-0.0263,-0.81503775983508,-0.6257232949665008,0.6133,0.95525,0.3617,0.5729,0.5877,0.5041
14947,1821607917862994816,298.495486,18.749447,-3.8056,-2.9845,0.049,-0.0297,-0.3401377598350801,-0.40562329496650085,0.3261,0.98017,0.1735,0.1899,0.2021,0.2051
14950,1821607917862999296,298.496291,18.751603,-3.7012,-2.7641,0.0498,-0.0276,-0.23573775983508005,-0.1852232949665007,0.2801,0.9939,0.0211,0.0722,0.0703,0.0773
14952,1821607922164771328,298.499143,18.749215,-3.2941,-3.0111,0.0525,-0.03,0.1713622401649202,-0.4322232949665006,0.6877,0.97032,0.2818,0.246,0.2572,0.2585
14957,1821607922164792064,298.498045,18.751214,-3.3689,-2.1118,0.0514,-0.028,0.09656224016491999,0.4670767050334992,0.3099,0.98175,0.296,0.1733,0.187,0.1837
14958,1821607922164785024,298.498738,18.751184,-3.637,-2.7251,0.0521,-0.028,-0.17153775983508002,-0.14622329496650055,0.3606,0.99524,0.2475,0.2096,0.2126,0.228
14970,1821607986608269184,298.490888,18.757664,-3.8836,-2.8525,0.0447,-0.0215,-0.41813775983507995,-0.27362329496650073,0.5862,0.98762,0.2087,0.2212,0.2267,0.2335
14971,1821607990884371456,298.491213,18.758078,-3.1465,-2.2202,0.045,-0.0211,0.3189622401649199,0.35867670503349913,-0.5162,0.98445,0.5183,0.4145,0.4357,0.385
14975,1821607990884352768,298.49262,18.757116,-4.0666,-3.0952,0.0463,-0.0221,-0.6011377598350802,-0.5163232949665009,0.7413,0.97159,0.3297,0.3591,0.3525,0.3619
14976,1821607986582508288,298.493716,18.757787,-3.822,-2.8378,0.0473,-0.0214,-0.35653775983508007,-0.2589232949665008,0.0969,0.98386,0.1772,0.1325,0.1422,0.1481
14980,1821607990884369408,298.492415,18.759583,-3.2039,-2.5349,0.0461,-0.0196,0.26156224016492,0.043976705033499375,0.7852,0.9867,0.3011,0.3834,0.397,0.3931
14981,1821607990884383360,298.491676,18.760781,-3.0232,-2.2808,0.0454,-0.0184,0.4422622401649199,0.29807670503349915,0.1206,0.9845,0.1493,0.2865,0.2978,0.3209
14990,1821607922164849280,298.49565,18.757199,-3.3225,-1.9707,0.0492,-0.022,0.1429622401649202,0.6081767050334994,0.0369,0.9751,0.2123,0.2431,0.2401,0.2719
14992,1821607917888792576,298.497788,18.756413,-3.9139,-2.4586,0.0512,-0.0228,-0.44843775983507994,0.12027670503349919,0.2417,0.98789,0.1107,0.2153,0.2102,0.2313
14994,1821607922164811904,298.498453,18.754634,-3.1,-2.388,0.0518,-0.0246,0.3654622401649199,0.1908767050334994,0.1471,0.98746,0.1478,0.2335,0.2285,0.2534
14997,1821607917888792832,298.499522,18.756712,-3.4808,-2.2619,0.0528,-0.0225,-0.0153377598350799,0.3169767050334995,-0.3805,0.99074,0.1787,0.2096,0.2285,0.2283
14998,1821607922199682048,298.496255,18.758348,-3.2899,-2.6034,0.0497,-0.0208,0.17556224016492017,-0.024523294966500853,0.2638,0.99962,-0.1355,0.0213,0.0207,0.0233
