,# source_id,ra,dec,pmra,pmdec,x,y,vx,vy,plx,memberprob,pmcorr,pmrae,pmdece,plxe
16,4380938934811038720,254.904805,-0.529822,-0.4666,-0.7454,-0.0577,0.0091,0.013058415841584181,0.1927980198019802,-0.0697,0.99707,0.1372,0.1976,0.1586,0.1749
38,4380926466522089216,254.935903,-0.582489,-0.4752,-0.8326,-0.0266,-0.0436,0.004458415841584185,0.10559801980198014,-0.0129,0.99957,0.0322,0.0654,0.0539,0.0584
52,4380926634024640256,254.963612,-0.582732,-1.0689,-1.0804,0.0011,-0.0438,-0.5892415841584158,-0.14220198019801988,-0.7853,0.96355,0.0304,0.7277,0.5799,0.647
54,4380926466523297152,254.943792,-0.575881,-0.2605,-0.8196,-0.0187,-0.037,0.2191584158415842,0.11859801980198015,0.1123,0.95529,0.2903,0.7925,0.6182,0.6452
62,4380926530945443328,254.929897,-0.566414,0.1094,-1.3981,-0.0326,-0.0275,0.5890584158415841,-0.45990198019801976,-0.6471,0.95474,0.0213,0.6037,0.4861,0.5683
66,4380938664229213440,254.926785,-0.547246,-0.1844,-1.125,-0.0357,-0.0084,0.2952584158415842,-0.18680198019801986,-0.6962,0.99102,0.0021,0.5384,0.4141,0.4996
75,4380938694292848256,254.932727,-0.545857,-0.2487,-0.44,-0.0298,-0.007,0.2309584158415842,0.49819801980198014,0.4918,0.96732,0.001,0.4143,0.3426,0.3832
78,4380938698590157440,254.936313,-0.544829,0.0673,-1.2009,-0.0262,-0.0059,0.5469584158415842,-0.26270198019801994,-0.533,0.98071,-0.0779,0.8438,0.708,0.7963
79,4380938698589118976,254.938455,-0.541849,-0.7674,-0.9402,-0.024,-0.003,-0.2877415841584158,-0.0020019801980198926,0.0363,0.99973,-0.0953,0.0877,0.0715,0.0791
80,4380938694292854144,254.941294,-0.541768,1.7669,-0.5899,-0.0212,-0.0029,2.246558415841584,0.34829801980198016,-2.6655,0.95663,-0.0962,1.539,1.0625,1.5715
82,4380926878837772288,254.952698,-0.560727,0.1519,-1.3719,-0.0098,-0.0218,0.6315584158415842,-0.43370198019801975,-0.6874,0.99074,-0.0374,0.4944,0.4146,0.4664
86,4380926874542831232,254.956077,-0.561859,-0.2069,-0.7598,-0.0064,-0.023,0.2727584158415842,0.1783980198019801,-1.9284,0.97869,0.0442,1.3872,0.9556,1.1882
89,4380926878840159488,254.967508,-0.560516,-0.7334,-0.9356,0.005,-0.0216,-0.25374158415841586,0.002598019801980156,0.5691,0.98017,-0.0777,0.829,0.6857,0.6656
90,4380926981918330752,254.967337,-0.55644,-0.6632,-0.8952,0.0048,-0.0176,-0.18354158415841582,0.04299801980198015,-0.0132,0.99999,0.0197,0.061,0.0486,0.0512
92,4380926943262318208,254.946301,-0.55252,-1.233,-0.5304,-0.0162,-0.0136,-0.7533415841584159,0.40779801980198016,-0.5894,0.9898,-0.0551,0.7385,0.5555,0.6946
94,4380926943264196608,254.953161,-0.550876,0.8986,-0.2955,-0.0093,-0.012,1.378258415841584,0.6426980198019802,2.4405,0.95432,-0.0637,1.3571,1.0683,1.4149
96,4380926943262327296,254.948119,-0.546068,-0.4686,-1.0675,-0.0144,-0.0072,0.01105841584158418,-0.12930198019801975,1.9108,0.96783,-0.0715,0.757,0.5938,0.7183
102,4380927050636469376,254.957672,-0.548388,-1.4742,-0.9927,-0.0048,-0.0095,-0.9945415841584158,-0.054501980198019884,0.7857,0.97711,0.0236,1.1852,0.9574,0.9932
103,4380926981916990208,254.961558,-0.54967,0.6733,-1.5734,-0.0009,-0.0108,1.1529584158415842,-0.6352019801980198,-0.0463,0.97689,0.123,0.9486,0.7558,0.9089
104,4380926981918331776,254.966319,-0.548291,-0.523,-0.9131,0.0038,-0.0094,-0.043341584158415825,0.02509801980198012,0.0844,0.99999,-0.0846,0.0632,0.0517,0.0548
107,4380927046341541248,254.9582,-0.546415,-0.7157,-0.9398,-0.0043,-0.0075,-0.2360415841584158,-0.0016019801980198256,0.1773,0.99964,-0.0629,0.2157,0.1735,0.1964
108,4380927046342069120,254.958811,-0.543513,-0.53,-1.2599,-0.0037,-0.0046,-0.05034158415841583,-0.3217019801980199,-0.7355,0.99891,-0.0808,0.5055,0.4182,0.4786
109,4380927046341548160,254.958779,-0.541318,-1.0159,-1.1436,-0.0037,-0.0024,-0.5362415841584158,-0.2054019801980198,-0.1988,0.99856,0.0189,0.4404,0.3478,0.397
110,4380927050638852096,254.964073,-0.546444,-0.8694,-0.3293,0.0016,-0.0076,-0.38974158415841575,0.6088980198019802,0.5024,0.99259,-0.0483,0.5873,0.485,0.5323
111,4380927046341546368,254.962619,-0.542477,0.104,-2.3357,0.0001,-0.0036,0.5836584158415842,-1.39750198019802,-0.2745,0.97062,0.05,1.3238,1.2324,1.2363
131,4380925946829883776,255.002091,-0.571977,-0.7168,-0.5568,0.0396,-0.0331,-0.2371415841584158,0.3813980198019802,0.0916,0.97894,-0.0182,0.2669,0.2037,0.2317
139,4380926668384399360,254.973955,-0.563077,-0.3819,-1.3557,0.0115,-0.0242,0.09775841584158418,-0.41750198019801976,-1.2746,0.99374,0.034,0.6552,0.5016,0.5642
141,4380926977622050432,254.971274,-0.558687,-0.2909,0.2961,0.0088,-0.0198,0.1887584158415842,1.2342980198019802,-0.9304,0.97621,-0.0883,0.8254,0.6674,0.6989
143,4380926977622055424,254.970907,-0.553946,-1.7306,-0.9075,0.0084,-0.0151,-1.2509415841584157,0.03069801980198017,-0.164,0.9822,0.1934,0.738,0.5522,0.609
148,4380926771463624576,254.981837,-0.554133,-0.0368,-0.6535,0.0193,-0.0152,0.4428584158415842,0.2846980198019802,-0.3564,0.99632,0.1112,0.4638,0.3668,0.3985
152,4380926981916985856,254.973241,-0.547517,-0.3143,-0.6506,0.0107,-0.0086,0.16535841584158417,0.2875980198019802,0.7147,0.97713,0.1947,1.4889,1.0741,1.2908
153,4380926977622058880,254.974725,-0.550547,-0.3699,-0.8491,0.0122,-0.0117,0.10975841584158419,0.08909801980198018,-0.3403,0.99115,0.0596,0.9766,0.7027,0.8698
155,4380926977622057984,254.979298,-0.551583,-0.7041,-0.925,0.0168,-0.0127,-0.22444158415841575,0.013198019801980099,-0.0358,0.99994,-0.0715,0.1202,0.0965,0.1064
157,4380926977622065024,254.967903,-0.545812,-0.6704,-0.8447,0.0054,-0.0069,-0.1907415841584158,0.09349801980198014,-0.0145,0.99994,-0.0453,0.1738,0.1399,0.1618
158,4380926981916986880,254.971605,-0.546898,-0.8805,-1.4064,0.0091,-0.008,-0.40084158415841575,-0.46820198019801995,1.2904,0.96967,-0.0317,1.2448,1.0576,1.0971
162,4380927011981805696,254.978545,-0.545743,-0.659,-0.6651,0.016,-0.0069,-0.17934158415841583,0.2730980198019801,-0.045,0.99967,0.057,0.2121,0.1653,0.1824
163,4380927011981807872,254.975882,-0.542379,0.6314,-1.1091,0.0134,-0.0035,1.1110584158415842,-0.17090198019801983,0.2493,0.98225,-0.0023,0.757,0.6152,0.6951
164,4380926810120783872,254.98875,-0.549887,-0.5095,-1.0986,0.0262,-0.011,-0.029841584158415757,-0.16040198019801988,0.0755,0.99878,-0.1025,0.2075,0.1824,0.1849
165,4380926805825272832,254.991614,-0.549604,-0.7307,-0.7085,0.0291,-0.0107,-0.2510415841584158,0.22969801980198012,0.2187,0.98545,0.003,0.5689,0.4588,0.509
167,4380927011981807744,254.987872,-0.542568,-0.3889,-0.7714,0.0254,-0.0037,0.09075841584158417,0.16679801980198017,-1.8386,0.99529,-0.0416,0.693,0.5855,0.5904
169,4380926737103880704,254.995389,-0.559233,-0.9567,-0.6857,0.0329,-0.0203,-0.4770415841584158,0.25249801980198017,0.3888,0.96393,0.0317,0.5582,0.4315,0.4948
176,4380926805823369472,254.995155,-0.548273,-0.1642,-1.5531,0.0327,-0.0094,0.3154584158415842,-0.6149019801980198,-0.5413,0.98073,-0.0701,0.4177,0.3496,0.3627
177,4380926805823368704,254.997926,-0.548657,-0.8709,-1.0234,0.0354,-0.0098,-0.3912415841584158,-0.08520198019801994,0.604,0.9571,-0.0904,0.6076,0.4925,0.5426
195,4380938698587787648,254.936641,-0.539041,-0.4601,-0.9314,-0.0259,-0.0002,0.019558415841584187,0.0067980198019801374,0.8544,0.9676,-0.1812,0.9452,0.794,0.9139
