file_name,mean_x,mean_y,mean_vx,mean_vy,size,r_sun,rotating
AM_1.txt,-121.24112275,-1.00029704973647,0.485551785714286,-0.1240375,56,123.3,0
AM_4.txt,29.091334,-0.492967976305545,-0.442075,-2.504175,4,32.2,0
Arp_2.txt,112.18230978392,-0.556452368777247,-2.29944623115578,-1.49982512562814,199,28.6,0
BH_176.txt,54.7812354752475,-1.01204946731525,-3.95842178217822,-3.08822772277228,101,18.9,0
BH_261_AL_3.txt,93.525899125,-0.522037345303019,3.6379078125,-3.5695875,64,6.5,0
Djorg_1.txt,86.870465968254,-0.612118582579502,-4.6938126984127,-8.47646507936508,63,13.7,0
Djorg_2_ESO456-.txt,90.45857415,-0.505933177002729,0.68484,-3.04572,20,6.3,0
E_3.txt,-39.7722163576826,-2.19435244430309,-2.75038287153652,7.13476272040302,397,8.1,0
Eridanus.txt,-113.816429534884,-0.378475788904629,0.505990697674419,-0.270886046511628,43,90.1,0
ESO280-06.txt,92.274705372549,-0.916946993447128,-0.637311764705882,-2.83795882352941,51,21.4,0
ESO452-11.txt,69.8559160967742,-0.517288708902395,-1.34222129032258,-6.57411161290323,155,8.3,0
FSR_1735.txt,73.0479594659091,-0.933112593196081,-4.61516022727273,-1.45380795454545,88,9.8,0
HP_1_BH_229.txt,82.7725360732861,-0.54894208427401,2.53026997635934,-10.1578640661939,423,8.2,0
IC_1257.txt,81.7856363333333,-0.124112177879967,-1.11582407407407,-1.52791203703704,108,25,0
IC_1276_Pal_7.txt,92.6867160034742,-0.126160552395284,-2.58247226404169,-4.57539473074696,1727,5.4,0
IC_4499.txt,45.0837495595296,-2.68756306314887,0.66242219500245,-0.530624399804018,2041,18.8,0
Ko_1.txt,-0.177117666666665,0.21566974972681,-1.85745,-0.662166666666667,6,48.3,0
Ko_2.txt,-60.429608,0.475089183838642,-0.33938,-0.0294,5,34.7,0
Liller_1.txt,83.3503745454546,-0.618851043078989,-5.65527272727273,-7.67115454545455,33,8.2,0
Lynga_7_BH184.txt,62.7659711868787,-1.16392922949836,-3.8633944333996,-7.14391371769384,503,8,0
NGC_104_47Tuc.txt,-173.980968221771,-1.84732322697986,5.28597442743743,-2.54976361521516,105316,4.5,1
NGC_1261.txt,-131.933116447987,-1.16081482944274,1.59305999520614,-2.08174542186002,4172,16.3,0
NGC_1851.txt,-101.471379408462,-0.763959295547024,2.12048590290051,-0.679339307620335,9619,12.1,0
NGC_1904_M_79.txt,-98.9539297146274,-0.441745566671328,2.49806220095694,-1.62708632946001,5852,12.9,0
NGC_2298.txt,-77.753083514406,-0.674389701037973,3.31980084169634,-2.19216225315636,3089,10.8,0
NGC_2419.txt,-65.4654816496674,0.737652096279569,-0.0674435328898744,-0.455353806356245,1353,82.6,0
NGC_2808.txt,-41.9874366527105,-1.50080129602011,1.09634767061955,0.177924824540174,16528,9.6,0
NGC_288.txt,-166.812246705081,-0.481593145040442,4.16289070710974,-5.68784540185471,10352,8.9,0
NGC_3201.txt,-25.6005819524479,-0.916672020710489,8.35154916635444,-1.95476011614837,32028,4.9,0
NGC_362.txt,-164.191792040465,-1.77963855495774,6.7297563680869,-2.53364292817257,13073,8.6,0
NGC_4147.txt,2.52680382857143,0.32944088140077,-1.72474589861751,-2.07837142857143,1085,19.3,0
NGC_4372.txt,6.45252865665738,-1.88044358470999,-6.40133771587744,3.44415689693593,17950,5.8,0
NGC_4590_M_68.txt,9.86735235080337,-0.484714183280627,-2.69364863555216,1.79888580719204,7842,10.3,0
NGC_4833.txt,14.8883212280969,-1.78106734368253,-8.44715674234344,-0.99863984458327,6563,6.6,1
NGC_5024_M_53.txt,18.2301251926229,0.322541304762082,-0.115578720880069,-1.30203841673857,9272,17.9,0
NGC_5053.txt,19.1107777751502,0.313969996606252,-0.257740953453453,-1.27789988738739,2664,17.4,0
NGC_5139_oCen.txt,21.7036228113693,-0.943902151676985,-3.22740519563614,-6.8244824342058,153167,5.2,1
NGC_5272_M_3.txt,25.5487718196694,0.51686651844892,-0.122797129147357,-2.67107823073453,24383,10.2,0
NGC_5286.txt,26.612795071834,-1.04850708831566,0.350997250798155,-0.0983637814827953,5638,11.7,0
NGC_5466.txt,31.3636094662669,0.519970911107935,-5.38749601627758,-0.838764724780467,4669,16,0
NGC_5634.txt,37.4045418791793,-0.104522705492201,-1.69223366261398,-1.43544012158055,1316,25.2,0
NGC_5694.txt,39.9022806351119,-0.480704238836009,-0.472936488812392,-1.12545542168675,581,35,0
NGC_5824.txt,45.9944530825939,-0.612145686137259,-1.14578423208191,-2.20136641638225,1465,32.1,0
NGC_5897.txt,49.3496508670427,-0.375204826470194,-5.44141284448026,-3.40478884770346,6205,12.5,0
NGC_5904_M_5.txt,49.6400808162477,0.0363065299873239,4.09228890504883,-9.88249847496364,24065,7.5,0
NGC_5927.txt,52.000244304142,-1.02908436053154,-5.05949970414201,-3.20418053254438,1690,7.7,0
NGC_5946.txt,53.867944240481,-1.02872695758383,-5.35040681362725,-1.63229819639279,499,10.6,0
NGC_5986.txt,56.5134815719723,-0.713255061808844,-4.15522290657439,-4.60319719723183,2890,10.4,0
NGC_6093_M_80.txt,64.2593740272193,-0.41222092127049,-2.87959341169193,-5.60576294463347,3233,10,0
NGC_6101.txt,66.4496188829325,-1.85427231731121,1.84234986960301,-0.187351347435526,6902,15.4,0
NGC_6121_M_4.txt,65.8976056078598,-0.480456197375507,-12.5229184511655,-19.0142406858023,25955,2.2,0
NGC_6139.txt,66.9186531731884,-0.736890899148191,-6.16478362318841,-2.67321760869565,1380,10.1,0
