file_name,mean_x,mean_y,mean_vx,mean_vy,size,r_sun,vPhi.vR,rotating,age,RA,DEC,L,B,R_sun,R_gc,X,Y,Z,X.Fe.H.,wt,E.B.V.,V_HB,X.m.M.V,V_t,M_V.t,U.B,B.V,V.R,V.I,spt,ellip
NGC_104_47Tuc.txt,-173.980968221771,-1.84732322697986,5.28597442743743,-2.54976361521516,105316,4.5,16.608,1,11.75+-0.25,00 24 05.67,-72 04 52.6,305.89,-44.89,4.5,7.4,1.9,-2.6,-3.1,-0.72,10,0.04,14.06,13.37,3.95,-9.42,0.37,0.88,0.53,1.14,G4,0.09
NGC_1261.txt,-131.933116447987,-1.16081482944274,1.59305999520614,-2.08174542186002,4172,16.3,1.09949,0,10.75+-0.25,03 12 16.21,-55 12 58.4,270.54,-52.12,16.3,18.1,0.1,-10,-12.9,-1.27,3,0.01,16.7,16.09,8.29,-7.8,0.13,0.72,0.45,0.93,F7,0.07
NGC_1851.txt,-101.471379408462,-0.763959295547024,2.12048590290051,-0.679339307620335,9619,12.1,-0.717894,0,11.00+-0.25,05 14 06.76,-40 02 47.6,244.51,-35.03,12.1,16.6,-4.2,-8.9,-6.9,-1.18,9,0.02,16.09,15.47,7.14,-8.33,0.17,0.76,0.49,1.01,F7,0.05
NGC_1904_M_79.txt,-98.9539297146274,-0.441745566671328,2.49806220095694,-1.62708632946001,5852,12.9,-1.41833,0,NA,05 24 11.09,-24 31 29.0,227.23,-29.35,12.9,18.8,-7.7,-8.3,-6.3,-1.6,6,0.01,16.15,15.59,7.73,-7.86,0.06,0.65,0.44,0.91,F5,0.01
NGC_2298.txt,-77.753083514406,-0.674389701037973,3.31980084169634,-2.19216225315636,3089,10.8,6.28422,0,NA,06 48 59.41,-36 00 19.1,245.63,-16,10.8,15.8,-4.3,-9.4,-3,-1.92,5,0.14,16.11,15.6,9.29,-6.31,0.17,0.75,0.54,1.11,F5,0.08
NGC_2419.txt,-65.4654816496674,0.737652096279569,-0.0674435328898744,-0.455353806356245,1353,82.6,-0.126448,0,NA,07 38 08.47,+38 52 56.8,180.37,25.24,82.6,89.9,-74.7,-0.5,35.2,-2.15,2,0.08,20.31,19.83,10.41,-9.42,0.07,0.66,NA,1.05,F5,0.03
NGC_2808.txt,-41.9874366527105,-1.50080129602011,1.09634767061955,0.177924824540174,16528,9.6,0.31851,0,11.00+-0.38,09 12 03.10,-64 51 48.6,282.19,-11.25,9.6,11.1,2,-9.2,-1.9,-1.14,4,0.22,16.22,15.59,6.2,-9.39,0.28,0.92,0.57,1.18,F7,0.12
NGC_288.txt,-166.812246705081,-0.481593145040442,4.16289070710974,-5.68784540185471,10352,8.9,-1.6477,0,11.50+-0.38,00 52 45.24,-26 34 57.4,152.3,-89.38,8.9,12,-0.1,0,-8.9,-1.32,3,0.03,15.44,14.84,8.09,-6.75,0.08,0.65,0.45,0.94,,NA
NGC_3201.txt,-25.6005819524479,-0.916672020710489,8.35154916635444,-1.95476011614837,32028,4.9,0.118875,0,11.50+-0.38,10 17 36.82,-46 24 44.9,277.23,8.64,4.9,8.8,0.6,-4.8,0.7,-1.59,5,0.24,14.76,14.2,6.75,-7.45,0.38,0.96,0.62,1.23,F6,0.12
NGC_362.txt,-164.191792040465,-1.77963855495774,6.7297563680869,-2.53364292817257,13073,8.6,-3.28742,0,10.75+-0.25,01 03 14.26,-70 50 55.6,301.53,-46.25,8.6,9.4,3.1,-5.1,-6.2,-1.26,5,0.05,15.44,14.83,6.4,-8.43,0.16,0.77,0.49,1.01,F9,0.01
NGC_4147.txt,2.52680382857143,0.32944088140077,-1.72474589861751,-2.07837142857143,1085,19.3,-10.0301,0,12.25+-0.25,12 10 06.30,+18 32 33.5,252.85,77.19,19.3,21.4,-1.3,-4.1,18.8,-1.8,4,0.02,17.02,16.49,10.32,-6.17,0.11,0.59,0.42,0.79,F2/3,0.08
NGC_4372.txt,6.45252865665738,-1.88044358470999,-6.40133771587744,3.44415689693593,17950,5.8,-2.97611,0,NA,12 25 45.40,-72 39 32.4,300.99,-9.88,5.8,7.1,2.9,-4.9,-1,-2.17,4,0.39,15.5,15.03,7.24,-7.79,0.31,1.1,0.72,1.5,F5,0.15
NGC_4590_M_68.txt,9.86735235080337,-0.484714183280627,-2.69364863555216,1.79888580719204,7842,10.3,-4.66541,0,12.00+-0.25,12 39 27.98,-26 44 38.6,299.63,36.05,10.3,10.2,4.1,-7.2,6,-2.23,5,0.05,15.68,15.21,7.84,-7.37,0.04,0.63,0.46,0.94,F2/3,0.05
NGC_4833.txt,14.8883212280969,-1.78106734368253,-8.44715674234344,-0.99863984458327,6563,6.6,-3.39665,1,12.50+-0.50,12 59 33.92,-70 52 35.4,303.6,-8.02,6.6,7,3.6,-5.4,-0.9,-1.85,4,0.32,15.6,15.08,6.91,-8.17,0.29,0.93,0.63,1.33,F3,0.07
NGC_5024_M_53.txt,18.2301251926229,0.322541304762082,-0.115578720880069,-1.30203841673857,9272,17.9,-2.8122,0,12.25+-0.25,13 12 55.25,+18 10 05.4,332.96,79.76,17.9,18.4,2.8,-1.4,17.6,-2.1,2,0.02,16.81,16.32,7.61,-8.71,0.09,0.64,0.45,0.86,F6,0.01
NGC_5053.txt,19.1107777751502,0.313969996606252,-0.257740953453453,-1.27789988738739,2664,17.4,0.33078,0,12.25+-0.38,13 16 27.09,+17 42 00.9,335.7,78.95,17.4,17.8,3,-1.4,17.1,-2.27,4,0.01,16.69,16.23,9.47,-6.76,0.03,0.65,NA,0.9,,0.21
NGC_5139_oCen.txt,21.7036228113693,-0.943902151676985,-3.22740519563614,-6.8244824342058,153167,5.2,7.73695,1,NA,13 26 47.24,-47 28 46.5,309.1,14.97,5.2,6.4,3.1,-3.9,1.3,-1.53,4,0.12,14.51,13.94,3.68,-10.26,0.19,0.78,0.51,1.05,F5,0.17
NGC_5272_M_3.txt,25.5487718196694,0.51686651844892,-0.122797129147357,-2.67107823073453,24383,10.2,NA,0,11.75+-0.25,13 42 11.62,+28 22 38.2,42.22,78.71,10.2,12,1.5,1.3,10,-1.5,7,0.01,15.64,15.07,6.19,-8.88,0.09,0.69,NA,0.93,F6,0.04
NGC_5286.txt,26.612795071834,-1.04850708831566,0.350997250798155,-0.0983637814827953,5638,11.7,NA,0,12.50+-0.38,13 46 26.81,-51 22 27.3,311.61,10.57,11.7,8.9,7.6,-8.6,2.1,-1.69,4,0.24,16.63,16.08,7.34,-8.74,0.28,0.88,0.58,1.19,F5,0.12
NGC_5466.txt,31.3636094662669,0.519970911107935,-5.38749601627758,-0.838764724780467,4669,16,0.0514293,0,12.50+-0.25,14 05 27.29,+28 32 04.0,42.15,73.59,16,16.3,3.3,3,15.3,-1.98,3,0,16.52,16.02,9.04,-6.98,NA,0.67,NA,0.82,,0.11
NGC_5634.txt,37.4045418791793,-0.104522705492201,-1.69223366261398,-1.43544012158055,1316,25.2,-0.729048,0,NA,14 29 37.23,-05 58 35.1,342.21,49.26,25.2,21.2,15.7,-5,19.1,-1.88,2,0.05,17.68,17.16,9.47,-7.69,0.09,0.67,0.44,0.96,F3/4,0.02
NGC_5694.txt,39.9022806351119,-0.480704238836009,-0.472936488812392,-1.12545542168675,581,35,0.0625636,0,NA,14 39 36.29,-26 32 20.2,331.06,30.36,35,29.4,26.4,-14.6,17.7,-1.98,5,0.09,18.5,18,10.17,-7.83,0.08,0.69,0.48,0.98,F4,0.04
NGC_5824.txt,45.9944530825939,-0.612145686137259,-1.14578423208191,-2.20136641638225,1465,32.1,0.857157,0,NA,15 03 58.63,-33 04 05.6,332.56,22.07,32.1,25.9,26.4,-13.7,12.1,-1.91,4,0.13,18.45,17.94,9.09,-8.85,0.12,0.75,0.51,1.05,F4,0.03
NGC_5897.txt,49.3496508670427,-0.375204826470194,-5.44141284448026,-3.40478884770346,6205,12.5,0.0707181,0,NA,15 17 24.50,-21 00 37.0,342.95,30.29,12.5,7.4,10.3,-3.2,6.3,-1.9,3,0.09,16.27,15.76,8.53,-7.23,0.08,0.74,0.5,1.04,F7,0.08
NGC_5904_M_5.txt,49.6400808162477,0.0363065299873239,4.09228890504883,-9.88249847496364,24065,7.5,9.10745,0,11.50+-0.25,15 18 33.22,+02 04 51.7,3.86,46.8,7.5,6.2,5.1,0.3,5.5,-1.29,11,0.03,15.07,14.46,5.65,-8.81,0.17,0.72,0.45,0.95,F7,0.14
NGC_5927.txt,52.000244304142,-1.02908436053154,-5.05949970414201,-3.20418053254438,1690,7.7,-2.09579,0,10.75+-0.38,15 28 00.69,-50 40 22.9,326.6,4.86,7.7,4.6,6.4,-4.2,0.7,-0.49,5,0.45,16.55,15.82,8.01,-7.81,0.85,1.31,0.79,1.63,G2,0.04
NGC_5946.txt,53.867944240481,-1.02872695758383,-5.35040681362725,-1.63229819639279,499,10.6,-1.3244,0,NA,15 35 28.52,-50 39 34.8,327.58,4.19,10.6,5.8,8.9,-5.6,0.8,-1.29,4,0.54,17.4,16.79,9.61,-7.18,0.45,1.29,0.77,1.58,F7/8,0.16
NGC_5986.txt,56.5134815719723,-0.713255061808844,-4.15522290657439,-4.60319719723183,2890,10.4,-2.40876,0,12.25+-0.75,15 46 03.00,-37 47 11.1,337.02,13.27,10.4,4.8,9.3,-4,2.4,-1.59,4,0.28,16.52,15.96,7.52,-8.44,0.3,0.9,0.58,1.22,F5,0.06
NGC_6093_M_80.txt,64.2593740272193,-0.41222092127049,-2.87959341169193,-5.60576294463347,3233,10,1.88767,0,NA,16 17 02.41,-22 58 33.9,352.67,19.46,10,3.8,9.4,-1.2,3.3,-1.75,6,0.18,16.1,15.56,7.33,-8.23,0.21,0.84,0.56,1.11,F6,0
NGC_6101.txt,66.4496188829325,-1.85427231731121,1.84234986960301,-0.187351347435526,6902,15.4,3.25055,0,12.25+-0.50,16 25 48.12,-72 12 07.9,317.74,-15.82,15.4,11.2,11,-10,-4.2,-1.98,3,0.05,16.6,16.1,9.16,-6.94,0.06,0.68,0.5,NA,F5,0.05
NGC_6121_M_4.txt,65.8976056078598,-0.480456197375507,-12.5229184511655,-19.0142406858023,25955,2.2,3.91744,0,11.50+-0.38,16 23 35.22,-26 31 32.7,350.97,15.97,2.2,5.9,2.1,-0.3,0.6,-1.16,11,0.35,13.45,12.82,5.63,-7.19,0.43,1.03,0.69,1.42,F8,0
