NGC_104_47Tuc.txt,NGC_5139_oCen.txt,NGC_5904_M_5.txt,NGC_6139.txt,NGC_6266_M_62.txt,NGC_6273_M_19.txt,NGC_6402_M_14.txt,NGC_6539.txt,NGC_6656_M_22.txt,NGC_6809_M_55.txt,NGC_7078_M_15.txt,NGC_7089_M_2.txt
0.004115666666666688,0.014904793814433038,0.0018915775401069466,0.0021732953367875666,0.0011855235602094246,0.0050470985915492825,0.020302809045226158,0.002456365979381439,0.040593037433155,0.021193657004830866,0.0025010619047619036,0.006432885167464085
0.004440944186046523,0.01615771794871796,0.0022029456521739056,0.004116471794871808,0.0034392774869109917,0.007462323809523792,0.023092727272727293,0.0035530922330097242,0.04122715217391296,0.022034634615384588,0.003200285714285726,0.0071471571428571405
0.0045034672897196456,0.017548139896373084,0.022340709523809506,0.011557042654028482,0.007778649532710269,0.00949586635944701,0.024427112676056347,0.0038253031674208393,0.04142018378378368,0.022351758293838835,0.0032095238095238197,0.0071787216981131965
0.004551325581395353,0.019212549222797966,0.02261326424870464,0.01159144549763039,0.007831183962264131,0.00978791037735849,0.024768962616822456,0.0038276666666666797,0.04151068449197861,0.022550061611374392,0.0038964714285714365,0.007195090476190459
0.004592529953917059,0.019666891752577367,0.02274753645833329,0.011742382775119662,0.008171669767441849,0.0115730291262136,0.025044697247706384,0.003860173515981746,0.042295499999999944,0.0228059368932038,0.003977714285714295,0.007256083720930209
0.004744312195121976,0.020034886597938145,0.023698663551401815,0.01211840476190479,0.008232847222222195,0.012347838095238109,0.0256200469483568,0.003917495495495511,0.045495443850267485,0.023341845410627955,0.00405537142857144,0.0073098888888888805
0.004810566666666678,0.020355699481865306,0.023945300518134715,0.01219162264150945,0.008293403669724754,0.012364777777777787,0.02564514213197971,0.004282605769230777,0.04728917460317466,0.023746242857142833,0.004056519047619055,0.007310605633802799
0.004856417475728156,0.02057038947368426,0.024555410256410167,0.012501364928909988,0.008526658878504649,0.012419764150943419,0.026063393364928883,0.0043497087378640935,0.04804712903225826,0.024380702439024272,0.004078086124401922,0.007358334928229634
0.005014908256880718,0.021143377659574487,0.024621651041666612,0.012503163461538468,0.008699388625592394,0.01256534123222751,0.026069305699481855,0.00477418807339449,0.04813551336898401,0.0247314347826086,0.004107165876777256,0.007425929577464769
0.0050862857142856994,0.02164272680412368,0.02463466666666662,0.01293844339622646,0.009486613756613757,0.012909165876777262,0.026477102325581387,0.005214748717948726,0.04928937297297312,0.025390899521531066,0.0041245023923445,0.007473885167464095
