Gmag,G_BPmag,G_RPmag,logAge,MH
14.279,16.343,12.971,10.15382,-1.75000
14.016,15.875,12.747,10.15382,-1.75000
13.242,14.684,12.078,10.15382,-1.75000
12.405,13.628,11.316,10.15382,-1.75000
11.897,13.038,10.841,10.15382,-1.75000
11.508,12.601,10.472,10.15382,-1.75000
10.924,11.961,9.912,10.15382,-1.75000
10.395,11.386,9.405,10.15382,-1.75000
9.990,10.945,9.017,10.15382,-1.75000
9.657,10.581,8.699,10.15382,-1.75000
9.293,10.179,8.355,10.15382,-1.75000
9.091,9.951,8.168,10.15382,-1.75000
8.840,9.667,7.935,10.15382,-1.75000
8.333,9.091,7.468,10.15382,-1.75000
7.754,8.450,6.928,10.15382,-1.75000
7.182,7.811,6.402,10.15382,-1.75000
7.177,7.806,6.398,10.15382,-1.75000
7.065,7.680,6.295,10.15382,-1.75000
6.961,7.564,6.199,10.15382,-1.75000
6.859,7.450,6.106,10.15382,-1.75000
6.742,7.321,6.000,10.15382,-1.75000
6.628,7.194,5.895,10.15382,-1.75000
6.582,7.144,5.853,10.15382,-1.75000
6.489,7.041,5.766,10.15382,-1.75000
6.367,6.909,5.652,10.15382,-1.75000
6.249,6.781,5.542,10.15382,-1.75000
6.128,6.651,5.429,10.15382,-1.75000
6.018,6.532,5.326,10.15382,-1.75000
5.904,6.411,5.219,10.15382,-1.75000
5.878,6.383,5.194,10.15382,-1.75000
5.869,6.374,5.186,10.15382,-1.75000
5.753,6.251,5.075,10.15382,-1.75000
5.628,6.119,4.955,10.15382,-1.75000
5.469,5.955,4.803,10.15382,-1.75000
5.307,5.786,4.645,10.15382,-1.75000
5.182,5.658,4.523,10.15382,-1.75000
5.063,5.538,4.406,10.15382,-1.75000
5.034,5.509,4.378,10.15382,-1.75000
4.991,5.466,4.334,10.15382,-1.75000
4.862,5.338,4.203,10.15382,-1.75000
4.747,5.227,4.085,10.15382,-1.75000
4.700,5.182,4.036,10.15382,-1.75000
4.645,5.132,3.978,10.15382,-1.75000
4.628,5.116,3.960,10.15382,-1.75000
4.570,5.063,3.897,10.15382,-1.75000
4.478,4.981,3.796,10.15382,-1.75000
4.394,4.908,3.702,10.15382,-1.75000
4.316,4.844,3.614,10.15382,-1.75000
4.244,4.784,3.530,10.15382,-1.75000
4.169,4.722,3.445,10.15382,-1.75000
4.087,4.653,3.353,10.15382,-1.75000
3.984,4.562,3.241,10.15382,-1.75000
3.885,4.470,3.136,10.15382,-1.75000
3.809,4.399,3.057,10.15382,-1.75000
3.772,4.363,3.019,10.15382,-1.75000
3.668,4.264,2.912,10.15382,-1.75000
3.546,4.146,2.786,10.15382,-1.75000
3.435,4.038,2.673,10.15382,-1.75000
3.322,3.928,2.558,10.15382,-1.75000
3.199,3.808,2.432,10.15382,-1.75000
3.076,3.688,2.308,10.15382,-1.75000
2.957,3.571,2.186,10.15382,-1.75000
2.843,3.461,2.071,10.15382,-1.75000
2.723,3.343,1.948,10.15382,-1.75000
2.596,3.219,1.819,10.15382,-1.75000
2.480,3.106,1.701,10.15382,-1.75000
2.364,2.993,1.583,10.15382,-1.75000
2.245,2.877,1.461,10.15382,-1.75000
2.129,2.764,1.343,10.15382,-1.75000
2.009,2.647,1.221,10.15382,-1.75000
1.893,2.535,1.102,10.15382,-1.75000
1.780,2.425,0.987,10.15382,-1.75000
1.662,2.311,0.866,10.15382,-1.75000
1.545,2.198,0.747,10.15382,-1.75000
1.432,2.090,0.631,10.15382,-1.75000
1.320,1.982,0.516,10.15382,-1.75000
1.202,1.868,0.395,10.15382,-1.75000
1.090,1.760,0.280,10.15382,-1.75000
0.978,1.653,0.165,10.15382,-1.75000
0.863,1.543,0.046,10.15382,-1.75000
0.755,1.439,-0.065,10.15382,-1.75000
0.646,1.336,-0.177,10.15382,-1.75000
0.543,1.237,-0.284,10.15382,-1.75000
0.478,1.175,-0.350,10.15382,-1.75000
0.495,1.191,-0.332,10.15382,-1.75000
0.478,1.175,-0.350,10.15382,-1.75000
0.373,1.076,-0.458,10.15382,-1.75000
0.271,0.979,-0.563,10.15382,-1.75000
0.167,0.881,-0.672,10.15382,-1.75000
0.073,0.792,-0.769,10.15382,-1.75000
-0.025,0.700,-0.870,10.15382,-1.75000
-0.119,0.613,-0.969,10.15382,-1.75000
-0.213,0.526,-1.067,10.15382,-1.75000
-0.307,0.439,-1.165,10.15382,-1.75000
-0.418,0.338,-1.282,10.15382,-1.75000
-0.508,0.256,-1.377,10.15382,-1.75000
-0.614,0.162,-1.489,10.15382,-1.75000
-0.719,0.068,-1.601,10.15382,-1.75000
-0.827,-0.027,-1.716,10.15382,-1.75000
-0.922,-0.109,-1.818,10.15382,-1.75000
-1.025,-0.198,-1.928,10.15382,-1.75000
-1.120,-0.278,-2.031,10.15382,-1.75000
-1.215,-0.357,-2.133,10.15382,-1.75000
-1.307,-0.437,-2.233,10.15382,-1.75000
-1.393,-0.511,-2.325,10.15382,-1.75000
-1.482,-0.585,-2.422,10.15382,-1.75000
-1.565,-0.653,-2.511,10.15382,-1.75000
-1.646,-0.721,-2.599,10.15382,-1.75000
-1.731,-0.791,-2.691,10.15382,-1.75000
-1.805,-0.853,-2.772,10.15382,-1.75000
-1.887,-0.919,-2.861,10.15382,-1.75000
-1.962,-0.980,-2.943,10.15382,-1.75000
-2.037,-1.039,-3.025,10.15382,-1.75000
-2.112,-1.099,-3.107,10.15382,-1.75000
-2.182,-1.155,-3.184,10.15382,-1.75000
-2.258,-1.214,-3.266,10.15382,-1.75000
1.689,1.954,1.255,10.15382,-1.75000
1.672,1.940,1.234,10.15382,-1.75000
1.621,1.899,1.172,10.15382,-1.75000
1.616,1.893,1.167,10.15382,-1.75000
1.619,1.895,1.172,10.15382,-1.75000
1.623,1.897,1.178,10.15382,-1.75000
1.627,1.899,1.184,10.15382,-1.75000
1.631,1.901,1.190,10.15382,-1.75000
1.634,1.903,1.195,10.15382,-1.75000
1.636,1.904,1.198,10.15382,-1.75000
1.636,1.904,1.199,10.15382,-1.75000
1.635,1.903,1.197,10.15382,-1.75000
1.632,1.900,1.193,10.15382,-1.75000
1.626,1.897,1.185,10.15382,-1.75000
1.618,1.891,1.173,10.15382,-1.75000
1.616,1.890,1.170,10.15382,-1.75000
1.610,1.886,1.163,10.15382,-1.75000
1.598,1.879,1.144,10.15382,-1.75000
1.585,1.871,1.124,10.15382,-1.75000
1.570,1.863,1.101,10.15382,-1.75000
1.553,1.855,1.074,10.15382,-1.75000
1.535,1.847,1.045,10.15382,-1.75000
1.517,1.840,1.015,10.15382,-1.75000
1.506,1.836,0.995,10.15382,-1.75000
1.500,1.834,0.985,10.15382,-1.75000
1.480,1.828,0.951,10.15382,-1.75000
1.461,1.823,0.916,10.15382,-1.75000
1.441,1.819,0.879,10.15382,-1.75000
1.421,1.815,0.842,10.15382,-1.75000
1.401,1.810,0.806,10.15382,-1.75000
1.381,1.806,0.772,10.15382,-1.75000
1.362,1.801,0.738,10.15382,-1.75000
1.342,1.796,0.704,10.15382,-1.75000
1.319,1.788,0.668,10.15382,-1.75000
1.311,1.790,0.651,10.15382,-1.75000
1.286,1.782,0.611,10.15382,-1.75000
1.250,1.763,0.560,10.15382,-1.75000
1.222,1.747,0.522,10.15382,-1.75000
1.186,1.722,0.476,10.15382,-1.75000
1.156,1.701,0.438,10.15382,-1.75000
1.113,1.670,0.386,10.15382,-1.75000
1.062,1.631,0.326,10.15382,-1.75000
1.012,1.592,0.267,10.15382,-1.75000
0.940,1.533,0.185,10.15382,-1.75000
0.861,1.466,0.097,10.15382,-1.75000
0.778,1.394,0.006,10.15382,-1.75000
0.737,1.359,-0.038,10.15382,-1.75000
0.663,1.292,-0.118,10.15382,-1.75000
0.570,1.208,-0.217,10.15382,-1.75000
0.479,1.125,-0.314,10.15382,-1.75000
0.410,1.061,-0.387,10.15382,-1.75000
0.339,0.996,-0.461,10.15382,-1.75000
0.363,1.017,-0.436,10.15382,-1.75000
0.427,1.076,-0.368,10.15382,-1.75000
0.402,1.055,-0.395,10.15382,-1.75000
0.315,0.975,-0.488,10.15382,-1.75000
0.194,0.865,-0.615,10.15382,-1.75000
0.079,0.759,-0.737,10.15382,-1.75000
-0.038,0.652,-0.860,10.15382,-1.75000
-0.142,0.556,-0.969,10.15382,-1.75000
-0.244,0.461,-1.078,10.15382,-1.75000
-0.345,0.368,-1.184,10.15382,-1.75000
-0.443,0.279,-1.286,10.15382,-1.75000
-0.542,0.189,-1.391,10.15382,-1.75000
-0.642,0.100,-1.497,10.15382,-1.75000
-0.740,0.013,-1.601,10.15382,-1.75000
-0.838,-0.073,-1.707,10.15382,-1.75000
-0.935,-0.157,-1.811,10.15382,-1.75000
-1.031,-0.239,-1.915,10.15382,-1.75000
-1.125,-0.319,-2.017,10.15382,-1.75000
-1.223,-0.400,-2.123,10.15382,-1.75000
-1.317,-0.477,-2.226,10.15382,-1.75000
-1.412,-0.553,-2.332,10.15382,-1.75000
-1.502,-0.624,-2.431,10.15382,-1.75000
-1.594,-0.699,-2.532,10.15382,-1.75000
-1.686,-0.774,-2.633,10.15382,-1.75000
-1.784,-0.853,-2.741,10.15382,-1.75000
-1.745,-0.821,-2.698,10.15382,-1.75000
-1.764,-0.836,-2.719,10.15382,-1.75000
-1.836,-0.893,-2.797,10.15382,-1.75000
-1.924,-0.963,-2.895,10.15382,-1.75000
-2.020,-1.038,-3.002,10.15382,-1.75000
-2.103,-1.101,-3.093,10.15382,-1.75000
-2.229,-1.189,-3.237,10.15382,-1.75000
-1.802,-0.857,-2.765,10.15382,-1.75000
-1.460,-0.582,-2.388,10.15382,-1.75000
-1.003,-0.216,-1.885,10.15382,-1.75000
-1.015,-0.225,-1.898,10.15382,-1.75000
-1.241,-0.408,-2.147,10.15382,-1.75000
-1.631,-0.716,-2.579,10.15382,-1.75000
-1.958,-0.973,-2.940,10.15382,-1.75000
-2.166,-1.130,-3.172,10.15382,-1.75000
-2.276,-1.205,-3.296,10.15382,-1.75000
-2.329,-1.239,-3.357,10.15382,-1.75000
-2.359,-1.257,-3.392,10.15382,-1.75000
31.176,31.375,30.823,10.15382,-1.75000
