Gmag,G_BPmag,G_RPmag,logAge,MH
12.282,13.313,11.280,10.08814,-2.19174
11.879,12.826,10.917,10.08814,-2.19174
11.228,12.067,10.323,10.08814,-2.19174
10.796,11.589,9.916,10.08814,-2.19174
10.464,11.230,9.600,10.08814,-2.19174
9.929,10.657,9.089,10.08814,-2.19174
9.435,10.130,8.616,10.08814,-2.19174
9.051,9.721,8.249,10.08814,-2.19174
8.726,9.373,7.940,10.08814,-2.19174
8.404,9.027,7.635,10.08814,-2.19174
8.012,8.597,7.270,10.08814,-2.19174
7.578,8.122,6.867,10.08814,-2.19174
7.065,7.560,6.395,10.08814,-2.19174
7.051,7.544,6.382,10.08814,-2.19174
6.516,6.950,5.899,10.08814,-2.19174
6.485,6.915,5.871,10.08814,-2.19174
6.359,6.774,5.758,10.08814,-2.19174
6.247,6.650,5.659,10.08814,-2.19174
6.139,6.530,5.563,10.08814,-2.19174
6.011,6.387,5.449,10.08814,-2.19174
5.957,6.328,5.400,10.08814,-2.19174
5.903,6.268,5.351,10.08814,-2.19174
5.783,6.138,5.243,10.08814,-2.19174
5.667,6.012,5.137,10.08814,-2.19174
5.553,5.889,5.032,10.08814,-2.19174
5.448,5.776,4.936,10.08814,-2.19174
5.342,5.662,4.839,10.08814,-2.19174
5.342,5.662,4.839,10.08814,-2.19174
5.274,5.589,4.776,10.08814,-2.19174
5.151,5.459,4.662,10.08814,-2.19174
5.022,5.323,4.542,10.08814,-2.19174
4.905,5.199,4.432,10.08814,-2.19174
4.783,5.071,4.316,10.08814,-2.19174
4.649,4.933,4.189,10.08814,-2.19174
4.497,4.775,4.043,10.08814,-2.19174
4.385,4.659,3.937,10.08814,-2.19174
4.251,4.522,3.807,10.08814,-2.19174
4.118,4.386,3.677,10.08814,-2.19174
3.999,4.266,3.560,10.08814,-2.19174
3.952,4.219,3.512,10.08814,-2.19174
3.814,4.084,3.372,10.08814,-2.19174
3.705,3.979,3.258,10.08814,-2.19174
3.681,3.956,3.232,10.08814,-2.19174
3.653,3.929,3.202,10.08814,-2.19174
3.549,3.835,3.087,10.08814,-2.19174
3.457,3.754,2.981,10.08814,-2.19174
3.372,3.684,2.880,10.08814,-2.19174
3.295,3.622,2.785,10.08814,-2.19174
3.221,3.563,2.695,10.08814,-2.19174
3.146,3.502,2.604,10.08814,-2.19174
3.064,3.432,2.508,10.08814,-2.19174
2.960,3.341,2.393,10.08814,-2.19174
2.861,3.249,2.286,10.08814,-2.19174
2.786,3.179,2.206,10.08814,-2.19174
2.711,3.107,2.128,10.08814,-2.19174
2.608,3.008,2.021,10.08814,-2.19174
2.499,2.903,1.909,10.08814,-2.19174
2.388,2.795,1.795,10.08814,-2.19174
2.263,2.673,1.667,10.08814,-2.19174
2.150,2.563,1.552,10.08814,-2.19174
2.027,2.442,1.426,10.08814,-2.19174
1.895,2.313,1.291,10.08814,-2.19174
1.779,2.200,1.172,10.08814,-2.19174
1.657,2.081,1.048,10.08814,-2.19174
1.538,1.965,0.926,10.08814,-2.19174
1.420,1.850,0.806,10.08814,-2.19174
1.304,1.737,0.687,10.08814,-2.19174
1.184,1.620,0.565,10.08814,-2.19174
1.068,1.506,0.445,10.08814,-2.19174
0.955,1.396,0.329,10.08814,-2.19174
0.843,1.288,0.215,10.08814,-2.19174
0.729,1.177,0.097,10.08814,-2.19174
0.619,1.070,-0.016,10.08814,-2.19174
0.508,0.963,-0.130,10.08814,-2.19174
0.398,0.857,-0.243,10.08814,-2.19174
0.293,0.755,-0.351,10.08814,-2.19174
0.188,0.654,-0.460,10.08814,-2.19174
0.079,0.548,-0.572,10.08814,-2.19174
-0.023,0.451,-0.677,10.08814,-2.19174
-0.123,0.354,-0.781,10.08814,-2.19174
-0.228,0.253,-0.889,10.08814,-2.19174
-0.326,0.159,-0.991,10.08814,-2.19174
-0.424,0.066,-1.092,10.08814,-2.19174
-0.517,-0.023,-1.188,10.08814,-2.19174
-0.592,-0.095,-1.266,10.08814,-2.19174
-0.580,-0.084,-1.253,10.08814,-2.19174
-0.597,-0.100,-1.270,10.08814,-2.19174
-0.694,-0.193,-1.371,10.08814,-2.19174
-0.799,-0.293,-1.480,10.08814,-2.19174
-0.893,-0.382,-1.577,10.08814,-2.19174
-0.991,-0.475,-1.680,10.08814,-2.19174
-1.089,-0.569,-1.782,10.08814,-2.19174
-1.181,-0.655,-1.878,10.08814,-2.19174
-1.279,-0.746,-1.982,10.08814,-2.19174
-1.372,-0.831,-2.080,10.08814,-2.19174
-1.464,-0.914,-2.178,10.08814,-2.19174
-1.556,-0.997,-2.277,10.08814,-2.19174
-1.663,-1.094,-2.392,10.08814,-2.19174
-1.754,-1.173,-2.490,10.08814,-2.19174
-1.854,-1.261,-2.600,10.08814,-2.19174
-1.943,-1.338,-2.697,10.08814,-2.19174
-2.038,-1.417,-2.802,10.08814,-2.19174
-2.122,-1.489,-2.894,10.08814,-2.19174
-2.214,-1.564,-2.997,10.08814,-2.19174
-2.313,-1.642,-3.109,10.08814,-2.19174
-2.398,-1.707,-3.207,10.08814,-2.19174
-2.472,-1.763,-3.294,10.08814,-2.19174
-2.555,-1.827,-3.387,10.08814,-2.19174
-2.643,-1.898,-3.486,10.08814,-2.19174
-2.723,-1.963,-3.575,10.08814,-2.19174
-2.806,-2.029,-3.668,10.08814,-2.19174
-2.880,-2.088,-3.751,10.08814,-2.19174
-2.900,-2.104,-3.773,10.08814,-2.19174
1.029,1.095,0.900,10.08814,-2.19174
0.999,1.067,0.865,10.08814,-2.19174
0.910,0.986,0.762,10.08814,-2.19174
0.909,0.985,0.761,10.08814,-2.19174
0.910,0.985,0.762,10.08814,-2.19174
0.909,0.985,0.761,10.08814,-2.19174
0.908,0.984,0.759,10.08814,-2.19174
0.904,0.981,0.755,10.08814,-2.19174
0.900,0.978,0.749,10.08814,-2.19174
0.895,0.973,0.742,10.08814,-2.19174
0.887,0.967,0.732,10.08814,-2.19174
0.878,0.959,0.719,10.08814,-2.19174
0.866,0.949,0.704,10.08814,-2.19174
0.852,0.939,0.685,10.08814,-2.19174
0.838,0.928,0.665,10.08814,-2.19174
0.821,0.915,0.642,10.08814,-2.19174
0.803,0.901,0.615,10.08814,-2.19174
0.784,0.888,0.587,10.08814,-2.19174
0.764,0.875,0.556,10.08814,-2.19174
0.743,0.861,0.522,10.08814,-2.19174
0.721,0.849,0.484,10.08814,-2.19174
0.701,0.839,0.448,10.08814,-2.19174
0.699,0.838,0.445,10.08814,-2.19174
0.697,0.837,0.439,10.08814,-2.19174
0.680,0.830,0.407,10.08814,-2.19174
0.663,0.825,0.372,10.08814,-2.19174
0.646,0.820,0.336,10.08814,-2.19174
0.630,0.817,0.300,10.08814,-2.19174
0.614,0.815,0.266,10.08814,-2.19174
0.599,0.814,0.231,10.08814,-2.19174
