Gmag,G_BPmag,G_RPmag,logAge,MH
13.777,15.767,12.487,10.05115,-1.45000
13.323,14.989,12.104,10.05115,-1.45000
12.853,14.258,11.707,10.05115,-1.45000
12.425,13.677,11.332,10.05115,-1.45000
11.977,13.103,10.934,10.05115,-1.45000
11.451,12.474,10.452,10.05115,-1.45000
11.053,12.018,10.082,10.05115,-1.45000
10.448,11.346,9.512,10.05115,-1.45000
9.897,10.745,8.989,10.05115,-1.45000
9.479,10.290,8.591,10.05115,-1.45000
9.152,9.935,8.281,10.05115,-1.45000
9.139,9.921,8.269,10.05115,-1.45000
8.808,9.553,7.960,10.05115,-1.45000
8.746,9.484,7.902,10.05115,-1.45000
8.338,9.018,7.532,10.05115,-1.45000
8.256,8.924,7.458,10.05115,-1.45000
7.692,8.271,6.959,10.05115,-1.45000
7.100,7.602,6.428,10.05115,-1.45000
6.544,6.982,5.929,10.05115,-1.45000
6.434,6.858,5.831,10.05115,-1.45000
6.283,6.689,5.696,10.05115,-1.45000
6.154,6.546,5.581,10.05115,-1.45000
6.031,6.409,5.471,10.05115,-1.45000
5.989,6.363,5.434,10.05115,-1.45000
5.892,6.255,5.347,10.05115,-1.45000
5.745,6.094,5.215,10.05115,-1.45000
5.609,5.945,5.092,10.05115,-1.45000
5.481,5.807,4.976,10.05115,-1.45000
5.434,5.756,4.933,10.05115,-1.45000
5.402,5.720,4.903,10.05115,-1.45000
5.259,5.568,4.773,10.05115,-1.45000
5.122,5.421,4.646,10.05115,-1.45000
4.985,5.276,4.519,10.05115,-1.45000
4.859,5.142,4.400,10.05115,-1.45000
4.789,5.070,4.335,10.05115,-1.45000
4.765,5.044,4.313,10.05115,-1.45000
4.620,4.893,4.175,10.05115,-1.45000
4.475,4.742,4.038,10.05115,-1.45000
4.331,4.593,3.899,10.05115,-1.45000
4.192,4.451,3.765,10.05115,-1.45000
4.060,4.316,3.636,10.05115,-1.45000
4.019,4.275,3.595,10.05115,-1.45000
3.982,4.237,3.558,10.05115,-1.45000
3.844,4.101,3.419,10.05115,-1.45000
3.830,4.087,3.404,10.05115,-1.45000
3.693,3.955,3.261,10.05115,-1.45000
3.667,3.930,3.234,10.05115,-1.45000
3.616,3.883,3.179,10.05115,-1.45000
3.506,3.784,3.056,10.05115,-1.45000
3.415,3.706,2.949,10.05115,-1.45000
3.340,3.646,2.857,10.05115,-1.45000
3.266,3.590,2.763,10.05115,-1.45000
3.206,3.546,2.685,10.05115,-1.45000
3.131,3.486,2.594,10.05115,-1.45000
3.047,3.413,2.499,10.05115,-1.45000
2.946,3.320,2.389,10.05115,-1.45000
2.925,3.300,2.367,10.05115,-1.45000
2.812,3.192,2.249,10.05115,-1.45000
2.708,3.093,2.141,10.05115,-1.45000
2.583,2.971,2.012,10.05115,-1.45000
2.458,2.850,1.884,10.05115,-1.45000
2.321,2.717,1.744,10.05115,-1.45000
2.190,2.588,1.609,10.05115,-1.45000
2.069,2.470,1.485,10.05115,-1.45000
1.966,2.370,1.381,10.05115,-1.45000
1.843,2.249,1.254,10.05115,-1.45000
1.713,2.123,1.122,10.05115,-1.45000
1.584,1.997,0.990,10.05115,-1.45000
1.462,1.878,0.864,10.05115,-1.45000
1.340,1.760,0.739,10.05115,-1.45000
1.221,1.645,0.616,10.05115,-1.45000
1.100,1.527,0.491,10.05115,-1.45000
0.982,1.413,0.370,10.05115,-1.45000
0.862,1.297,0.246,10.05115,-1.45000
0.745,1.185,0.126,10.05115,-1.45000
0.632,1.076,0.009,10.05115,-1.45000
0.518,0.967,-0.110,10.05115,-1.45000
0.408,0.862,-0.224,10.05115,-1.45000
0.296,0.755,-0.340,10.05115,-1.45000
0.188,0.652,-0.453,10.05115,-1.45000
0.080,0.550,-0.565,10.05115,-1.45000
-0.027,0.447,-0.677,10.05115,-1.45000
-0.124,0.355,-0.778,10.05115,-1.45000
-0.192,0.291,-0.849,10.05115,-1.45000
-0.157,0.323,-0.812,10.05115,-1.45000
-0.145,0.334,-0.799,10.05115,-1.45000
-0.241,0.243,-0.900,10.05115,-1.45000
-0.337,0.153,-1.001,10.05115,-1.45000
-0.437,0.060,-1.105,10.05115,-1.45000
-0.536,-0.033,-1.209,10.05115,-1.45000
-0.632,-0.122,-1.311,10.05115,-1.45000
-0.728,-0.211,-1.413,10.05115,-1.45000
-0.822,-0.297,-1.513,10.05115,-1.45000
-0.915,-0.382,-1.613,10.05115,-1.45000
-1.004,-0.462,-1.708,10.05115,-1.45000
-1.093,-0.542,-1.803,10.05115,-1.45000
-1.200,-0.637,-1.919,10.05115,-1.45000
-1.302,-0.727,-2.030,10.05115,-1.45000
-1.405,-0.816,-2.142,10.05115,-1.45000
-1.502,-0.901,-2.250,10.05115,-1.45000
-1.597,-0.981,-2.354,10.05115,-1.45000
-1.693,-1.064,-2.459,10.05115,-1.45000
-1.782,-1.141,-2.556,10.05115,-1.45000
-1.871,-1.218,-2.654,10.05115,-1.45000
-1.960,-1.294,-2.752,10.05115,-1.45000
-2.042,-1.363,-2.841,10.05115,-1.45000
-2.125,-1.433,-2.934,10.05115,-1.45000
-2.207,-1.500,-3.025,10.05115,-1.45000
-2.281,-1.560,-3.108,10.05115,-1.45000
-2.356,-1.620,-3.192,10.05115,-1.45000
-2.433,-1.682,-3.278,10.05115,-1.45000
-2.502,-1.737,-3.357,10.05115,-1.45000
-2.574,-1.793,-3.438,10.05115,-1.45000
-2.645,-1.849,-3.517,10.05115,-1.45000
-2.713,-1.903,-3.594,10.05115,-1.45000
-2.780,-1.954,-3.670,10.05115,-1.45000
-2.845,-2.003,-3.743,10.05115,-1.45000
-2.905,-2.046,-3.812,10.05115,-1.45000
-2.948,-2.077,-3.862,10.05115,-1.45000
0.536,0.871,0.020,10.05115,-1.45000
0.493,0.832,-0.027,10.05115,-1.45000
0.487,0.826,-0.033,10.05115,-1.45000
0.483,0.822,-0.036,10.05115,-1.45000
0.481,0.819,-0.037,10.05115,-1.45000
0.481,0.817,-0.036,10.05115,-1.45000
0.481,0.815,-0.033,10.05115,-1.45000
0.482,0.813,-0.030,10.05115,-1.45000
0.483,0.812,-0.025,10.05115,-1.45000
0.485,0.811,-0.021,10.05115,-1.45000
0.486,0.810,-0.017,10.05115,-1.45000
0.487,0.809,-0.013,10.05115,-1.45000
0.488,0.808,-0.009,10.05115,-1.45000
0.489,0.807,-0.007,10.05115,-1.45000
0.489,0.805,-0.005,10.05115,-1.45000
0.489,0.805,-0.004,10.05115,-1.45000
0.489,0.805,-0.004,10.05115,-1.45000
0.489,0.804,-0.004,10.05115,-1.45000
0.487,0.802,-0.005,10.05115,-1.45000
0.485,0.800,-0.007,10.05115,-1.45000
0.483,0.799,-0.011,10.05115,-1.45000
0.479,0.796,-0.016,10.05115,-1.45000
0.475,0.794,-0.022,10.05115,-1.45000
0.470,0.791,-0.030,10.05115,-1.45000
0.469,0.791,-0.032,10.05115,-1.45000
0.467,0.790,-0.034,10.05115,-1.45000
0.461,0.786,-0.044,10.05115,-1.45000
0.453,0.782,-0.054,10.05115,-1.45000
0.445,0.776,-0.067,10.05115,-1.45000
0.435,0.770,-0.080,10.05115,-1.45000
0.424,0.763,-0.094,10.05115,-1.45000
0.412,0.754,-0.110,10.05115,-1.45000
0.401,0.745,-0.125,10.05115,-1.45000
0.389,0.736,-0.140,10.05115,-1.45000
0.368,0.720,-0.165,10.05115,-1.45000
0.341,0.699,-0.198,10.05115,-1.45000
0.307,0.670,-0.238,10.05115,-1.45000
0.233,0.608,-0.324,10.05115,-1.45000
0.160,0.545,-0.408,10.05115,-1.45000
0.083,0.479,-0.494,10.05115,-1.45000
0.009,0.414,-0.577,10.05115,-1.45000
-0.073,0.341,-0.668,10.05115,-1.45000
-0.148,0.274,-0.751,10.05115,-1.45000
-0.201,0.226,-0.809,10.05115,-1.45000
-0.204,0.223,-0.812,10.05115,-1.45000
-0.295,0.141,-0.910,10.05115,-1.45000
-0.388,0.056,-1.011,10.05115,-1.45000
-0.464,-0.013,-1.092,10.05115,-1.45000
-0.526,-0.070,-1.160,10.05115,-1.45000
-0.554,-0.096,-1.190,10.05115,-1.45000
-0.505,-0.051,-1.137,10.05115,-1.45000
-0.455,-0.005,-1.082,10.05115,-1.45000
-0.479,-0.027,-1.109,10.05115,-1.45000
-0.550,-0.092,-1.186,10.05115,-1.45000
-0.663,-0.194,-1.307,10.05115,-1.45000
-0.767,-0.289,-1.420,10.05115,-1.45000
-0.868,-0.381,-1.529,10.05115,-1.45000
-0.968,-0.471,-1.636,10.05115,-1.45000
-1.066,-0.560,-1.741,10.05115,-1.45000
-1.164,-0.648,-1.848,10.05115,-1.45000
-1.262,-0.734,-1.955,10.05115,-1.45000
-1.359,-0.819,-2.061,10.05115,-1.45000
-1.448,-0.882,-2.169,10.05115,-1.45000
-1.515,-0.932,-2.249,10.05115,-1.45000
-1.603,-0.996,-2.354,10.05115,-1.45000
-1.694,-1.069,-2.457,10.05115,-1.45000
-1.785,-1.145,-2.558,10.05115,-1.45000
-1.878,-1.224,-2.661,10.05115,-1.45000
-1.976,-1.310,-2.766,10.05115,-1.45000
-2.100,-1.441,-2.884,10.05115,-1.45000
-2.196,-1.582,-2.950,10.05115,-1.45000
30.208,31.093,29.280,10.05115,-1.45000
