Gmag,G_BPmag,G_RPmag,logAge,MH
13.651,15.446,12.407,10.06258,-1.75000
13.473,15.132,12.259,10.06258,-1.75000
12.559,13.753,11.488,10.06258,-1.75000
11.697,12.682,10.717,10.06258,-1.75000
11.182,12.089,10.241,10.06258,-1.75000
10.790,11.651,9.875,10.06258,-1.75000
10.687,11.538,9.777,10.06258,-1.75000
10.198,11.003,9.314,10.06258,-1.75000
9.657,10.417,8.799,10.06258,-1.75000
9.242,9.967,8.406,10.06258,-1.75000
8.901,9.597,8.085,10.06258,-1.75000
8.542,9.202,7.750,10.06258,-1.75000
8.091,8.695,7.337,10.06258,-1.75000
7.586,8.126,6.882,10.06258,-1.75000
7.027,7.509,6.371,10.06258,-1.75000
6.481,6.903,5.878,10.06258,-1.75000
6.446,6.864,5.847,10.06258,-1.75000
6.300,6.701,5.717,10.06258,-1.75000
6.175,6.563,5.605,10.06258,-1.75000
6.056,6.430,5.499,10.06258,-1.75000
5.945,6.307,5.400,10.06258,-1.75000
5.923,6.283,5.381,10.06258,-1.75000
5.915,6.274,5.374,10.06258,-1.75000
5.768,6.112,5.242,10.06258,-1.75000
5.630,5.962,5.117,10.06258,-1.75000
5.501,5.822,4.999,10.06258,-1.75000
5.374,5.684,4.883,10.06258,-1.75000
5.348,5.657,4.860,10.06258,-1.75000
5.243,5.544,4.764,10.06258,-1.75000
5.116,5.409,4.646,10.06258,-1.75000
4.998,5.284,4.537,10.06258,-1.75000
4.875,5.154,4.422,10.06258,-1.75000
4.764,5.037,4.318,10.06258,-1.75000
4.649,4.917,4.209,10.06258,-1.75000
4.640,4.908,4.201,10.06258,-1.75000
4.568,4.833,4.133,10.06258,-1.75000
4.436,4.695,4.007,10.06258,-1.75000
4.305,4.559,3.882,10.06258,-1.75000
4.175,4.426,3.757,10.06258,-1.75000
4.046,4.294,3.631,10.06258,-1.75000
3.952,4.199,3.539,10.06258,-1.75000
3.916,4.164,3.503,10.06258,-1.75000
3.769,4.018,3.354,10.06258,-1.75000
3.640,3.894,3.219,10.06258,-1.75000
3.616,3.871,3.193,10.06258,-1.75000
3.590,3.846,3.165,10.06258,-1.75000
3.493,3.757,3.058,10.06258,-1.75000
3.407,3.681,2.960,10.06258,-1.75000
3.370,3.650,2.916,10.06258,-1.75000
3.333,3.619,2.872,10.06258,-1.75000
3.267,3.567,2.790,10.06258,-1.75000
3.207,3.521,2.714,10.06258,-1.75000
3.150,3.477,2.642,10.06258,-1.75000
3.088,3.428,2.565,10.06258,-1.75000
3.006,3.359,2.469,10.06258,-1.75000
2.922,3.284,2.376,10.06258,-1.75000
2.822,3.192,2.269,10.06258,-1.75000
2.785,3.157,2.230,10.06258,-1.75000
2.682,3.058,2.122,10.06258,-1.75000
2.559,2.940,1.995,10.06258,-1.75000
2.447,2.831,1.880,10.06258,-1.75000
2.333,2.720,1.762,10.06258,-1.75000
2.209,2.599,1.635,10.06258,-1.75000
2.085,2.478,1.508,10.06258,-1.75000
1.964,2.360,1.385,10.06258,-1.75000
1.851,2.249,1.269,10.06258,-1.75000
1.730,2.131,1.145,10.06258,-1.75000
1.603,2.007,1.016,10.06258,-1.75000
1.487,1.894,0.897,10.06258,-1.75000
1.372,1.782,0.779,10.06258,-1.75000
1.255,1.668,0.659,10.06258,-1.75000
1.141,1.557,0.542,10.06258,-1.75000
1.023,1.443,0.421,10.06258,-1.75000
0.909,1.332,0.304,10.06258,-1.75000
0.800,1.226,0.191,10.06258,-1.75000
0.685,1.115,0.073,10.06258,-1.75000
0.572,1.005,-0.044,10.06258,-1.75000
0.463,0.901,-0.155,10.06258,-1.75000
0.356,0.798,-0.266,10.06258,-1.75000
0.244,0.691,-0.382,10.06258,-1.75000
0.138,0.589,-0.492,10.06258,-1.75000
0.033,0.488,-0.601,10.06258,-1.75000
-0.074,0.385,-0.712,10.06258,-1.75000
-0.173,0.291,-0.815,10.06258,-1.75000
-0.272,0.197,-0.918,10.06258,-1.75000
-0.368,0.105,-1.017,10.06258,-1.75000
-0.427,0.049,-1.078,10.06258,-1.75000
-0.399,0.075,-1.049,10.06258,-1.75000
-0.395,0.078,-1.045,10.06258,-1.75000
-0.459,0.018,-1.112,10.06258,-1.75000
-0.560,-0.078,-1.217,10.06258,-1.75000
-0.660,-0.173,-1.322,10.06258,-1.75000
-0.758,-0.265,-1.424,10.06258,-1.75000
-0.849,-0.351,-1.520,10.06258,-1.75000
-0.946,-0.441,-1.621,10.06258,-1.75000
-1.036,-0.524,-1.717,10.06258,-1.75000
-1.130,-0.611,-1.817,10.06258,-1.75000
-1.219,-0.692,-1.911,10.06258,-1.75000
-1.328,-0.791,-2.029,10.06258,-1.75000
-1.433,-0.885,-2.142,10.06258,-1.75000
-1.521,-0.963,-2.238,10.06258,-1.75000
-1.621,-1.051,-2.346,10.06258,-1.75000
-1.706,-1.124,-2.439,10.06258,-1.75000
-1.799,-1.204,-2.542,10.06258,-1.75000
-1.896,-1.287,-2.649,10.06258,-1.75000
-1.991,-1.366,-2.755,10.06258,-1.75000
-2.079,-1.438,-2.852,10.06258,-1.75000
-2.169,-1.515,-2.951,10.06258,-1.75000
-2.252,-1.586,-3.043,10.06258,-1.75000
-2.337,-1.656,-3.138,10.06258,-1.75000
-2.420,-1.725,-3.230,10.06258,-1.75000
-2.498,-1.788,-3.316,10.06258,-1.75000
-2.576,-1.852,-3.404,10.06258,-1.75000
-2.654,-1.916,-3.491,10.06258,-1.75000
-2.727,-1.974,-3.572,10.06258,-1.75000
-2.802,-2.034,-3.658,10.06258,-1.75000
-2.873,-2.090,-3.737,10.06258,-1.75000
-2.943,-2.145,-3.816,10.06258,-1.75000
-2.999,-2.188,-3.878,10.06258,-1.75000
0.593,0.808,0.226,10.06258,-1.75000
0.589,0.805,0.221,10.06258,-1.75000
0.541,0.770,0.155,10.06258,-1.75000
0.537,0.765,0.152,10.06258,-1.75000
0.536,0.762,0.153,10.06258,-1.75000
0.535,0.759,0.155,10.06258,-1.75000
0.535,0.757,0.158,10.06258,-1.75000
0.536,0.756,0.162,10.06258,-1.75000
0.537,0.755,0.166,10.06258,-1.75000
0.538,0.753,0.170,10.06258,-1.75000
0.539,0.752,0.173,10.06258,-1.75000
0.539,0.751,0.175,10.06258,-1.75000
0.539,0.751,0.176,10.06258,-1.75000
0.539,0.750,0.176,10.06258,-1.75000
0.538,0.750,0.176,10.06258,-1.75000
0.538,0.749,0.176,10.06258,-1.75000
0.537,0.749,0.174,10.06258,-1.75000
0.537,0.749,0.173,10.06258,-1.75000
0.535,0.748,0.169,10.06258,-1.75000
0.532,0.748,0.163,10.06258,-1.75000
0.529,0.748,0.155,10.06258,-1.75000
0.524,0.748,0.145,10.06258,-1.75000
0.519,0.748,0.134,10.06258,-1.75000
0.514,0.748,0.120,10.06258,-1.75000
0.507,0.749,0.104,10.06258,-1.75000
0.504,0.750,0.096,10.06258,-1.75000
0.503,0.750,0.093,10.06258,-1.75000
0.496,0.752,0.074,10.06258,-1.75000
0.488,0.753,0.055,10.06258,-1.75000
0.479,0.754,0.032,10.06258,-1.75000
0.469,0.754,0.010,10.06258,-1.75000
0.458,0.752,-0.010,10.06258,-1.75000
0.446,0.748,-0.032,10.06258,-1.75000
0.435,0.743,-0.052,10.06258,-1.75000
0.421,0.737,-0.072,10.06258,-1.75000
0.406,0.728,-0.094,10.06258,-1.75000
0.387,0.715,-0.122,10.06258,-1.75000
0.407,0.728,-0.093,10.06258,-1.75000
0.375,0.707,-0.138,10.06258,-1.75000
0.334,0.676,-0.190,10.06258,-1.75000
0.264,0.620,-0.275,10.06258,-1.75000
0.180,0.550,-0.374,10.06258,-1.75000
0.091,0.475,-0.476,10.06258,-1.75000
0.001,0.396,-0.578,10.06258,-1.75000
-0.088,0.318,-0.676,10.06258,-1.75000
-0.146,0.266,-0.740,10.06258,-1.75000
-0.241,0.179,-0.843,10.06258,-1.75000
-0.326,0.101,-0.934,10.06258,-1.75000
-0.395,0.037,-1.008,10.06258,-1.75000
-0.434,0.000,-1.050,10.06258,-1.75000
-0.464,-0.027,-1.081,10.06258,-1.75000
-0.438,-0.003,-1.053,10.06258,-1.75000
-0.392,0.039,-1.004,10.06258,-1.75000
-0.445,-0.009,-1.062,10.06258,-1.75000
-0.504,-0.064,-1.125,10.06258,-1.75000
-0.609,-0.159,-1.237,10.06258,-1.75000
-0.739,-0.280,-1.376,10.06258,-1.75000
-0.853,-0.386,-1.498,10.06258,-1.75000
-0.958,-0.483,-1.610,10.06258,-1.75000
-1.061,-0.577,-1.719,10.06258,-1.75000
-1.161,-0.670,-1.825,10.06258,-1.75000
-1.258,-0.759,-1.929,10.06258,-1.75000
-1.357,-0.849,-2.034,10.06258,-1.75000
-1.456,-0.938,-2.142,10.06258,-1.75000
-1.556,-1.026,-2.251,10.06258,-1.75000
-1.655,-1.113,-2.359,10.06258,-1.75000
-1.752,-1.196,-2.466,10.06258,-1.75000
-1.848,-1.278,-2.573,10.06258,-1.75000
-1.944,-1.358,-2.679,10.06258,-1.75000
-2.039,-1.437,-2.787,10.06258,-1.75000
-2.130,-1.511,-2.889,10.06258,-1.75000
-2.219,-1.581,-2.990,10.06258,-1.75000
-2.304,-1.649,-3.088,10.06258,-1.75000
-2.394,-1.721,-3.188,10.06258,-1.75000
-2.489,-1.798,-3.295,10.06258,-1.75000
-2.591,-1.880,-3.410,10.06258,-1.75000
-2.651,-1.927,-3.478,10.06258,-1.75000
-2.700,-1.967,-3.533,10.06258,-1.75000
-2.765,-2.018,-3.607,10.06258,-1.75000
-2.835,-2.072,-3.687,10.06258,-1.75000
-3.018,-2.198,-3.903,10.06258,-1.75000
-2.629,-1.899,-3.461,10.06258,-1.75000
-2.316,-1.651,-3.105,10.06258,-1.75000
-1.870,-1.299,-2.595,10.06258,-1.75000
-1.884,-1.309,-2.612,10.06258,-1.75000
-2.093,-1.475,-2.851,10.06258,-1.75000
-2.461,-1.761,-3.273,10.06258,-1.75000
-2.774,-2.003,-3.630,10.06258,-1.75000
-2.975,-2.151,-3.863,10.06258,-1.75000
-3.083,-2.222,-3.991,10.06258,-1.75000
-3.138,-2.256,-4.057,10.06258,-1.75000
-3.172,-2.274,-4.098,10.06258,-1.75000
30.235,30.259,30.172,10.06258,-1.75000
