"","point_bp_rp","point_gmag"
"1",0.75,10.6805
"2",1.5,10.7076
"3",1.785,10.8540333333333
"4",1.805,10.8540333333333
"5",1.825,10.8540333333333
"6",1.835,10.8540333333333
"7",1.845,10.8540333333333
"8",0.9,10.9085857142857
"9",1.7,10.9085857142857
"10",1.9,10.9085857142857
"11",1.725,10.9786636363636
"12",1.775,10.9786636363636
"13",1.825,10.9786636363636
"14",1.875,10.9786636363636
"15",1.925,10.9786636363636
"16",1.975,10.9786636363636
"17",1.725,11.0427125
"18",1.775,11.0427125
"19",1.875,11.0427125
"20",1.975,11.0427125
"21",1.675,11.1114764705882
"22",1.725,11.1114764705882
"23",1.825,11.1114764705882
"24",1.675,11.1964333333333
"25",1.725,11.1964333333333
"26",1.775,11.1964333333333
"27",1.825,11.1964333333333
"28",1.625,11.2436444444444
"29",1.675,11.2436444444444
"30",1.725,11.2436444444444
"31",1.825,11.2436444444444
"32",1.625,11.31549375
"33",1.675,11.31549375
"34",1.825,11.31549375
"35",1.625,11.3842
"36",1.675,11.3842
"37",1.725,11.3842
"38",1.775,11.3842
"39",1.825,11.3842
"40",1.975,11.3842
"41",1.525,11.4504272727273
"42",1.575,11.4504272727273
"43",1.625,11.4504272727273
"44",1.675,11.4504272727273
"45",1.725,11.4504272727273
"46",1.775,11.4504272727273
"47",1.825,11.4504272727273
"48",1.55,11.5141454545455
"49",1.65,11.5141454545455
"50",1.75,11.5141454545455
"51",1.5,11.5875
"52",1.7,11.5875
"53",1.5,11.6506666666667
"54",1.7,11.6506666666667
"55",1.525,11.7244045454545
"56",1.575,11.7244045454545
"57",1.625,11.7244045454545
"58",1.675,11.7244045454545
"59",1.5,11.7950055555556
"60",1.7,11.7950055555556
"61",1.45,11.851715625
"62",1.55,11.851715625
"63",1.65,11.851715625
"64",1.475,11.9281892857143
"65",1.525,11.9281892857143
"66",1.575,11.9281892857143
"67",1.45,11.9977148148148
"68",1.55,11.9977148148148
"69",1.45,12.0588655172414
"70",1.55,12.0588655172414
"71",1.425,12.1179068965517
"72",1.475,12.1179068965517
"73",1.525,12.1179068965517
"74",1.5,12.1845947368421
"75",1.45,12.2576666666667
"76",1.55,12.2576666666667
"77",1.35,12.324265625
"78",1.45,12.324265625
"79",1.3,12.3841615384615
"80",1.5,12.3841615384615
"81",1.375,12.4534263157895
"82",1.425,12.4534263157895
"83",1.475,12.4534263157895
"84",1.31,12.5205052631579
"85",1.33,12.5205052631579
"86",1.35,12.5205052631579
"87",1.37,12.5205052631579
"88",1.39,12.5205052631579
"89",1.41,12.5205052631579
"90",1.43,12.5205052631579
"91",1.47,12.5205052631579
"92",1.35,12.5935181818182
"93",1.45,12.5935181818182
"94",1.3,12.658336
"95",1.5,12.658336
"96",1.275,12.7245692307692
"97",1.325,12.7245692307692
"98",1.375,12.7245692307692
"99",1.425,12.7245692307692
"100",1.25,12.7898777777778
"101",1.35,12.7898777777778
"102",1.3,12.8577808510638
"103",1.5,12.8577808510638
"104",1.275,12.9293909090909
"105",1.325,12.9293909090909
"106",1.375,12.9293909090909
"107",1.275,12.9936703703704
"108",1.325,12.9936703703704
"109",1.375,12.9936703703704
"110",1.3,13.0622092592593
"111",1.25,13.1254897058824
"112",1.35,13.1254897058824
"113",1.225,13.1927313432836
"114",1.275,13.1927313432836
"115",1.325,13.1927313432836
"116",1.375,13.1927313432836
"117",1.225,13.2596019607843
"118",1.275,13.2596019607843
"119",1.325,13.2596019607843
"120",1.375,13.2596019607843
"121",1.225,13.3268089552239
"122",1.275,13.3268089552239
"123",1.325,13.3268089552239
"124",1.175,13.3925136986301
"125",1.225,13.3925136986301
"126",1.275,13.3925136986301
"127",1.325,13.3925136986301
"128",1.175,13.462130952381
"129",1.275,13.462130952381
"130",1.325,13.462130952381
"131",1.1,13.5266708333333
"132",1.3,13.5266708333333
"133",1.15,13.5972592592593
"134",1.25,13.5972592592593
"135",1.1,13.6621292134831
"136",1.3,13.6621292134831
"137",1.3,13.7297255319149
"138",1.25,13.7957985294118
"139",1.225,13.8627659793814
"140",1.275,13.8627659793814
"141",1.175,13.9286011627907
"142",1.225,13.9286011627907
"143",1.275,13.9286011627907
"144",1.1,14.0004378787879
"145",1.3,14.0004378787879
"146",1.15,14.0637226950355
"147",1.25,14.0637226950355
"148",1.1,14.1326022900763
"149",1.3,14.1326022900763
"150",1.15,14.1984343373494
"151",1.25,14.1984343373494
"152",1.15,14.2650052631579
"153",1.25,14.2650052631579
"154",1.15,14.3314465753425
"155",1.25,14.3314465753425
"156",1.15,14.4010505617978
"157",1.25,14.4010505617978
"158",0.5,14.4675669950739
"159",1.1,14.4675669950739
"160",1.3,14.4675669950739
"161",1.15,14.5343193236715
"162",0.35,14.6016991666667
"163",0.45,14.6016991666667
"164",1.15,14.6016991666667
"165",0.35,14.668961440678
"166",1.15,14.668961440678
"167",0.25,14.7359048951049
"168",0.35,14.7359048951049
"169",0.45,14.7359048951049
"170",1.15,14.7359048951049
"171",0.25,14.8019056818182
"172",0.35,14.8019056818182
"173",0.45,14.8019056818182
"174",1.15,14.8019056818182
"175",0.25,14.8702287822878
"176",0.35,14.8702287822878
"177",1.15,14.8702287822878
"178",0.3,14.9362346938776
"179",1.1,14.9362346938776
"180",0.15,15.0014925490196
"181",0.25,15.0014925490196
"182",1.15,15.0014925490196
"183",0.1,15.0710915384615
"184",0.3,15.0710915384615
"185",1.1,15.0710915384615
"186",0.1,15.1394555555556
"187",1.1,15.1394555555556
"188",0.15,15.2015199203187
"189",1.05,15.2015199203187
"190",1.15,15.2015199203187
"191",1.1,15.2725693693694
"192",1.05,15.3367695473251
"193",1.15,15.3367695473251
"194",1.1,15.407769921875
"195",1.05,15.4720449275362
"196",1.15,15.4720449275362
"197",1.1,15.5390652
"198",1.1,15.606754587156
"199",1.1,15.6701938325991
"200",1.1,15.7416322834646
"201",1.1,15.8068387755102
"202",1.1,15.8756376383764
"203",1.1,15.9418613793103
"204",1.05,16.0087616724739
"205",1.15,16.0087616724739
"206",1.05,16.0762307432432
"207",1.15,16.0762307432432
"208",1.1,16.1422074193548
"209",1.1,16.2117617554859
"210",1.05,16.2765009063444
"211",1.05,16.3430030769231
"212",1.1,16.4095493333333
"213",1.05,16.476902972973
"214",1.1,16.5449430769231
"215",0.9,16.6115090659341
