"","point_bp_rp","point_gmag"
"1",3,13.3479
"2",2.375,13.7701666666667
"3",2.525,13.7701666666667
"4",2.575,13.7701666666667
"5",2.25,14.1666214285714
"6",2.35,14.1666214285714
"7",2.45,14.1666214285714
"8",2.55,14.1666214285714
"9",2.75,14.1666214285714
"10",2.25,14.6398173913043
"11",2.35,14.6398173913043
"12",2.45,14.6398173913043
"13",2.15,15.122075862069
"14",2.25,15.122075862069
"15",2.35,15.122075862069
"16",2.075,15.6444924528302
"17",2.125,15.6444924528302
"18",2.175,15.6444924528302
"19",2.225,15.6444924528302
"20",1.95,16.1511692307692
"21",2.05,16.1511692307692
"22",2.15,16.1511692307692
"23",1.925,16.6473575757576
"24",1.975,16.6473575757576
"25",2.025,16.6473575757576
"26",2.075,16.6473575757576
"27",2.125,16.6473575757576
"28",1.85,17.1886262711864
"29",1.95,17.1886262711864
"30",2.05,17.1886262711864
"31",2.15,17.1886262711864
"32",1.25,17.7108949275362
"33",1.35,17.7108949275362
"34",1.45,17.7108949275362
"35",1.85,17.7108949275362
"36",1.95,17.7108949275362
"37",2.05,17.7108949275362
"38",1.1,18.1800746987952
"39",1.3,18.1800746987952
"40",1.9,18.1800746987952
"41",2.1,18.1800746987952
"42",1.25,18.6914481481481
"43",1.75,18.6914481481481
"44",2.25,18.6914481481481
"45",1.75,19.1931704225352
"46",2.25,19.1931704225352
"47",1.7,19.6689268817204
"48",1.9,19.6689268817204
"49",2.1,19.6689268817204
"50",1.3,20.1713
"51",1.5,20.1713
"52",1.7,20.1713
"53",1.9,20.1713
