"","point_bp_rp","point_gmag"
"1",1,10.6082
"2",3,10.7138
"3",1.9,10.8671444444444
"4",2.1,10.8671444444444
"5",2.3,10.8671444444444
"6",2.5,10.8671444444444
"7",1.75,10.9586142857143
"8",2.25,10.9586142857143
"9",2.75,10.9586142857143
"10",1.9,11.0525928571429
"11",2.1,11.0525928571429
"12",1.65,11.15413
"13",1.75,11.15413
"14",1.85,11.15413
"15",1.95,11.15413
"16",2.05,11.15413
"17",1.7,11.2385583333333
"18",1.9,11.2385583333333
"19",1.75,11.3509
"20",1.85,11.3509
"21",1.25,11.4512545454545
"22",1.75,11.4512545454545
"23",1.75,11.5457461538462
"24",4.25,11.5457461538462
"25",1.575,11.6414818181818
"26",1.625,11.6414818181818
"27",1.675,11.6414818181818
"28",1.375,11.7433166666667
"29",1.425,11.7433166666667
"30",1.475,11.7433166666667
"31",1.525,11.7433166666667
"32",1.575,11.7433166666667
"33",1.625,11.7433166666667
"34",1.675,11.7433166666667
"35",1.425,11.8504176470588
"36",1.525,11.8504176470588
"37",1.575,11.8504176470588
"38",1.625,11.8504176470588
"39",1.375,11.9420111111111
"40",1.425,11.9420111111111
"41",1.475,11.9420111111111
"42",1.525,11.9420111111111
"43",1.575,11.9420111111111
"44",1.425,12.0355666666667
"45",1.475,12.0355666666667
"46",1.525,12.0355666666667
"47",1.575,12.0355666666667
"48",1.375,12.13633
"49",1.425,12.13633
"50",1.475,12.13633
"51",1.525,12.13633
"52",1.425,12.2324482758621
"53",1.475,12.2324482758621
"54",1.525,12.2324482758621
"55",1.325,12.3394454545455
"56",1.375,12.3394454545455
"57",1.425,12.3394454545455
"58",1.475,12.3394454545455
"59",1.33,12.4304538461538
"60",1.35,12.4304538461538
"61",1.39,12.4304538461538
"62",1.43,12.4304538461538
"63",1.45,12.4304538461538
"64",1.47,12.4304538461538
"65",1.225,12.5259692307692
"66",1.275,12.5259692307692
"67",1.325,12.5259692307692
"68",1.375,12.5259692307692
"69",1.425,12.5259692307692
"70",1.475,12.5259692307692
"71",1.225,12.6348259259259
"72",1.275,12.6348259259259
"73",1.325,12.6348259259259
"74",1.375,12.6348259259259
"75",1.425,12.6348259259259
"76",1.23,12.7289939393939
"77",1.25,12.7289939393939
"78",1.27,12.7289939393939
"79",1.29,12.7289939393939
"80",1.31,12.7289939393939
"81",1.33,12.7289939393939
"82",1.35,12.7289939393939
"83",1.37,12.7289939393939
"84",1.39,12.7289939393939
"85",1.41,12.7289939393939
"86",1.225,12.8344
"87",1.275,12.8344
"88",1.325,12.8344
"89",1.375,12.8344
"90",1.225,12.9208619047619
"91",1.275,12.9208619047619
"92",1.325,12.9208619047619
"93",1.375,12.9208619047619
"94",1.275,13.031059375
"95",1.325,13.031059375
"96",1.19,13.1300212121212
"97",1.23,13.1300212121212
"98",1.27,13.1300212121212
"99",1.29,13.1300212121212
"100",1.31,13.1300212121212
"101",1.33,13.1300212121212
"102",1.35,13.1300212121212
"103",1.37,13.1300212121212
"104",1.175,13.2276147058824
"105",1.225,13.2276147058824
"106",1.275,13.2276147058824
"107",1.325,13.2276147058824
"108",1.125,13.3179735294118
"109",1.175,13.3179735294118
"110",1.275,13.3179735294118
"111",1.225,13.4232422222222
"112",1.275,13.4232422222222
"113",1.025,13.5240734375
"114",1.075,13.5240734375
"115",1.125,13.5240734375
"116",1.175,13.5240734375
"117",1.225,13.5240734375
"118",1.275,13.5240734375
"119",1.025,13.6254373626374
"120",1.075,13.6254373626374
"121",1.225,13.6254373626374
"122",0.975,13.7186937931034
"123",1.025,13.7186937931034
"124",1.075,13.7186937931034
"125",1.175,13.7186937931034
"126",1.225,13.7186937931034
"127",0.95,13.8291804020101
"128",1.05,13.8291804020101
"129",1.025,13.8885440443213
"130",1.075,13.8885440443213
"131",1.125,14.0131586956522
"132",1.175,14.0131586956522
"133",1.125,14.1078107692308
"134",1.175,14.1078107692308
"135",1.075,14.2218118518519
"136",1.125,14.2218118518519
"137",1.175,14.2218118518519
"138",1.11,14.3016724867725
"139",1.13,14.3016724867725
"140",1.15,14.3016724867725
"141",1.17,14.3016724867725
"142",1.19,14.3016724867725
"143",1.1,14.407535443038
"144",1.075,14.5096091954023
"145",1.125,14.5096091954023
"146",1.175,14.5096091954023
"147",1.075,14.6062097222222
"148",1.125,14.6062097222222
"149",1.05,14.7090794871795
"150",1.15,14.7090794871795
"151",1.07,14.8037311688312
"152",1.09,14.8037311688312
"153",1.11,14.8037311688312
"154",1.13,14.8037311688312
"155",1.1,14.8975385321101
"156",1.1,15.0025019047619
"157",1.025,15.0960423913043
"158",1.075,15.0960423913043
"159",1.125,15.0960423913043
"160",1.05,15.2003112149533
"161",1.1,15.2988971962617
"162",0.975,15.3945346153846
"163",1.025,15.3945346153846
"164",1.075,15.3945346153846
"165",1.05,15.4922440559441
"166",1.05,15.5913098684211
"167",0.9,15.6928919463087
"168",1.1,15.6928919463087
"169",0.9,15.7881330985915
"170",1.1,15.7881330985915
"171",0.95,15.8844554945055
"172",1.05,15.8844554945055
"173",0.95,15.9870324873096
"174",1.05,15.9870324873096
"175",0.95,16.0887081081081
"176",1.05,16.0887081081081
"177",0.9,16.1843806930693
"178",1.1,16.1843806930693
"179",0.9,16.285559
"180",1.1,16.285559
"181",0.95,16.3784326612903
"182",1.05,16.3784326612903
"183",0.95,16.483112585034
"184",1.05,16.483112585034
"185",0.95,16.5814764940239
"186",1.05,16.5814764940239
"187",0.9,16.6776812903226
"188",1.1,16.6776812903226
"189",0.95,16.7782892230576
"190",1.05,16.7782892230576
"191",0.9,16.8815884169884
"192",0.9,16.9829197142857
"193",0.85,17.0705630144605
"194",0.7,17.1726885641677
"195",0.9,17.1726885641677
"196",0.7,17.2698932542161
"197",0.9,17.2698932542161
"198",0.7,17.3695682010902
"199",0.9,17.3695682010902
"200",0.7,17.4678520699708
"201",0.9,17.4678520699708
"202",0.7,17.5679272968667
"203",0.9,17.5679272968667
"204",0.75,17.6664709952102
"205",0.85,17.6664709952102
"206",0.75,17.7650703461179
"207",0.85,17.7650703461179
"208",0.75,17.8630169573643
"209",0.85,17.8630169573643
"210",0.75,17.9626089980545
"211",0.85,17.9626089980545
"212",0.75,18.0605585086042
"213",0.85,18.0605585086042
"214",0.7,18.1576831841733
"215",0.9,18.1576831841733
"216",0.75,18.2589022034693
"217",0.85,18.2589022034693
"218",0.9,18.3569937247871
"219",0.9,18.4554052965143
"220",0.9,18.5536955496217
"221",0.9,18.6523521942906
"222",0.9,18.7513173931997
"223",0.75,18.849058018018
"224",0.9,18.948797920354
"225",0.9,19.0476126977153
"226",1.1,19.0476126977153
"227",0.9,19.1459875
"228",1.1,19.1459875
"229",0.75,19.2443496081143
"230",1.25,19.2443496081143
"231",0.9,19.3444480343425
"232",1.1,19.3444480343425
"233",0.75,19.4420691463996
"234",1.25,19.4420691463996
"235",0.9,19.5405652401331
"236",1.1,19.5405652401331
"237",1.25,19.6393600493827
"238",1.25,19.7391175903614
"239",1.25,19.8373508491508
"240",1.25,19.9356980827447
"241",1.25,20.0340367639529
"242",1.25,20.1319412658228
"243",1.25,20.2304558563248
"244",1.25,20.3301931144068
"245",1.25,20.4281756727664
"246",1.25,20.5280020293123
"247",1.75,20.5280020293123
"248",1.25,20.6249123623011
"249",1.75,20.6249123623011
"250",0.75,20.7225068245125
"251",1.25,20.7225068245125
"252",1.75,20.7225068245125
"253",0.75,20.8169811871227
"254",1.25,20.8169811871227
"255",1.75,20.8169811871227
"256",0.75,20.8962744318182
"257",1.25,20.8962744318182
"258",1.75,20.8962744318182
