"","point_bp_rp","point_gmag"
"1",0.75,11.9747
"2",1.575,12.4420666666667
"3",1.675,12.4420666666667
"4",1.725,12.4420666666667
"5",1.475,12.7131727272727
"6",1.525,12.7131727272727
"7",1.575,12.7131727272727
"8",1.625,12.7131727272727
"9",1.675,12.7131727272727
"10",1.25,13.3144342857143
"11",1.35,13.3144342857143
"12",1.45,13.3144342857143
"13",1.3,13.8106672413793
"14",1.1,14.3691566037736
"15",1.3,14.3691566037736
"16",0.95,14.8485333333333
"17",1.05,14.8485333333333
"18",1.15,14.8485333333333
"19",1.1,15.4532144230769
"20",0.1,15.9613333333333
"21",0.3,15.9613333333333
"22",0.5,15.9613333333333
"23",0.7,15.9613333333333
"24",0.9,15.9613333333333
"25",1.1,15.9613333333333
"26",0.05,16.4350136612022
"27",0.15,16.4350136612022
"28",0.95,16.4350136612022
"29",1.05,16.4350136612022
"30",0.9,16.9772314814815
"31",1.1,16.9772314814815
"32",0.9,17.4840149758454
"33",0.85,18.0221735507246
"34",0.95,18.0221735507246
"35",0.7,18.5970454175153
"36",0.9,18.5970454175153
"37",0.75,19.0764531083481
"38",0.75,19.5940879406308
"39",0.75,20.1010365689866
"40",0.75,20.531575
