Gmag,G_BPmag,G_RPmag,logAge,MH
15.130,18.074,13.680,10.16137,-1.10000
15.063,17.943,13.620,10.16137,-1.10000
14.327,16.589,12.968,10.16137,-1.10000
13.458,15.252,12.189,10.16137,-1.10000
12.923,14.551,11.696,10.16137,-1.10000
12.524,14.063,11.322,10.16137,-1.10000
11.912,13.350,10.742,10.16137,-1.10000
11.698,13.107,10.536,10.16137,-1.10000
11.364,12.732,10.216,10.16137,-1.10000
10.947,12.270,9.815,10.16137,-1.10000
10.669,11.963,9.547,10.16137,-1.10000
10.603,11.890,9.484,10.16137,-1.10000
10.192,11.427,9.092,10.16137,-1.10000
9.699,10.858,8.628,10.16137,-1.10000
9.118,10.158,8.099,10.16137,-1.10000
8.471,9.390,7.510,10.16137,-1.10000
8.056,8.912,7.128,10.16137,-1.10000
7.882,8.714,6.968,10.16137,-1.10000
7.838,8.664,6.927,10.16137,-1.10000
7.699,8.506,6.800,10.16137,-1.10000
7.561,8.350,6.672,10.16137,-1.10000
7.435,8.209,6.554,10.16137,-1.10000
7.294,8.052,6.424,10.16137,-1.10000
7.217,7.966,6.352,10.16137,-1.10000
7.094,7.830,6.237,10.16137,-1.10000
6.968,7.692,6.119,10.16137,-1.10000
6.852,7.565,6.010,10.16137,-1.10000
6.735,7.438,5.899,10.16137,-1.10000
6.666,7.364,5.833,10.16137,-1.10000
6.562,7.252,5.735,10.16137,-1.10000
6.424,7.105,5.603,10.16137,-1.10000
6.295,6.969,5.479,10.16137,-1.10000
6.163,6.831,5.351,10.16137,-1.10000
6.030,6.692,5.221,10.16137,-1.10000
5.897,6.556,5.091,10.16137,-1.10000
5.811,6.468,5.007,10.16137,-1.10000
5.796,6.452,4.991,10.16137,-1.10000
5.742,6.398,4.937,10.16137,-1.10000
5.592,6.250,4.786,10.16137,-1.10000
5.458,6.121,4.650,10.16137,-1.10000
5.406,6.072,4.595,10.16137,-1.10000
5.296,5.972,4.477,10.16137,-1.10000
5.204,5.891,4.378,10.16137,-1.10000
5.110,5.814,4.272,10.16137,-1.10000
5.038,5.758,4.190,10.16137,-1.10000
4.957,5.694,4.099,10.16137,-1.10000
4.862,5.613,3.995,10.16137,-1.10000
4.766,5.526,3.893,10.16137,-1.10000
4.691,5.457,3.814,10.16137,-1.10000
4.671,5.438,3.794,10.16137,-1.10000
4.561,5.334,3.680,10.16137,-1.10000
4.459,5.235,3.576,10.16137,-1.10000
4.336,5.116,3.451,10.16137,-1.10000
4.214,4.998,3.326,10.16137,-1.10000
4.080,4.867,3.191,10.16137,-1.10000
3.950,4.740,3.059,10.16137,-1.10000
3.831,4.623,2.938,10.16137,-1.10000
3.729,4.525,2.835,10.16137,-1.10000
3.608,4.406,2.712,10.16137,-1.10000
3.481,4.282,2.583,10.16137,-1.10000
3.354,4.159,2.454,10.16137,-1.10000
3.233,4.042,2.330,10.16137,-1.10000
3.112,3.925,2.207,10.16137,-1.10000
2.994,3.811,2.087,10.16137,-1.10000
2.874,3.695,1.964,10.16137,-1.10000
2.757,3.583,1.845,10.16137,-1.10000
2.638,3.468,1.723,10.16137,-1.10000
2.522,3.357,1.605,10.16137,-1.10000
2.410,3.250,1.490,10.16137,-1.10000
2.297,3.142,1.374,10.16137,-1.10000
2.188,3.038,1.262,10.16137,-1.10000
2.076,2.932,1.147,10.16137,-1.10000
1.968,2.830,1.036,10.16137,-1.10000
1.860,2.728,0.924,10.16137,-1.10000
1.753,2.627,0.814,10.16137,-1.10000
1.652,2.531,0.710,10.16137,-1.10000
1.597,2.479,0.654,10.16137,-1.10000
1.630,2.509,0.688,10.16137,-1.10000
1.642,2.520,0.701,10.16137,-1.10000
1.551,2.434,0.606,10.16137,-1.10000
1.446,2.336,0.499,10.16137,-1.10000
1.343,2.239,0.391,10.16137,-1.10000
1.240,2.144,0.285,10.16137,-1.10000
1.139,2.051,0.181,10.16137,-1.10000
1.041,1.961,0.078,10.16137,-1.10000
0.942,1.870,-0.025,10.16137,-1.10000
0.843,1.780,-0.128,10.16137,-1.10000
0.748,1.694,-0.227,10.16137,-1.10000
0.654,1.609,-0.325,10.16137,-1.10000
0.563,1.526,-0.420,10.16137,-1.10000
0.472,1.445,-0.515,10.16137,-1.10000
0.382,1.365,-0.610,10.16137,-1.10000
0.294,1.287,-0.702,10.16137,-1.10000
0.189,1.195,-0.813,10.16137,-1.10000
0.105,1.121,-0.903,10.16137,-1.10000
0.006,1.035,-1.007,10.16137,-1.10000
-0.091,0.951,-1.111,10.16137,-1.10000
-0.189,0.867,-1.215,10.16137,-1.10000
-0.283,0.787,-1.314,10.16137,-1.10000
-0.374,0.709,-1.412,10.16137,-1.10000
-0.465,0.632,-1.508,10.16137,-1.10000
-0.552,0.561,-1.601,10.16137,-1.10000
-0.637,0.492,-1.693,10.16137,-1.10000
-0.723,0.423,-1.786,10.16137,-1.10000
-0.804,0.358,-1.874,10.16137,-1.10000
-0.883,0.295,-1.960,10.16137,-1.10000
-0.963,0.232,-2.046,10.16137,-1.10000
-1.042,0.171,-2.132,10.16137,-1.10000
-1.115,0.115,-2.211,10.16137,-1.10000
-1.190,0.058,-2.292,10.16137,-1.10000
-1.262,0.003,-2.371,10.16137,-1.10000
-1.332,-0.047,-2.447,10.16137,-1.10000
-1.399,-0.093,-2.522,10.16137,-1.10000
-1.464,-0.139,-2.594,10.16137,-1.10000
-1.528,-0.182,-2.664,10.16137,-1.10000
-1.585,-0.219,-2.728,10.16137,-1.10000
-1.640,-0.255,-2.789,10.16137,-1.10000
2.008,2.733,1.156,10.16137,-1.10000
1.971,2.699,1.118,10.16137,-1.10000
1.965,2.693,1.111,10.16137,-1.10000
1.962,2.690,1.109,10.16137,-1.10000
1.962,2.688,1.110,10.16137,-1.10000
1.963,2.688,1.112,10.16137,-1.10000
1.967,2.689,1.117,10.16137,-1.10000
1.971,2.690,1.123,10.16137,-1.10000
1.975,2.692,1.129,10.16137,-1.10000
1.980,2.694,1.136,10.16137,-1.10000
1.984,2.695,1.141,10.16137,-1.10000
1.987,2.696,1.146,10.16137,-1.10000
1.988,2.697,1.148,10.16137,-1.10000
1.990,2.697,1.151,10.16137,-1.10000
1.993,2.698,1.155,10.16137,-1.10000
1.995,2.698,1.158,10.16137,-1.10000
1.995,2.698,1.158,10.16137,-1.10000
1.995,2.698,1.158,10.16137,-1.10000
1.995,2.697,1.159,10.16137,-1.10000
1.995,2.697,1.159,10.16137,-1.10000
1.993,2.695,1.157,10.16137,-1.10000
1.991,2.693,1.154,10.16137,-1.10000
1.987,2.691,1.150,10.16137,-1.10000
1.982,2.687,1.143,10.16137,-1.10000
1.975,2.683,1.135,10.16137,-1.10000
1.973,2.682,1.133,10.16137,-1.10000
1.967,2.678,1.126,10.16137,-1.10000
1.958,2.672,1.115,10.16137,-1.10000
1.949,2.665,1.103,10.16137,-1.10000
1.939,2.658,1.092,10.16137,-1.10000
1.926,2.649,1.077,10.16137,-1.10000
1.910,2.636,1.057,10.16137,-1.10000
1.892,2.623,1.037,10.16137,-1.10000
1.875,2.609,1.017,10.16137,-1.10000
1.852,2.591,0.991,10.16137,-1.10000
1.823,2.567,0.960,10.16137,-1.10000
1.785,2.535,0.918,10.16137,-1.10000
1.711,2.472,0.837,10.16137,-1.10000
1.624,2.397,0.742,10.16137,-1.10000
1.539,2.324,0.650,10.16137,-1.10000
1.451,2.249,0.556,10.16137,-1.10000
1.366,2.175,0.463,10.16137,-1.10000
1.286,2.105,0.377,10.16137,-1.10000
1.211,2.039,0.298,10.16137,-1.10000
1.197,2.027,0.283,10.16137,-1.10000
1.162,1.996,0.245,10.16137,-1.10000
1.074,1.917,0.152,10.16137,-1.10000
0.983,1.837,0.055,10.16137,-1.10000
0.895,1.760,-0.038,10.16137,-1.10000
0.814,1.687,-0.125,10.16137,-1.10000
0.751,1.632,-0.191,10.16137,-1.10000
0.836,1.707,-0.101,10.16137,-1.10000
0.932,1.792,0.001,10.16137,-1.10000
0.910,1.773,-0.023,10.16137,-1.10000
0.814,1.688,-0.124,10.16137,-1.10000
0.717,1.603,-0.228,10.16137,-1.10000
0.614,1.511,-0.337,10.16137,-1.10000
0.513,1.422,-0.444,10.16137,-1.10000
0.414,1.336,-0.549,10.16137,-1.10000
0.316,1.250,-0.653,10.16137,-1.10000
0.220,1.168,-0.755,10.16137,-1.10000
0.126,1.088,-0.856,10.16137,-1.10000
0.032,1.008,-0.956,10.16137,-1.10000
-0.058,0.935,-1.054,10.16137,-1.10000
-0.136,0.881,-1.143,10.16137,-1.10000
-0.169,0.866,-1.184,10.16137,-1.10000
-0.259,0.787,-1.280,10.16137,-1.10000
-0.353,0.702,-1.377,10.16137,-1.10000
-0.459,0.595,-1.483,10.16137,-1.10000
