Gmag,G_BPmag,G_RPmag,logAge,MH
14.820,17.301,13.435,10.12222,-1.45000
14.478,16.673,13.135,10.12222,-1.45000
13.964,15.820,12.685,10.12222,-1.45000
13.760,15.525,12.501,10.12222,-1.45000
13.136,14.685,11.932,10.12222,-1.45000
12.627,14.065,11.457,10.12222,-1.45000
12.238,13.612,11.089,10.12222,-1.45000
11.646,12.949,10.522,10.12222,-1.45000
11.110,12.360,10.005,10.12222,-1.45000
10.704,11.916,9.614,10.12222,-1.45000
10.564,11.762,9.479,10.12222,-1.45000
10.374,11.555,9.296,10.12222,-1.45000
10.165,11.320,9.097,10.12222,-1.45000
9.985,11.118,8.925,10.12222,-1.45000
9.506,10.564,8.478,10.12222,-1.45000
8.957,9.916,7.976,10.12222,-1.45000
8.369,9.247,7.428,10.12222,-1.45000
7.811,8.617,6.911,10.12222,-1.45000
7.758,8.557,6.862,10.12222,-1.45000
7.636,8.420,6.749,10.12222,-1.45000
7.523,8.293,6.644,10.12222,-1.45000
7.418,8.176,6.547,10.12222,-1.45000
7.316,8.062,6.453,10.12222,-1.45000
7.245,7.982,6.387,10.12222,-1.45000
7.205,7.937,6.350,10.12222,-1.45000
7.080,7.799,6.233,10.12222,-1.45000
6.957,7.665,6.118,10.12222,-1.45000
6.840,7.537,6.008,10.12222,-1.45000
6.727,7.414,5.901,10.12222,-1.45000
6.636,7.315,5.815,10.12222,-1.45000
6.586,7.261,5.768,10.12222,-1.45000
6.460,7.127,5.648,10.12222,-1.45000
6.334,6.993,5.527,10.12222,-1.45000
6.208,6.860,5.406,10.12222,-1.45000
6.080,6.726,5.282,10.12222,-1.45000
5.952,6.592,5.158,10.12222,-1.45000
5.823,6.460,5.032,10.12222,-1.45000
5.788,6.423,4.997,10.12222,-1.45000
5.657,6.289,4.868,10.12222,-1.45000
5.612,6.244,4.824,10.12222,-1.45000
5.575,6.207,4.787,10.12222,-1.45000
5.422,6.055,4.633,10.12222,-1.45000
5.288,5.927,4.496,10.12222,-1.45000
5.263,5.903,4.470,10.12222,-1.45000
5.211,5.854,4.415,10.12222,-1.45000
5.094,5.748,4.290,10.12222,-1.45000
4.991,5.659,4.177,10.12222,-1.45000
4.900,5.584,4.076,10.12222,-1.45000
4.818,5.519,3.982,10.12222,-1.45000
4.730,5.449,3.882,10.12222,-1.45000
4.639,5.372,3.782,10.12222,-1.45000
4.546,5.290,3.683,10.12222,-1.45000
4.453,5.203,3.585,10.12222,-1.45000
4.436,5.188,3.568,10.12222,-1.45000
4.415,5.167,3.546,10.12222,-1.45000
4.300,5.058,3.428,10.12222,-1.45000
4.196,4.957,3.321,10.12222,-1.45000
4.070,4.836,3.193,10.12222,-1.45000
3.945,4.715,3.066,10.12222,-1.45000
3.809,4.582,2.927,10.12222,-1.45000
3.677,4.453,2.794,10.12222,-1.45000
3.556,4.335,2.671,10.12222,-1.45000
3.453,4.235,2.566,10.12222,-1.45000
3.330,4.114,2.441,10.12222,-1.45000
3.200,3.988,2.309,10.12222,-1.45000
3.070,3.861,2.177,10.12222,-1.45000
2.945,3.740,2.050,10.12222,-1.45000
2.822,3.621,1.925,10.12222,-1.45000
2.701,3.503,1.802,10.12222,-1.45000
2.577,3.383,1.675,10.12222,-1.45000
2.456,3.266,1.551,10.12222,-1.45000
2.332,3.147,1.425,10.12222,-1.45000
2.212,3.031,1.303,10.12222,-1.45000
2.095,2.919,1.183,10.12222,-1.45000
1.976,2.805,1.061,10.12222,-1.45000
1.861,2.695,0.943,10.12222,-1.45000
1.743,2.582,0.822,10.12222,-1.45000
1.628,2.473,0.704,10.12222,-1.45000
1.513,2.363,0.586,10.12222,-1.45000
1.397,2.253,0.467,10.12222,-1.45000
1.290,2.152,0.357,10.12222,-1.45000
1.217,2.082,0.282,10.12222,-1.45000
1.249,2.112,0.315,10.12222,-1.45000
1.251,2.114,0.318,10.12222,-1.45000
1.211,2.076,0.276,10.12222,-1.45000
1.110,1.980,0.172,10.12222,-1.45000
1.012,1.889,0.071,10.12222,-1.45000
0.912,1.795,-0.032,10.12222,-1.45000
0.811,1.701,-0.136,10.12222,-1.45000
0.710,1.607,-0.241,10.12222,-1.45000
0.615,1.518,-0.340,10.12222,-1.45000
0.516,1.428,-0.443,10.12222,-1.45000
0.400,1.322,-0.563,10.12222,-1.45000
0.306,1.236,-0.662,10.12222,-1.45000
0.195,1.136,-0.778,10.12222,-1.45000
0.106,1.057,-0.871,10.12222,-1.45000
-0.001,0.962,-0.984,10.12222,-1.45000
-0.105,0.872,-1.094,10.12222,-1.45000
-0.207,0.783,-1.202,10.12222,-1.45000
-0.302,0.701,-1.303,10.12222,-1.45000
-0.399,0.617,-1.406,10.12222,-1.45000
-0.493,0.535,-1.505,10.12222,-1.45000
-0.582,0.458,-1.600,10.12222,-1.45000
-0.671,0.382,-1.694,10.12222,-1.45000
-0.761,0.305,-1.790,10.12222,-1.45000
-0.842,0.238,-1.877,10.12222,-1.45000
-0.925,0.170,-1.966,10.12222,-1.45000
-1.007,0.103,-2.054,10.12222,-1.45000
-1.083,0.042,-2.136,10.12222,-1.45000
-1.159,-0.020,-2.219,10.12222,-1.45000
-1.236,-0.081,-2.302,10.12222,-1.45000
-1.308,-0.138,-2.379,10.12222,-1.45000
-1.382,-0.197,-2.460,10.12222,-1.45000
-1.455,-0.255,-2.538,10.12222,-1.45000
-1.524,-0.309,-2.613,10.12222,-1.45000
-1.592,-0.360,-2.688,10.12222,-1.45000
-1.656,-0.406,-2.757,10.12222,-1.45000
-1.725,-0.456,-2.833,10.12222,-1.45000
2.004,2.659,1.200,10.12222,-1.45000
1.963,2.625,1.153,10.12222,-1.45000
1.958,2.619,1.149,10.12222,-1.45000
1.957,2.616,1.149,10.12222,-1.45000
1.957,2.613,1.151,10.12222,-1.45000
1.959,2.611,1.156,10.12222,-1.45000
1.961,2.608,1.162,10.12222,-1.45000
1.965,2.606,1.170,10.12222,-1.45000
1.969,2.603,1.179,10.12222,-1.45000
1.973,2.600,1.188,10.12222,-1.45000
1.976,2.597,1.196,10.12222,-1.45000
1.979,2.595,1.203,10.12222,-1.45000
1.982,2.593,1.210,10.12222,-1.45000
1.984,2.591,1.215,10.12222,-1.45000
1.986,2.589,1.219,10.12222,-1.45000
1.986,2.588,1.220,10.12222,-1.45000
1.986,2.588,1.219,10.12222,-1.45000
1.984,2.586,1.218,10.12222,-1.45000
1.983,2.586,1.217,10.12222,-1.45000
1.983,2.586,1.216,10.12222,-1.45000
1.979,2.585,1.210,10.12222,-1.45000
1.974,2.585,1.201,10.12222,-1.45000
1.968,2.584,1.190,10.12222,-1.45000
1.960,2.584,1.177,10.12222,-1.45000
1.951,2.583,1.162,10.12222,-1.45000
1.949,2.583,1.159,10.12222,-1.45000
1.947,2.583,1.156,10.12222,-1.45000
1.937,2.582,1.139,10.12222,-1.45000
1.925,2.579,1.121,10.12222,-1.45000
1.913,2.575,1.103,10.12222,-1.45000
1.900,2.571,1.084,10.12222,-1.45000
1.885,2.564,1.064,10.12222,-1.45000
1.868,2.555,1.042,10.12222,-1.45000
1.852,2.544,1.022,10.12222,-1.45000
