Gmag,G_BPbrmag,G_BPftmag,G_RPmag
12.076,13.043,13.093,11.125
11.662,12.547,12.595,10.753
11.001,11.779,11.825,10.152
10.568,11.300,11.344,9.746
10.235,10.939,10.982,9.430
9.994,10.679,10.722,9.201
9.695,10.359,10.401,8.916
9.193,9.824,9.864,8.438
8.804,9.409,9.448,8.068
8.477,9.059,9.096,7.757
8.160,8.718,8.754,7.458
7.887,8.420,8.454,7.206
7.772,8.294,8.327,7.099
7.347,7.830,7.860,6.705
6.841,7.276,7.302,6.241
6.328,6.708,6.729,5.780
6.253,6.624,6.644,5.713
6.096,6.450,6.469,5.574
5.958,6.297,6.314,5.452
5.836,6.160,6.176,5.344
5.804,6.124,6.140,5.316
5.770,6.087,6.102,5.285
5.636,5.940,5.954,5.166
5.504,5.796,5.809,5.047
5.385,5.667,5.679,4.939
5.266,5.538,5.549,4.832
5.261,5.532,5.544,4.827
5.171,5.436,5.447,4.746
5.029,5.284,5.294,4.616
4.897,5.143,5.153,4.494
4.766,5.004,5.013,4.373
4.644,4.876,4.885,4.260
4.639,4.870,4.879,4.256
4.610,4.840,4.849,4.229
4.486,4.709,4.717,4.113
4.358,4.574,4.583,3.993
4.228,4.439,4.447,3.871
4.057,4.261,4.270,3.709
3.880,4.079,4.087,3.541
3.754,3.950,3.958,3.420
3.748,3.944,3.952,3.414
3.713,3.907,3.915,3.380
3.552,3.743,3.751,3.223
3.516,3.707,3.715,3.188
3.495,3.686,3.694,3.167
3.370,3.562,3.571,3.040
3.231,3.428,3.437,2.895
3.205,3.403,3.412,2.867
3.177,3.377,3.386,2.836
3.079,3.288,3.297,2.726
2.993,3.214,3.223,2.625
2.916,3.150,3.161,2.528
2.845,3.096,3.107,2.437
2.779,3.047,3.060,2.350
2.716,3.000,3.013,2.268
2.649,2.949,2.963,2.184
2.562,2.876,2.891,2.081
2.473,2.796,2.812,1.981
2.366,2.697,2.714,1.866
2.347,2.680,2.696,1.846
2.244,2.581,2.598,1.738
2.122,2.463,2.481,1.611
2.012,2.357,2.375,1.498
1.901,2.248,2.266,1.384
1.790,2.140,2.159,1.270
1.679,2.032,2.050,1.156
1.558,1.914,1.933,1.033
1.446,1.804,1.824,0.918
1.327,1.688,1.708,0.796
1.210,1.574,1.593,0.676
1.095,1.461,1.481,0.559
0.981,1.350,1.370,0.442
0.863,1.235,1.256,0.321
0.748,1.124,1.144,0.204
0.637,1.015,1.036,0.089
0.523,0.904,0.925,-0.028
0.412,0.797,0.818,-0.142
0.300,0.688,0.710,-0.258
0.186,0.578,0.600,-0.375
0.073,0.469,0.491,-0.491
-0.038,0.362,0.385,-0.606
-0.151,0.253,0.276,-0.722
-0.262,0.145,0.169,-0.838
-0.370,0.042,0.066,-0.950
-0.478,-0.063,-0.038,-1.062
-0.589,-0.169,-0.144,-1.176
-0.696,-0.271,-0.246,-1.287
-0.809,-0.379,-0.353,-1.404
-0.915,-0.481,-0.454,-1.515
-0.944,-0.508,-0.482,-1.545
-0.921,-0.487,-0.461,-1.520
-0.937,-0.503,-0.476,-1.537
-1.034,-0.594,-0.568,-1.638
-1.137,-0.693,-0.666,-1.745
-1.229,-0.781,-0.753,-1.841
-1.326,-0.873,-0.844,-1.942
-1.422,-0.964,-0.935,-2.043
-1.512,-1.049,-1.020,-2.137
-1.608,-1.137,-1.107,-2.239
-1.698,-1.220,-1.189,-2.334
-1.787,-1.301,-1.269,-2.430
-1.877,-1.382,-1.349,-2.526
-1.980,-1.475,-1.441,-2.637
-2.067,-1.551,-1.516,-2.733
-2.164,-1.636,-1.600,-2.838
-2.249,-1.709,-1.672,-2.931
-2.339,-1.786,-1.748,-3.032
-2.419,-1.854,-1.815,-3.120
-2.507,-1.928,-1.887,-3.218
-2.600,-2.002,-1.960,-3.325
-2.680,-2.065,-2.022,-3.417
-2.751,-2.118,-2.074,-3.499
-2.827,-2.175,-2.129,-3.587
-2.910,-2.242,-2.195,-3.681
-2.983,-2.301,-2.254,-3.763
-3.059,-2.363,-2.316,-3.848
-3.128,-2.419,-2.371,-3.926
-3.146,-2.434,-2.386,-3.947
0.468,0.540,0.546,0.330
0.461,0.535,0.541,0.321
0.391,0.481,0.489,0.221
0.385,0.476,0.484,0.214
0.385,0.475,0.483,0.216
0.385,0.474,0.482,0.217
0.385,0.473,0.481,0.218
0.385,0.473,0.480,0.219
0.384,0.472,0.479,0.219
0.383,0.471,0.478,0.218
0.382,0.470,0.477,0.215
0.379,0.469,0.476,0.211
0.376,0.467,0.475,0.204
0.372,0.466,0.473,0.196
0.367,0.464,0.472,0.186
0.367,0.464,0.472,0.185
0.361,0.462,0.470,0.173
0.354,0.460,0.468,0.157
0.346,0.459,0.467,0.139
0.338,0.458,0.466,0.119
0.329,0.457,0.466,0.097
0.320,0.457,0.466,0.075
0.311,0.458,0.467,0.051
0.311,0.458,0.467,0.049
0.309,0.458,0.467,0.044
0.299,0.459,0.469,0.018
0.290,0.460,0.471,-0.007
0.280,0.463,0.474,-0.036
0.270,0.466,0.477,-0.065
0.260,0.471,0.483,-0.094
0.250,0.476,0.489,-0.124
0.241,0.479,0.491,-0.149
0.230,0.479,0.492,-0.173
0.218,0.476,0.490,-0.198
0.204,0.471,0.485,-0.221
0.201,0.469,0.484,-0.227
0.176,0.455,0.470,-0.265
0.133,0.426,0.441,-0.323
0.069,0.377,0.394,-0.405
-0.002,0.321,0.338,-0.493
-0.074,0.262,0.281,-0.579
-0.147,0.201,0.220,-0.664
-0.215,0.142,0.162,-0.741
-0.254,0.108,0.128,-0.785
-0.286,0.079,0.099,-0.820
-0.394,-0.021,0.000,-0.937
-0.489,-0.109,-0.087,-1.039
-0.579,-0.192,-0.170,-1.134
-0.646,-0.255,-0.232,-1.206
-0.667,-0.275,-0.253,-1.228
-0.662,-0.270,-0.248,-1.222
-0.623,-0.233,-0.211,-1.181
-0.694,-0.299,-0.276,-1.257
-0.815,-0.412,-0.389,-1.386
-0.926,-0.515,-0.491,-1.503
-1.029,-0.612,-0.587,-1.612
-1.130,-0.708,-0.682,-1.719
-1.231,-0.802,-0.776,-1.825
-1.330,-0.895,-0.868,-1.930
-1.428,-0.987,-0.960,-2.033
-1.526,-1.079,-1.052,-2.136
-1.624,-1.171,-1.142,-2.240
-1.722,-1.262,-1.233,-2.344
-1.819,-1.351,-1.322,-2.447
-1.916,-1.439,-1.408,-2.552
-2.013,-1.525,-1.493,-2.657
-2.109,-1.609,-1.576,-2.761
-2.206,-1.694,-1.660,-2.868
-2.302,-1.776,-1.740,-2.974
-2.396,-1.856,-1.819,-3.079
-2.488,-1.932,-1.894,-3.183
-2.577,-2.004,-1.964,-3.284
-2.669,-2.076,-2.034,-3.390
-2.753,-2.140,-2.096,-3.488
-2.809,-2.180,-2.136,-3.554
-2.765,-2.148,-2.105,-3.501
-2.779,-2.159,-2.115,-3.518
-2.822,-2.190,-2.146,-3.570
-2.848,-2.208,-2.163,-3.600
-2.876,-2.228,-2.183,-3.634
-2.932,-2.269,-2.223,-3.700
-3.015,-2.335,-2.288,-3.795
-3.113,-2.411,-2.364,-3.906
-3.117,-2.402,-2.353,-3.919
-2.675,-2.063,-2.020,-3.408
-2.337,-1.797,-1.759,-3.020
-1.806,-1.339,-1.309,-2.434
-1.817,-1.348,-1.318,-2.446
-1.977,-1.488,-1.455,-2.623
-2.399,-1.839,-1.800,-3.096
-2.770,-2.115,-2.070,-3.532
-3.014,-2.306,-2.258,-3.812
-3.144,-2.404,-2.355,-3.961
-3.203,-2.445,-2.396,-4.032
-3.233,-2.462,-2.412,-4.070
30.065,30.059,30.050,30.058
