Gmag,G_BPbrmag,G_BPftmag,G_RPmag
13.607,15.459,15.500,12.368
12.662,13.967,14.015,11.571
11.786,12.840,12.889,10.794
11.257,12.218,12.267,10.309
10.855,11.761,11.810,9.934
10.247,11.091,11.138,9.361
9.700,10.494,10.540,8.841
9.285,10.044,10.089,8.447
8.953,9.683,9.728,8.133
8.948,9.677,9.722,8.128
8.937,9.666,9.711,8.119
8.547,9.233,9.276,7.756
8.241,8.883,8.925,7.480
8.047,8.662,8.703,7.305
7.472,7.999,8.036,6.798
6.860,7.317,7.349,6.246
6.274,6.663,6.689,5.720
6.259,6.647,6.672,5.707
6.133,6.507,6.530,5.595
6.016,6.378,6.400,5.490
5.909,6.258,6.280,5.394
5.803,6.142,6.162,5.300
5.683,6.010,6.028,5.193
5.674,6.000,6.019,5.185
5.554,5.869,5.886,5.077
5.427,5.730,5.747,4.961
5.304,5.598,5.613,4.849
5.186,5.470,5.485,4.740
5.065,5.341,5.355,4.629
5.022,5.296,5.309,4.590
4.924,5.192,5.205,4.498
4.814,5.075,5.088,4.395
4.700,4.956,4.969,4.288
4.580,4.831,4.843,4.174
4.430,4.676,4.687,4.032
4.278,4.519,4.531,3.885
4.162,4.401,4.412,3.772
4.093,4.330,4.342,3.704
4.030,4.266,4.278,3.642
3.993,4.229,4.241,3.606
3.842,4.080,4.091,3.453
3.712,3.953,3.965,3.318
3.688,3.930,3.942,3.292
3.661,3.905,3.917,3.263
3.563,3.814,3.827,3.156
3.478,3.738,3.751,3.061
3.401,3.672,3.686,2.972
3.334,3.616,3.631,2.892
3.272,3.566,3.582,2.815
3.207,3.513,3.530,2.737
3.137,3.455,3.473,2.654
3.047,3.376,3.395,2.552
2.956,3.293,3.312,2.454
2.886,3.227,3.247,2.379
2.850,3.192,3.212,2.341
2.749,3.096,3.116,2.237
2.631,2.981,3.002,2.114
2.522,2.876,2.897,2.002
2.410,2.767,2.788,1.887
2.288,2.648,2.669,1.762
2.167,2.529,2.551,1.638
2.049,2.414,2.436,1.518
1.937,2.304,2.327,1.404
1.819,2.189,2.211,1.283
1.694,2.067,2.090,1.155
1.580,1.955,1.978,1.038
1.466,1.845,1.868,0.922
1.350,1.731,1.755,0.802
1.238,1.622,1.646,0.687
1.122,1.510,1.534,0.568
1.009,1.401,1.425,0.452
0.900,1.295,1.320,0.340
0.787,1.185,1.211,0.223
0.676,1.078,1.103,0.108
0.568,0.975,1.000,-0.003
0.462,0.872,0.898,-0.114
0.350,0.765,0.792,-0.230
0.243,0.663,0.690,-0.340
0.138,0.562,0.590,-0.449
0.032,0.461,0.489,-0.560
-0.067,0.367,0.395,-0.663
-0.162,0.276,0.305,-0.762
-0.248,0.194,0.224,-0.852
-0.311,0.134,0.164,-0.917
-0.281,0.162,0.191,-0.886
-0.300,0.144,0.174,-0.905
-0.403,0.047,0.077,-1.013
-0.503,-0.048,-0.017,-1.118
-0.607,-0.145,-0.114,-1.227
-0.701,-0.234,-0.202,-1.327
-0.801,-0.326,-0.293,-1.433
-0.896,-0.413,-0.380,-1.534
-0.991,-0.500,-0.466,-1.635
-1.085,-0.586,-0.551,-1.736
-1.198,-0.688,-0.651,-1.857
-1.289,-0.769,-0.732,-1.956
-1.396,-0.864,-0.825,-2.072
-1.503,-0.957,-0.917,-2.189
-1.613,-1.052,-1.011,-2.309
-1.709,-1.134,-1.092,-2.417
-1.812,-1.222,-1.178,-2.530
-1.908,-1.305,-1.261,-2.636
-2.004,-1.388,-1.343,-2.741
-2.100,-1.470,-1.424,-2.846
-2.189,-1.545,-1.499,-2.944
-2.281,-1.621,-1.574,-3.047
-2.367,-1.692,-1.645,-3.144
-2.451,-1.760,-1.712,-3.238
-2.539,-1.831,-1.782,-3.337
-2.617,-1.893,-1.844,-3.426
-2.702,-1.961,-1.911,-3.522
-2.782,-2.024,-1.974,-3.612
-2.863,-2.088,-2.037,-3.704
-2.944,-2.150,-2.099,-3.795
-3.019,-2.206,-2.154,-3.882
-3.100,-2.264,-2.213,-3.975
0.435,0.649,0.662,0.079
0.395,0.622,0.636,0.021
0.393,0.617,0.630,0.024
0.391,0.613,0.626,0.024
0.389,0.608,0.621,0.027
0.389,0.603,0.616,0.032
0.389,0.598,0.611,0.039
0.390,0.594,0.607,0.047
0.391,0.590,0.602,0.057
