Gmag,G_BPbrmag,G_BPftmag,G_RPmag
13.893,16.079,16.119,12.587
13.162,14.830,14.875,11.961
13.007,14.585,14.630,11.830
12.120,13.344,13.392,11.057
12.089,13.303,13.351,11.030
11.851,13.007,13.056,10.815
11.542,12.631,12.680,10.534
11.138,12.159,12.208,10.160
10.518,11.458,11.506,9.579
9.956,10.841,10.889,9.047
9.530,10.376,10.423,8.642
9.183,9.998,10.045,8.312
8.770,9.540,9.586,7.926
8.271,8.973,9.017,7.470
7.675,8.272,8.313,6.947
7.037,7.532,7.568,6.390
6.974,7.461,7.496,6.335
6.468,6.891,6.921,5.885
6.289,6.690,6.718,5.727
6.117,6.497,6.522,5.574
5.971,6.335,6.359,5.443
5.909,6.267,6.290,5.388
5.859,6.212,6.234,5.343
5.706,6.042,6.063,5.206
5.560,5.881,5.901,5.076
5.424,5.733,5.751,4.954
5.365,5.669,5.686,4.900
5.322,5.622,5.639,4.861
5.221,5.512,5.529,4.769
5.080,5.361,5.377,4.641
4.946,5.218,5.232,4.516
4.812,5.076,5.090,4.392
4.767,5.029,5.043,4.350
4.744,5.005,5.018,4.328
4.599,4.852,4.865,4.192
4.460,4.708,4.720,4.060
4.324,4.566,4.579,3.930
4.190,4.429,4.441,3.802
4.063,4.299,4.311,3.679
3.983,4.217,4.229,3.599
3.911,4.144,4.157,3.530
3.907,4.140,4.152,3.526
3.860,4.093,4.105,3.479
3.720,3.955,3.967,3.337
3.588,3.827,3.839,3.200
3.564,3.804,3.816,3.175
3.514,3.757,3.769,3.120
3.406,3.659,3.672,3.001
3.319,3.584,3.599,2.899
3.251,3.529,3.545,2.814
3.188,3.484,3.501,2.730
3.134,3.447,3.465,2.658
3.062,3.391,3.410,2.569
2.980,3.319,3.340,2.476
2.878,3.227,3.248,2.365
2.858,3.208,3.229,2.344
2.749,3.103,3.125,2.229
2.648,3.006,3.029,2.125
2.526,2.888,2.911,1.999
2.403,2.768,2.792,1.873
2.270,2.638,2.662,1.736
2.140,2.511,2.535,1.603
2.020,2.395,2.419,1.481
1.920,2.297,2.321,1.378
1.798,2.178,2.203,1.254
1.671,2.054,2.079,1.123
1.545,1.932,1.957,0.994
1.425,1.815,1.841,0.870
1.307,1.701,1.727,0.748
1.191,1.589,1.615,0.628
1.073,1.475,1.502,0.506
0.959,1.366,1.393,0.389
0.844,1.255,1.282,0.270
0.733,1.148,1.176,0.155
0.626,1.045,1.074,0.043
0.517,0.942,0.970,-0.070
0.413,0.843,0.872,-0.178
0.308,0.743,0.773,-0.288
0.208,0.648,0.678,-0.393
0.108,0.554,0.584,-0.497
0.012,0.462,0.493,-0.598
-0.076,0.380,0.411,-0.690
-0.134,0.325,0.356,-0.751
-0.089,0.366,0.397,-0.703
-0.072,0.382,0.413,-0.684
-0.171,0.288,0.320,-0.789
-0.268,0.197,0.230,-0.891
-0.369,0.104,0.137,-0.997
-0.469,0.011,0.045,-1.104
-0.565,-0.077,-0.042,-1.206
-0.661,-0.164,-0.128,-1.308
-0.755,-0.250,-0.213,-1.410
-0.850,-0.336,-0.298,-1.512
-0.941,-0.417,-0.378,-1.609
-1.031,-0.498,-0.458,-1.707
-1.140,-0.595,-0.554,-1.826
-1.247,-0.689,-0.647,-1.942
-1.352,-0.780,-0.737,-2.057
-1.452,-0.867,-0.823,-2.166
-1.550,-0.952,-0.908,-2.273
-1.650,-1.039,-0.994,-2.383
-1.743,-1.119,-1.073,-2.485
-1.837,-1.200,-1.154,-2.589
-1.932,-1.281,-1.234,-2.694
-2.018,-1.353,-1.306,-2.789
-2.108,-1.428,-1.379,-2.889
-2.197,-1.500,-1.451,-2.989
-2.276,-1.563,-1.514,-3.079
-2.359,-1.629,-1.579,-3.172
-2.443,-1.696,-1.646,-3.268
-2.520,-1.756,-1.705,-3.356
-2.602,-1.819,-1.768,-3.448
-2.681,-1.880,-1.828,-3.538
-2.756,-1.937,-1.885,-3.624
-2.832,-1.992,-1.940,-3.711
-2.906,-2.044,-1.992,-3.797
-2.974,-2.091,-2.039,-3.877
-3.025,-2.125,-2.073,-3.937
0.367,0.705,0.727,-0.136
0.325,0.666,0.688,-0.180
0.318,0.659,0.680,-0.188
0.313,0.655,0.676,-0.192
0.311,0.652,0.673,-0.194
0.311,0.650,0.672,-0.193
0.311,0.650,0.671,-0.191
0.313,0.650,0.671,-0.188
0.315,0.650,0.671,-0.185
0.317,0.651,0.672,-0.181
0.318,0.651,0.672,-0.178
0.320,0.651,0.672,-0.175
0.322,0.651,0.672,-0.172
0.323,0.651,0.671,-0.170
0.323,0.650,0.671,-0.168
0.323,0.650,0.671,-0.168
0.323,0.650,0.671,-0.167
0.323,0.649,0.670,-0.167
0.322,0.648,0.668,-0.167
0.321,0.646,0.667,-0.168
0.318,0.644,0.664,-0.171
0.315,0.641,0.661,-0.174
0.311,0.637,0.658,-0.179
0.307,0.634,0.655,-0.183
0.306,0.633,0.653,-0.185
0.300,0.628,0.649,-0.192
0.293,0.623,0.643,-0.200
0.285,0.616,0.637,-0.210
0.276,0.609,0.630,-0.221
0.267,0.601,0.622,-0.231
0.257,0.593,0.614,-0.243
0.249,0.586,0.607,-0.251
0.237,0.575,0.597,-0.266
0.215,0.558,0.579,-0.292
0.216,0.558,0.579,-0.291
0.182,0.530,0.552,-0.330
0.133,0.487,0.510,-0.386
0.050,0.415,0.439,-0.480
-0.038,0.337,0.362,-0.578
-0.128,0.258,0.284,-0.678
