Gmag,G_BPbrmag,G_BPftmag,G_RPmag
15.029,17.998,18.045,13.571
14.512,17.431,17.478,13.060
13.502,15.817,15.864,12.149
12.831,14.802,14.849,11.547
12.335,14.092,14.139,11.100
11.613,13.127,13.175,10.444
10.963,12.319,12.367,9.845
10.476,11.743,11.791,9.390
10.064,11.266,11.314,9.003
9.628,10.757,10.804,8.598
9.365,10.446,10.493,8.356
9.149,10.192,10.239,8.158
8.961,9.967,10.015,7.988
8.620,9.565,9.613,7.678
8.425,9.334,9.381,7.503
8.025,8.865,8.912,7.143
7.431,8.152,8.199,6.622
6.805,7.387,7.431,6.095
6.754,7.325,7.370,6.051
6.347,6.849,6.890,5.701
6.236,6.720,6.760,5.604
6.130,6.598,6.637,5.512
5.988,6.437,6.474,5.388
5.863,6.296,6.332,5.278
5.744,6.162,6.197,5.173
5.702,6.115,6.149,5.136
5.646,6.052,6.086,5.085
5.534,5.928,5.961,4.984
5.429,5.813,5.844,4.890
5.286,5.656,5.686,4.761
5.195,5.556,5.585,4.679
5.168,5.527,5.556,4.654
5.062,5.412,5.440,4.556
4.963,5.305,5.333,4.465
4.865,5.200,5.227,4.374
4.764,5.093,5.119,4.280
4.673,4.996,5.022,4.194
4.654,4.977,5.002,4.177
4.627,4.949,4.973,4.151
4.519,4.835,4.860,4.048
4.413,4.726,4.750,3.946
4.314,4.624,4.648,3.851
4.296,4.605,4.629,3.832
4.191,4.499,4.522,3.729
4.079,4.388,4.411,3.616
4.014,4.325,4.348,3.549
3.983,4.294,4.318,3.517
3.960,4.272,4.296,3.493
3.865,4.185,4.210,3.391
3.782,4.117,4.143,3.292
3.743,4.098,4.127,3.232
3.731,4.107,4.137,3.199
3.716,4.115,4.147,3.161
3.670,4.088,4.122,3.098
3.583,4.014,4.050,2.997
3.552,3.988,4.023,2.963
3.516,3.954,3.989,2.924
3.410,3.854,3.890,2.813
3.311,3.759,3.795,2.711
3.205,3.655,3.692,2.602
3.094,3.547,3.584,2.488
2.990,3.446,3.483,2.383
2.885,3.343,3.380,2.275
2.776,3.237,3.274,2.163
2.674,3.137,3.174,2.059
2.571,3.037,3.074,1.953
2.466,2.935,2.972,1.845
2.358,2.830,2.868,1.735
2.255,2.732,2.770,1.629
2.161,2.640,2.679,1.531
2.057,2.540,2.579,1.424
1.959,2.447,2.486,1.323
1.833,2.326,2.365,1.192
1.711,2.210,2.249,1.066
1.617,2.120,2.160,0.968
1.498,2.007,2.047,0.844
1.384,1.898,1.939,0.725
1.294,1.814,1.854,0.631
1.182,1.708,1.749,0.514
1.075,1.607,1.648,0.401
0.972,1.511,1.553,0.292
0.889,1.434,1.476,0.205
0.931,1.472,1.514,0.251
1.011,1.544,1.585,0.337
0.989,1.523,1.565,0.313
0.878,1.421,1.463,0.196
0.766,1.318,1.361,0.077
0.658,1.219,1.262,-0.038
0.551,1.121,1.164,-0.152
0.447,1.026,1.071,-0.263
0.343,0.932,0.976,-0.375
0.241,0.840,0.885,-0.484
0.141,0.751,0.796,-0.591
0.044,0.663,0.709,-0.696
-0.053,0.576,0.622,-0.800
-0.149,0.490,0.537,-0.903
-0.242,0.407,0.455,-1.003
-0.335,0.325,0.372,-1.102
-0.425,0.244,0.292,-1.200
-0.513,0.166,0.214,-1.295
-0.603,0.086,0.135,-1.392
-0.688,0.011,0.060,-1.483
-0.772,-0.062,-0.012,-1.575
-0.855,-0.131,-0.081,-1.667
-0.937,-0.200,-0.150,-1.758
-1.019,-0.267,-0.217,-1.849
-1.095,-0.329,-0.278,-1.934
-1.175,-0.393,-0.343,-2.023
-1.249,-0.452,-0.401,-2.107
-1.319,-0.505,-0.454,-2.187
-1.393,-0.563,-0.512,-2.271
-1.462,-0.614,-0.563,-2.350
-1.541,-0.667,-0.616,-2.443
-1.604,-0.710,-0.658,-2.518
-1.680,-0.757,-0.706,-2.609
-1.745,-0.789,-0.738,-2.691
-1.808,-0.820,-0.769,-2.771
-1.865,-0.837,-0.785,-2.847
-1.919,-0.847,-0.796,-2.920
-1.967,-0.850,-0.799,-2.989
-2.008,-0.832,-0.781,-3.052
-2.044,-0.811,-0.760,-3.111
-2.073,-0.771,-0.720,-3.164
-2.095,-0.715,-0.665,-3.211
-2.114,-0.657,-0.607,-3.255
-2.124,-0.577,-0.528,-3.292
-2.132,-0.491,-0.443,-3.326
-2.133,-0.392,-0.344,-3.353
-2.124,-0.274,-0.227,-3.370
-2.110,-0.129,-0.084,-3.387
-2.101,-0.078,-0.032,-3.386
0.564,1.048,1.086,-0.069
0.541,1.027,1.066,-0.094
0.533,1.019,1.058,-0.102
0.530,1.016,1.055,-0.104
0.532,1.017,1.055,-0.102
