Gmag,G_BPbrmag,G_BPftmag,G_RPmag
12.066,13.029,13.080,11.116
11.652,12.533,12.582,10.744
10.987,11.763,11.808,10.138
10.547,11.277,11.321,9.726
10.211,10.913,10.956,9.407
9.674,10.338,10.379,8.896
9.180,9.810,9.850,8.425
8.796,9.400,9.438,8.060
8.468,9.049,9.086,7.750
8.138,8.694,8.730,7.438
7.737,8.255,8.288,7.067
7.290,7.768,7.797,6.654
6.739,7.165,7.190,6.148
6.176,6.542,6.561,5.642
6.137,6.498,6.518,5.607
6.025,6.375,6.393,5.508
5.894,6.228,6.245,5.391
5.776,6.099,6.115,5.286
5.662,5.973,5.988,5.184
5.577,5.881,5.895,5.108
5.543,5.843,5.857,5.077
5.427,5.718,5.731,4.972
5.321,5.604,5.617,4.874
5.214,5.490,5.501,4.777
5.081,5.347,5.358,4.655
4.950,5.208,5.218,4.534
4.864,5.116,5.126,4.454
4.763,5.010,5.020,4.360
4.638,4.879,4.888,4.242
4.502,4.737,4.747,4.114
4.329,4.558,4.567,3.948
4.147,4.371,4.380,3.773
4.005,4.227,4.236,3.635
3.871,4.091,4.100,3.502
3.839,4.058,4.068,3.470
3.791,4.012,4.021,3.422
3.655,3.878,3.888,3.282
3.645,3.868,3.878,3.271
3.546,3.773,3.783,3.168
3.522,3.750,3.760,3.142
3.494,3.724,3.734,3.112
3.391,3.629,3.639,2.999
3.297,3.546,3.557,2.892
3.211,3.472,3.484,2.790
3.132,3.407,3.420,2.695
3.057,3.345,3.358,2.605
2.979,3.279,3.293,2.513
2.893,3.205,3.220,2.414
2.785,3.107,3.124,2.295
2.685,3.014,3.031,2.187
2.610,2.943,2.960,2.108
2.536,2.872,2.889,2.031
2.435,2.774,2.792,1.926
2.327,2.670,2.688,1.814
2.217,2.563,2.581,1.702
2.094,2.442,2.461,1.575
1.982,2.334,2.352,1.461
1.860,2.214,2.233,1.337
1.730,2.086,2.105,1.203
1.614,1.974,1.993,1.085
1.493,1.855,1.874,0.961
1.374,1.738,1.758,0.839
1.256,1.623,1.643,0.719
1.140,1.510,1.530,0.600
1.019,1.392,1.413,0.477
