Gmag,G_BPbrmag,G_BPftmag,G_RPmag
13.184,14.619,14.666,12.053
12.926,14.236,14.284,11.836
12.159,13.186,13.236,11.180
11.336,12.203,12.251,10.436
10.837,11.639,11.685,9.974
10.454,11.217,11.262,9.614
9.876,10.590,10.634,9.065
9.348,10.022,10.064,8.565
8.941,9.583,9.624,8.180
8.602,9.216,9.255,7.861
8.257,8.841,8.879,7.537
7.826,8.363,8.399,7.142
7.347,7.834,7.866,6.705
6.784,7.218,7.245,6.188
6.217,6.591,6.612,5.677
6.205,6.577,6.598,5.666
6.090,6.449,6.470,5.563
5.979,6.327,6.346,5.465
5.848,6.182,6.200,5.348
5.731,6.053,6.070,5.244
5.623,5.934,5.950,5.147
5.617,5.927,5.942,5.141
5.500,5.800,5.815,5.036
5.386,5.677,5.691,4.932
5.282,5.564,5.577,4.837
5.177,5.452,5.464,4.741
5.047,5.313,5.324,4.622
4.956,5.215,5.227,4.538
4.856,5.110,5.121,4.445
4.739,4.987,4.998,4.336
4.619,4.861,4.871,4.222
4.489,4.725,4.735,4.099
4.324,4.554,4.564,3.942
4.153,4.379,4.389,3.777
4.021,4.245,4.254,3.649
3.944,4.166,4.176,3.573
3.867,4.088,4.098,3.497
3.819,4.041,4.051,3.450
3.679,3.903,3.913,3.307
3.567,3.794,3.804,3.189
3.540,3.769,3.779,3.162
3.513,3.743,3.754,3.132
3.413,3.651,3.662,3.022
3.322,3.570,3.582,2.919
3.240,3.500,3.512,2.822
3.165,3.438,3.451,2.731
3.095,3.381,3.395,2.646
3.024,3.323,3.338,2.560
2.946,3.257,3.273,2.469
2.846,3.168,3.185,2.357
2.749,3.079,3.097,2.252
2.676,3.010,3.028,2.174
2.602,2.940,2.958,2.097
2.502,2.843,2.862,1.993
2.395,2.739,2.758,1.882
2.285,2.633,2.652,1.769
2.160,2.511,2.531,1.642
2.049,2.402,2.422,1.527
1.926,2.282,2.302,1.402
1.796,2.154,2.175,1.268
1.680,2.041,2.062,1.150
1.559,1.923,1.943,1.026
1.440,1.807,1.828,0.905
1.322,1.692,1.713,0.784
1.207,1.580,1.601,0.666
1.088,1.463,1.485,0.544
0.972,1.350,1.372,0.425
0.859,1.241,1.263,0.310
0.748,1.132,1.155,0.196
0.635,1.022,1.045,0.079
0.525,0.916,0.939,-0.034
0.414,0.809,0.833,-0.148
0.304,0.703,0.727,-0.261
0.198,0.600,0.625,-0.371
0.093,0.499,0.523,-0.480
-0.017,0.393,0.418,-0.593
-0.118,0.296,0.321,-0.698
-0.219,0.199,0.225,-0.802
-0.322,0.100,0.126,-0.909
-0.417,0.009,0.035,-1.008
-0.511,-0.080,-0.053,-1.105
-0.600,-0.166,-0.139,-1.198
-0.672,-0.234,-0.207,-1.272
-0.657,-0.221,-0.193,-1.256
-0.672,-0.235,-0.208,-1.272
-0.773,-0.331,-0.303,-1.378
-0.881,-0.434,-0.405,-1.490
-0.978,-0.526,-0.496,-1.591
-1.079,-0.622,-0.592,-1.698
-1.181,-0.718,-0.688,-1.804
-1.277,-0.807,-0.776,-1.905
-1.380,-0.903,-0.871,-2.014
-1.477,-0.992,-0.959,-2.118
-1.574,-1.080,-1.046,-2.221
-1.672,-1.169,-1.134,-2.326
-1.784,-1.269,-1.233,-2.448
-1.882,-1.356,-1.319,-2.555
-1.990,-1.449,-1.410,-2.673
-2.086,-1.533,-1.493,-2.777
-2.187,-1.618,-1.577,-2.891
-2.279,-1.696,-1.654,-2.992
-2.380,-1.778,-1.734,-3.106
-2.489,-1.865,-1.820,-3.230
-2.583,-1.942,-1.897,-3.335
-2.669,-2.015,-1.969,-3.431
-2.763,-2.091,-2.044,-3.536
-2.865,-2.177,-2.129,-3.650
-2.955,-2.250,-2.202,-3.751
-3.052,-2.329,-2.280,-3.859
-3.142,-2.401,-2.351,-3.961
-3.165,-2.419,-2.369,-3.986
