Zini,MH,logAge,Mini,int_IMF,Mass,logL,logTe,logg,label,McoreTP,C_O,period0,period1,period2,period3,period4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,,mbolmag,Umag,Bmag,Vmag,Rmag,Imag,Jmag,Hmag,Kmag
0.00015547,-2.00000,10.30103,0.0936335474,1.1156111956,0.094,-3.036,3.5156,5.460,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1e-30,0.00,7.449e-01,2.550e-01,2.943e-05,7.939e-06,7.201e-05,-1.000,1.636e-04,12.360,18.132,15.976,14.086,12.773,11.581,10.468,10.173,10.093,
0.00015547,-2.00000,10.30103,0.1035686582,1.2002434731,0.103,-2.743,3.5563,5.372,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1e-30,0.00,7.408e-01,2.590e-01,2.943e-05,7.940e-06,7.201e-05,-1.000,1.637e-04,11.626,15.909,14.445,12.862,11.774,10.886,9.878,9.434,9.303,
0.00015547,-2.00000,10.30103,0.1234388798,1.3415665627,0.123,-2.465,3.5839,5.281,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1e-30,0.00,7.357e-01,2.641e-01,2.943e-05,7.940e-06,7.201e-05,-1.000,1.637e-04,10.931,14.377,13.273,11.910,10.956,10.204,9.278,8.770,8.617,
0.00015547,-2.00000,10.30103,0.1433091164,1.4560320377,0.143,-2.282,3.5974,5.217,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1e-30,0.00,7.330e-01,2.669e-01,2.943e-05,7.940e-06,7.201e-05,-1.000,1.636e-04,10.476,13.570,12.615,11.347,10.460,9.752,8.866,8.339,8.175,
0.00015547,-2.00000,10.30103,0.1631793380,1.5515257120,0.163,-2.142,3.6059,5.168,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1e-30,0.00,7.319e-01,2.679e-01,2.943e-05,7.940e-06,7.201e-05,-1.000,1.636e-04,10.126,13.016,12.146,10.932,10.085,9.402,8.542,8.008,7.839,
0.00015547,-2.00000,10.30103,0.2029198259,1.7036917210,0.203,-1.931,3.6174,5.098,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1e-30,0.00,7.319e-01,2.680e-01,2.943e-05,7.940e-06,7.201e-05,-1.000,1.638e-04,9.599,12.233,11.470,10.323,9.527,8.875,8.049,7.511,7.339,
0.00015547,-2.00000,10.30103,0.2525953948,1.8468695879,0.252,-1.741,3.6281,5.045,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1e-30,0.00,7.321e-01,2.677e-01,2.943e-05,7.941e-06,7.201e-05,-1.000,1.637e-04,9.122,11.534,10.863,9.772,9.023,8.397,7.603,7.068,6.899,
0.00015547,-2.00000,10.30103,0.3022710085,1.9574397802,0.302,-1.593,3.6372,5.011,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1e-30,0.00,7.316e-01,2.683e-01,2.941e-05,7.942e-06,7.201e-05,-1.000,1.637e-04,8.752,10.986,10.391,9.343,8.630,8.027,7.259,6.730,6.567,
0.00015547,-2.00000,10.30103,0.3519465327,2.0465962887,0.352,-1.467,3.6456,4.986,1,0.000,0.544,0.00,0.00,0.00,0.00,0.00,-1,-1e-30,0.00,7.312e-01,2.686e-01,2.938e-05,7.944e-06,7.202e-05,-1.000,1.636e-04,8.438,10.516,9.988,8.979,8.296,7.713,6.969,6.449,6.292,
0.00015547,-2.00000,10.30103,0.4016221166,2.1207315922,0.401,-1.329,3.6552,4.944,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1e-30,0.00,7.500e-01,2.499e-01,2.943e-05,7.939e-06,7.201e-05,-1.000,1.636e-04,8.093,9.996,9.547,8.580,7.930,7.369,6.652,6.142,5.994,
