Zini,MH,logAge,Mini,int_IMF,Mass,logL,logTe,logg,label,McoreTP,C_O,period0,period1,period2,period3,period4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,,mbolmag,Gmag,G_BPbrmag,G_BPftmag,G_RPmag
0.00017443,-1.95000,10.13033,0.0919735953,1.1003307104,0.092,-3.115,3.5023,5.478,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-5.61e-17,0.00,7.474e-01,2.524e-01,3.241e-05,8.745e-06,7.931e-05,-1.000,1.803e-04,12.558,13.183,14.617,14.664,12.052,
0.00017443,-1.95000,10.13033,0.1019383445,1.1870970726,0.102,-2.780,3.5504,5.379,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1.34e-16,0.00,7.445e-01,2.553e-01,3.241e-05,8.745e-06,7.932e-05,-1.000,1.803e-04,11.719,12.158,13.185,13.235,11.179,
0.00017443,-1.95000,10.13033,0.1207904741,1.3245029449,0.121,-2.509,3.5781,5.293,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-2.53e-16,0.00,7.411e-01,2.587e-01,3.241e-05,8.745e-06,7.932e-05,-1.000,1.804e-04,11.043,11.376,12.249,12.298,10.472,
0.00017443,-1.95000,10.13033,0.1218678504,1.3315026760,0.122,-2.495,3.5795,5.288,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-2.62e-16,0.00,7.409e-01,2.589e-01,3.241e-05,8.745e-06,7.932e-05,-1.000,1.803e-04,11.007,11.335,12.202,12.250,10.436,
0.00017443,-1.95000,10.13033,0.1417973787,1.4480673075,0.142,-2.314,3.5936,5.229,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-3.04e-16,0.00,7.386e-01,2.613e-01,3.241e-05,8.745e-06,7.932e-05,-1.000,1.803e-04,10.554,10.836,11.637,11.684,9.973,
0.00017443,-1.95000,10.13033,0.1617268920,1.5450688601,0.162,-2.172,3.6027,5.181,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-5.41e-16,0.00,7.373e-01,2.625e-01,3.241e-05,8.745e-06,7.932e-05,-1.000,1.802e-04,10.199,10.453,11.215,11.260,9.613,
0.00017443,-1.95000,10.13033,0.2015859336,1.6992318630,0.201,-1.955,3.6145,5.107,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-8.69e-16,0.00,7.367e-01,2.632e-01,3.241e-05,8.745e-06,7.932e-05,-1.000,1.802e-04,9.657,9.874,10.589,10.632,9.064,
0.00017443,-1.95000,10.13033,0.2514097095,1.8438910246,0.251,-1.757,3.6253,5.049,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-7.7e-16,0.00,7.370e-01,2.629e-01,3.241e-05,8.746e-06,7.932e-05,-1.000,1.802e-04,9.164,9.347,10.021,10.063,8.564,
0.00017443,-1.95000,10.13033,0.3012335300,1.9553778172,0.301,-1.606,3.6343,5.012,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1.63e-15,0.00,7.370e-01,2.629e-01,3.240e-05,8.746e-06,7.932e-05,-1.000,1.803e-04,8.784,8.941,9.582,9.623,8.180,
0.00017443,-1.95000,10.13033,0.3251647353,2.0007274151,0.325,-1.543,3.6385,4.999,1,0.000,0.544,0.00,0.00,0.00,0.00,0.00,-1,-1.9e-15,0.00,7.369e-01,2.629e-01,3.239e-05,8.747e-06,7.932e-05,-1.000,1.803e-04,8.627,8.771,9.398,9.439,8.020,
0.00017443,-1.95000,10.13033,0.3510572612,2.0451469421,0.351,-1.480,3.6426,4.986,1,0.000,0.544,0.00,0.00,0.00,0.00,0.00,-1,-2.17e-15,0.00,7.368e-01,2.630e-01,3.238e-05,8.748e-06,7.932e-05,-1.000,1.802e-04,8.470,8.602,9.215,9.255,7.861,
0.00017443,-1.95000,10.13033,0.3588348329,2.0576643944,0.359,-1.459,3.6441,4.980,1,0.000,0.544,0.00,0.00,0.00,0.00,0.00,-1,-2.19e-15,0.00,7.390e-01,2.608e-01,3.238e-05,8.748e-06,7.931e-05,-1.000,1.802e-04,8.417,8.544,9.153,9.192,7.807,
0.00017443,-1.95000,10.13033,0.4008810520,2.1197147369,0.401,-1.352,3.6518,4.951,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-2.74e-15,0.00,7.502e-01,2.497e-01,3.241e-05,8.745e-06,7.931e-05,-1.000,1.802e-04,8.149,8.255,8.839,8.877,7.536,
0.00017443,-1.95000,10.13033,0.4507048726,2.1831133366,0.450,-1.194,3.6671,4.906,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-4.22e-15,0.00,7.507e-01,2.491e-01,3.241e-05,8.745e-06,7.931e-05,-1.000,1.803e-04,7.756,7.823,8.360,8.396,7.140,
0.00017443,-1.95000,10.13033,0.5005286336,2.2379984856,0.500,-1.018,3.6852,4.848,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-6.42e-15,0.00,7.511e-01,2.487e-01,3.238e-05,8.737e-06,7.924e-05,-1.000,1.802e-04,7.315,7.343,7.829,7.862,6.701,
0.00017443,-1.95000,10.13033,0.5503524542,2.2839498520,0.550,-0.805,3.7062,4.760,1,0.000,0.544,0.00,0.00,0.00,0.00,0.00,-1,-1.1e-14,0.00,7.890e-01,2.109e-01,2.775e-05,7.493e-06,6.800e-05,-1.000,9.996e-05,6.783,6.777,7.210,7.237,6.181,
0.00017443,-1.95000,10.13033,0.5654976368,2.2960860729,0.565,-0.737,3.7146,4.737,1,0.000,0.544,0.00,0.00,0.00,0.00,0.00,-1,-1.31e-14,0.00,7.934e-01,2.065e-01,2.725e-05,7.358e-06,6.678e-05,-1.000,1.252e-04,6.613,6.597,7.010,7.036,6.019,
0.00017443,-1.95000,10.13033,0.6001762152,2.3212409019,0.600,-0.587,3.7329,4.687,1,0.000,0.543,0.00,0.00,0.00,0.00,0.00,-1,-1.9e-14,0.00,8.030e-01,1.968e-01,2.611e-05,7.056e-06,6.407e-05,-1.000,1.802e-04,6.237,6.206,6.578,6.600,5.667,
0.00017443,-1.95000,10.13033,0.6076015234,2.3261995316,0.607,-0.552,3.7375,4.676,1,0.000,0.543,0.00,0.00,0.00,0.00,0.00,-1,-2.07e-14,0.00,8.056e-01,1.942e-01,2.582e-05,6.976e-06,6.335e-05,-1.000,1.758e-04,6.151,6.117,6.479,6.500,5.587,
0.00017443,-1.95000,10.13033,0.6169124842,2.3322238922,0.617,-0.508,3.7432,4.661,1,0.000,0.543,0.00,0.00,0.00,0.00,0.00,-1,-3.77e-19,0.00,8.090e-01,1.909e-01,2.543e-05,6.873e-06,6.242e-05,-1.000,1.682e-04,6.041,6.005,6.356,6.376,5.488,
0.00017443,-1.95000,10.13033,0.6278786063,2.3390562534,0.628,-0.456,3.7498,4.643,1,0.000,0.543,0.00,0.00,0.00,0.00,0.00,-1,-2.26e-21,0.00,8.131e-01,1.867e-01,2.495e-05,6.745e-06,6.127e-05,-1.000,1.265e-04,5.910,5.874,6.211,6.229,5.371,
0.00017443,-1.95000,10.13033,0.6375982165,2.3448865414,0.637,-0.409,3.7556,4.626,1,0.000,0.543,0.00,0.00,0.00,0.00,0.00,-1,-3.44e-18,0.00,8.170e-01,1.828e-01,2.450e-05,6.626e-06,6.020e-05,-1.000,1.234e-04,5.793,5.757,6.082,6.099,5.267,
0.00017443,-1.95000,10.13033,0.6469377875,2.3502995968,0.647,-0.363,3.7610,4.608,1,0.000,0.542,0.00,0.00,0.00,0.00,0.00,-1,-3.62e-15,0.00,8.210e-01,1.789e-01,2.405e-05,6.506e-06,5.913e-05,-1.000,1.134e-04,5.679,5.644,5.956,5.972,5.165,
