Zini,MH,logAge,Mini,int_IMF,Mass,logL,logTe,logg,label,McoreTP,C_O,period0,period1,period2,period3,period4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,,mbolmag,Gmag,G_BPbrmag,G_BPftmag,G_RPmag
0.010582,-0.15000,10.11394,0.0900000036,1.0816895962,0.090,-3.392,3.3764,5.242,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-4.07e-17,0.00,7.197e-01,2.697e-01,1.919e-03,5.177e-04,4.696e-03,-1.000,1.067e-02,13.249,15.210,18.161,18.208,13.740,
0.010582,-0.15000,10.11394,0.0937332809,1.1165180206,0.094,-3.317,3.3872,5.228,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1.24e-17,0.00,7.194e-01,2.699e-01,1.919e-03,5.177e-04,4.696e-03,-1.000,1.067e-02,13.063,15.024,17.969,18.016,13.554,
0.010582,-0.15000,10.11394,0.0999999940,1.1711063385,0.100,-3.199,3.4044,5.206,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-5.81e-19,0.00,7.190e-01,2.703e-01,1.919e-03,5.177e-04,4.696e-03,-1.000,1.067e-02,12.767,14.726,17.663,17.710,13.258,
0.010582,-0.15000,10.11394,0.1200000048,1.3193155527,0.120,-2.931,3.4389,5.156,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1.13e-16,0.00,7.178e-01,2.716e-01,1.919e-03,5.177e-04,4.696e-03,-1.000,1.067e-02,12.098,13.778,16.283,16.330,12.383,
0.010582,-0.15000,10.11394,0.1400000006,1.4384527206,0.140,-2.750,3.4579,5.117,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1.27e-17,0.00,7.167e-01,2.726e-01,1.919e-03,5.177e-04,4.696e-03,-1.000,1.067e-02,11.644,13.095,15.262,15.309,11.765,
0.010582,-0.15000,10.11394,0.1572810560,1.5248268843,0.157,-2.625,3.4698,5.090,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-5.38e-17,0.00,7.158e-01,2.735e-01,1.919e-03,5.177e-04,4.696e-03,-1.000,1.067e-02,11.332,12.648,14.619,14.667,11.360,
0.010582,-0.15000,10.11394,0.1599999964,1.5372931957,0.160,-2.606,3.4715,5.086,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-8.42e-17,0.00,7.157e-01,2.736e-01,1.919e-03,5.177e-04,4.696e-03,-1.000,1.067e-02,11.286,12.583,14.527,14.574,11.301,
0.010582,-0.15000,10.11394,0.1653651595,1.5611031055,0.165,-2.573,3.4743,5.079,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-5.68e-17,0.00,7.155e-01,2.738e-01,1.919e-03,5.177e-04,4.696e-03,-1.000,1.067e-02,11.203,12.470,14.371,14.419,11.198,
0.010582,-0.15000,10.11394,0.1999999881,1.6938791275,0.200,-2.383,3.4903,5.035,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-2.64e-17,0.00,7.142e-01,2.751e-01,1.919e-03,5.177e-04,4.696e-03,-1.000,1.067e-02,10.727,11.822,13.480,13.527,10.610,
0.010582,-0.15000,10.11394,0.2500000000,1.8403258324,0.250,-2.171,3.5049,4.979,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1.98e-19,0.00,7.134e-01,2.760e-01,1.919e-03,5.177e-04,4.696e-03,-1.000,1.067e-02,10.198,11.162,12.652,12.699,10.000,
