Gmag,G_BPbrmag,G_BPftmag,G_RPmag,logAge,MH
12.089,13.056,13.106,11.137,10.11394,-2.19174
11.668,12.553,12.602,10.758,10.11394,-2.19174
10.997,11.777,11.823,10.146,10.11394,-2.19174
10.556,11.290,11.334,9.733,10.11394,-2.19174
10.219,10.925,10.968,9.414,10.11394,-2.19174
9.680,10.346,10.387,8.902,10.11394,-2.19174
9.183,9.814,9.854,8.429,10.11394,-2.19174
8.797,9.402,9.440,8.062,10.11394,-2.19174
8.470,9.050,9.087,7.752,10.11394,-2.19174
8.142,8.698,8.733,7.443,10.11394,-2.19174
7.743,8.261,8.294,7.074,10.11394,-2.19174
7.300,7.778,7.808,6.664,10.11394,-2.19174
6.759,7.187,7.212,6.167,10.11394,-2.19174
6.208,6.577,6.598,5.671,10.11394,-2.19174
6.169,6.533,6.553,5.636,10.11394,-2.19174
6.054,6.407,6.426,5.534,10.11394,-2.19174
5.944,6.284,6.302,5.436,10.11394,-2.19174
5.814,6.140,6.156,5.320,10.11394,-2.19174
5.697,6.011,6.026,5.216,10.11394,-2.19174
5.627,5.935,5.949,5.154,10.11394,-2.19174
5.582,5.886,5.900,5.113,10.11394,-2.19174
5.464,5.758,5.771,5.007,10.11394,-2.19174
5.349,5.634,5.646,4.901,10.11394,-2.19174
5.243,5.519,5.532,4.805,10.11394,-2.19174
5.137,5.405,5.416,4.707,10.11394,-2.19174
5.004,5.263,5.274,4.585,10.11394,-2.19174
4.965,5.222,5.233,4.550,10.11394,-2.19174
4.940,5.195,5.205,4.526,10.11394,-2.19174
4.809,5.057,5.067,4.405,10.11394,-2.19174
4.691,4.932,4.942,4.294,10.11394,-2.19174
4.567,4.802,4.812,4.177,10.11394,-2.19174
4.432,4.662,4.672,4.050,10.11394,-2.19174
4.260,4.485,4.494,3.886,10.11394,-2.19174
4.080,4.299,4.308,3.711,10.11394,-2.19174
3.967,4.185,4.194,3.602,10.11394,-2.19174
3.897,4.113,4.122,3.534,10.11394,-2.19174
3.775,3.990,3.999,3.413,10.11394,-2.19174
3.727,3.943,3.952,3.366,10.11394,-2.19174
3.590,3.808,3.817,3.225,10.11394,-2.19174
3.481,3.703,3.713,3.111,10.11394,-2.19174
3.457,3.680,3.690,3.085,10.11394,-2.19174
3.429,3.654,3.664,3.055,10.11394,-2.19174
3.326,3.559,3.570,2.941,10.11394,-2.19174
3.234,3.478,3.489,2.835,10.11394,-2.19174
3.149,3.406,3.418,2.734,10.11394,-2.19174
3.072,3.343,3.356,2.639,10.11394,-2.19174
2.998,3.283,3.297,2.550,10.11394,-2.19174
2.922,3.221,3.235,2.458,10.11394,-2.19174
2.839,3.149,3.165,2.361,10.11394,-2.19174
2.734,3.055,3.072,2.245,10.11394,-2.19174
2.634,2.963,2.980,2.137,10.11394,-2.19174
2.560,2.893,2.910,2.058,10.11394,-2.19174
2.485,2.821,2.839,1.981,10.11394,-2.19174
2.384,2.723,2.741,1.875,10.11394,-2.19174
2.275,2.618,2.636,1.763,10.11394,-2.19174
2.165,2.511,2.530,1.650,10.11394,-2.19174
2.041,2.390,2.409,1.523,10.11394,-2.19174
1.929,2.281,2.300,1.408,10.11394,-2.19174
1.807,2.161,2.180,1.283,10.11394,-2.19174
1.676,2.033,2.052,1.149,10.11394,-2.19174
1.560,1.920,1.939,1.031,10.11394,-2.19174
1.438,1.801,1.821,0.906,10.11394,-2.19174
1.319,1.685,1.705,0.785,10.11394,-2.19174
1.202,1.570,1.590,0.664,10.11394,-2.19174
1.086,1.457,1.477,0.545,10.11394,-2.19174
0.966,1.339,1.360,0.422,10.11394,-2.19174
0.849,1.225,1.247,0.303,10.11394,-2.19174
0.735,1.115,1.136,0.186,10.11394,-2.19174
0.624,1.006,1.028,0.072,10.11394,-2.19174
0.509,0.895,0.917,-0.046,10.11394,-2.19174
0.398,0.788,0.810,-0.160,10.11394,-2.19174
0.287,0.680,0.703,-0.275,10.11394,-2.19174
0.176,0.573,0.596,-0.389,10.11394,-2.19174
0.069,0.470,0.493,-0.499,10.11394,-2.19174
-0.037,0.367,0.391,-0.609,10.11394,-2.19174
-0.148,0.261,0.285,-0.723,10.11394,-2.19174
-0.250,0.162,0.186,-0.830,10.11394,-2.19174
-0.353,0.063,0.088,-0.936,10.11394,-2.19174
-0.459,-0.039,-0.014,-1.046,10.11394,-2.19174
-0.559,-0.135,-0.109,-1.150,10.11394,-2.19174
-0.659,-0.230,-0.204,-1.253,10.11394,-2.19174
-0.758,-0.325,-0.298,-1.355,10.11394,-2.19174
-0.832,-0.396,-0.369,-1.432,10.11394,-2.19174
-0.822,-0.387,-0.360,-1.421,10.11394,-2.19174
-0.838,-0.402,-0.375,-1.438,10.11394,-2.19174
-0.935,-0.495,-0.468,-1.540,10.11394,-2.19174
-1.040,-0.595,-0.567,-1.648,10.11394,-2.19174
-1.134,-0.684,-0.656,-1.746,10.11394,-2.19174
-1.232,-0.777,-0.749,-1.849,10.11394,-2.19174
-1.331,-0.871,-0.842,-1.952,10.11394,-2.19174
-1.422,-0.957,-0.928,-2.048,10.11394,-2.19174
-1.521,-1.048,-1.018,-2.152,10.11394,-2.19174
-1.614,-1.134,-1.103,-2.251,10.11394,-2.19174
-1.706,-1.218,-1.185,-2.349,10.11394,-2.19174
-1.798,-1.301,-1.268,-2.448,10.11394,-2.19174
-1.905,-1.398,-1.364,-2.564,10.11394,-2.19174
-1.996,-1.478,-1.443,-2.663,10.11394,-2.19174
-2.098,-1.568,-1.531,-2.773,10.11394,-2.19174
-2.187,-1.645,-1.608,-2.870,10.11394,-2.19174
-2.282,-1.726,-1.687,-2.976,10.11394,-2.19174
-2.366,-1.799,-1.759,-3.068,10.11394,-2.19174
-2.459,-1.875,-1.834,-3.173,10.11394,-2.19174
-2.558,-1.956,-1.913,-3.286,10.11394,-2.19174
-2.644,-2.023,-1.979,-3.384,10.11394,-2.19174
-2.720,-2.081,-2.036,-3.472,10.11394,-2.19174
-2.803,-2.147,-2.101,-3.566,10.11394,-2.19174
-2.893,-2.222,-2.175,-3.667,10.11394,-2.19174
-2.974,-2.288,-2.241,-3.757,10.11394,-2.19174
-3.058,-2.356,-2.308,-3.851,10.11394,-2.19174
-3.134,-2.418,-2.370,-3.937,10.11394,-2.19174
-3.154,-2.435,-2.386,-3.959,10.11394,-2.19174
0.848,0.850,0.849,0.840,10.11394,-2.19174
0.814,0.818,0.817,0.801,10.11394,-2.19174
0.724,0.734,0.734,0.700,10.11394,-2.19174
0.718,0.728,0.729,0.694,10.11394,-2.19174
0.718,0.728,0.728,0.693,10.11394,-2.19174
0.716,0.727,0.727,0.691,10.11394,-2.19174
0.712,0.723,0.724,0.687,10.11394,-2.19174
0.707,0.719,0.719,0.680,10.11394,-2.19174
0.700,0.712,0.713,0.671,10.11394,-2.19174
0.691,0.705,0.706,0.660,10.11394,-2.19174
0.680,0.695,0.696,0.646,10.11394,-2.19174
0.667,0.683,0.685,0.630,10.11394,-2.19174
0.652,0.670,0.672,0.611,10.11394,-2.19174
0.635,0.656,0.658,0.590,10.11394,-2.19174
0.616,0.640,0.643,0.566,10.11394,-2.19174
0.596,0.623,0.626,0.539,10.11394,-2.19174
0.574,0.605,0.608,0.510,10.11394,-2.19174
0.549,0.585,0.589,0.476,10.11394,-2.19174
0.525,0.566,0.570,0.442,10.11394,-2.19174
0.500,0.548,0.553,0.405,10.11394,-2.19174
0.475,0.530,0.535,0.367,10.11394,-2.19174
0.450,0.514,0.519,0.327,10.11394,-2.19174
0.445,0.510,0.516,0.319,10.11394,-2.19174
0.435,0.504,0.511,0.301,10.11394,-2.19174
0.413,0.492,0.499,0.263,10.11394,-2.19174
0.394,0.484,0.491,0.226,10.11394,-2.19174
0.375,0.477,0.485,0.187,10.11394,-2.19174
0.357,0.471,0.479,0.148,10.11394,-2.19174
0.340,0.466,0.475,0.111,10.11394,-2.19174
0.324,0.463,0.473,0.075,10.11394,-2.19174
0.308,0.461,0.471,0.039,10.11394,-2.19174
0.293,0.458,0.469,0.004,10.11394,-2.19174
0.277,0.456,0.467,-0.031,10.11394,-2.19174
0.258,0.453,0.464,-0.075,10.11394,-2.19174
0.238,0.450,0.462,-0.117,10.11394,-2.19174
0.216,0.446,0.459,-0.163,10.11394,-2.19174
0.185,0.433,0.447,-0.217,10.11394,-2.19174
0.160,0.423,0.437,-0.260,10.11394,-2.19174
0.128,0.404,0.419,-0.308,10.11394,-2.19174
0.104,0.390,0.405,-0.345,10.11394,-2.19174
0.073,0.370,0.386,-0.388,10.11394,-2.19174
0.039,0.346,0.363,-0.434,10.11394,-2.19174
-0.011,0.309,0.327,-0.498,10.11394,-2.19174
-0.060,0.271,0.289,-0.559,10.11394,-2.19174
-0.118,0.224,0.243,-0.629,10.11394,-2.19174
-0.172,0.178,0.197,-0.691,10.11394,-2.19174
-0.244,0.114,0.135,-0.771,10.11394,-2.19174
-0.331,0.036,0.057,-0.866,10.11394,-2.19174
-0.422,-0.049,-0.027,-0.965,10.11394,-2.19174
-0.513,-0.132,-0.110,-1.063,10.11394,-2.19174
-0.593,-0.206,-0.184,-1.148,10.11394,-2.19174
-0.595,-0.208,-0.186,-1.149,10.11394,-2.19174
-0.568,-0.183,-0.161,-1.121,10.11394,-2.19174
-0.603,-0.214,-0.192,-1.160,10.11394,-2.19174
-0.688,-0.293,-0.270,-1.252,10.11394,-2.19174
-0.815,-0.411,-0.387,-1.387,10.11394,-2.19174
-0.918,-0.507,-0.482,-1.496,10.11394,-2.19174
-1.019,-0.602,-0.576,-1.603,10.11394,-2.19174
-1.120,-0.696,-0.670,-1.710,10.11394,-2.19174
-1.220,-0.790,-0.763,-1.816,10.11394,-2.19174
-1.320,-0.884,-0.856,-1.921,10.11394,-2.19174
-1.419,-0.976,-0.948,-2.025,10.11394,-2.19174
-1.518,-1.069,-1.040,-2.130,10.11394,-2.19174
-1.616,-1.159,-1.130,-2.234,10.11394,-2.19174
-1.714,-1.250,-1.221,-2.337,10.11394,-2.19174
-1.812,-1.340,-1.309,-2.442,10.11394,-2.19174
-1.910,-1.428,-1.396,-2.548,10.11394,-2.19174
-2.007,-1.515,-1.482,-2.655,10.11394,-2.19174
-2.105,-1.600,-1.566,-2.761,10.11394,-2.19174
-2.204,-1.686,-1.650,-2.870,10.11394,-2.19174
-2.300,-1.768,-1.731,-2.976,10.11394,-2.19174
-2.394,-1.847,-1.809,-3.081,10.11394,-2.19174
-2.480,-1.918,-1.878,-3.178,10.11394,-2.19174
-2.568,-1.989,-1.948,-3.280,10.11394,-2.19174
-2.651,-2.053,-2.010,-3.374,10.11394,-2.19174
-2.741,-2.122,-2.078,-3.480,10.11394,-2.19174
-2.769,-2.142,-2.097,-3.513,10.11394,-2.19174
-2.813,-2.173,-2.128,-3.565,10.11394,-2.19174
-2.875,-2.218,-2.172,-3.638,10.11394,-2.19174
-2.945,-2.275,-2.228,-3.718,10.11394,-2.19174
-3.025,-2.338,-2.291,-3.809,10.11394,-2.19174
-3.096,-2.394,-2.346,-3.890,10.11394,-2.19174
-3.134,-2.423,-2.375,-3.932,10.11394,-2.19174
-3.123,-2.402,-2.353,-3.928,10.11394,-2.19174
-2.643,-2.028,-1.984,-3.379,10.11394,-2.19174
-2.285,-1.744,-1.706,-2.969,10.11394,-2.19174
-1.768,-1.297,-1.266,-2.398,10.11394,-2.19174
-1.773,-1.301,-1.270,-2.405,10.11394,-2.19174
-1.939,-1.446,-1.413,-2.587,10.11394,-2.19174
-2.368,-1.805,-1.766,-3.066,10.11394,-2.19174
-2.740,-2.085,-2.039,-3.501,10.11394,-2.19174
-2.980,-2.276,-2.228,-3.774,10.11394,-2.19174
-3.102,-2.369,-2.320,-3.914,10.11394,-2.19174
-3.151,-2.403,-2.354,-3.973,10.11394,-2.19174
-3.169,-2.412,-2.362,-3.997,10.11394,-2.19174
30.063,30.056,30.048,30.057,10.11394,-2.19174
