Gmag,G_BPbrmag,G_BPftmag,G_RPmag
12.073,13.039,13.089,11.123
11.659,12.543,12.592,10.751
10.997,11.775,11.820,10.148
10.562,11.293,11.337,9.740
10.227,10.931,10.974,9.423
10.075,10.767,10.809,9.278
9.688,10.353,10.394,8.910
9.189,9.820,9.859,8.434
8.801,9.406,9.444,8.065
8.474,9.056,9.093,7.755
8.154,8.711,8.747,7.453
7.762,8.283,8.316,7.090
7.331,7.813,7.843,6.691
6.812,7.245,7.271,6.216
6.287,6.663,6.684,5.743
6.231,6.601,6.621,5.693
6.090,6.444,6.463,5.568
5.966,6.306,6.323,5.458
5.855,6.182,6.199,5.359
5.747,6.063,6.078,5.264
5.744,6.059,6.075,5.261
5.630,5.935,5.949,5.159
5.510,5.804,5.817,5.051
5.391,5.675,5.687,4.943
5.274,5.549,5.561,4.837
5.167,5.434,5.445,4.740
5.149,5.414,5.425,4.723
5.016,5.272,5.282,4.601
4.884,5.131,5.141,4.479
4.762,5.002,5.011,4.366
4.634,4.867,4.877,4.247
4.517,4.745,4.754,4.137
4.456,4.681,4.690,4.080
4.347,4.568,4.576,3.978
4.175,4.388,4.397,3.815
3.995,4.203,4.211,3.643
3.865,4.069,4.078,3.517
3.734,3.936,3.944,3.390
3.619,3.820,3.829,3.277
3.572,3.773,3.781,3.229
3.434,3.638,3.647,3.088
3.327,3.534,3.543,2.975
3.302,3.511,3.520,2.949
3.274,3.485,3.494,2.918
3.177,3.397,3.406,2.810
3.174,3.393,3.403,2.806
3.086,3.317,3.327,2.703
3.007,3.252,3.263,2.607
2.936,3.195,3.207,2.517
2.869,3.145,3.157,2.432
2.803,3.093,3.107,2.349
2.732,3.035,3.049,2.262
2.639,2.955,2.971,2.155
2.547,2.872,2.888,2.054
2.440,2.772,2.789,1.940
2.422,2.755,2.772,1.921
2.319,2.656,2.674,1.813
2.198,2.539,2.557,1.687
2.089,2.434,2.452,1.575
1.978,2.326,2.344,1.462
1.869,2.219,2.237,1.349
1.758,2.111,2.129,1.236
1.638,1.994,2.013,1.114
1.527,1.885,1.904,0.999
1.408,1.768,1.788,0.877
1.291,1.654,1.674,0.758
1.176,1.542,1.562,0.640
1.062,1.431,1.451,0.523
0.943,1.315,1.336,0.402
0.828,1.203,1.223,0.284
0.716,1.093,1.114,0.168
0.601,0.981,1.002,0.051
0.489,0.873,0.894,-0.064
0.376,0.763,0.785,-0.181
0.261,0.652,0.674,-0.300
0.146,0.541,0.563,-0.418
0.033,0.431,0.454,-0.535
-0.082,0.321,0.344,-0.653
-0.197,0.210,0.234,-0.771
-0.307,0.105,0.129,-0.885
-0.417,-0.002,0.023,-0.999
-0.530,-0.111,-0.086,-1.117
-0.641,-0.216,-0.191,-1.231
-0.757,-0.328,-0.302,-1.353
-0.866,-0.432,-0.406,-1.466
-0.899,-0.464,-0.438,-1.500
-0.882,-0.448,-0.422,-1.482
-0.899,-0.464,-0.438,-1.499
-0.996,-0.556,-0.529,-1.600
-1.099,-0.655,-0.628,-1.708
-1.192,-0.744,-0.716,-1.805
-1.290,-0.836,-0.808,-1.906
-1.387,-0.928,-0.900,-2.008
-1.478,-1.014,-0.985,-2.103
-1.574,-1.103,-1.073,-2.205
-1.666,-1.187,-1.156,-2.302
-1.756,-1.269,-1.237,-2.399
-1.846,-1.351,-1.318,-2.496
-1.951,-1.445,-1.412,-2.609
-2.040,-1.523,-1.488,-2.706
-2.139,-1.609,-1.573,-2.814
-2.225,-1.684,-1.647,-2.908
-2.317,-1.762,-1.724,-3.011
-2.399,-1.832,-1.792,-3.101
-2.489,-1.906,-1.865,-3.202
-2.584,-1.982,-1.940,-3.311
-2.666,-2.046,-2.003,-3.405
-2.739,-2.100,-2.056,-3.490
-2.817,-2.160,-2.115,-3.581
-2.903,-2.230,-2.184,-3.677
-2.979,-2.292,-2.245,-3.762
-3.058,-2.356,-2.309,-3.851
-3.129,-2.413,-2.365,-3.932
-3.148,-2.429,-2.380,-3.953
0.580,0.618,0.622,0.504
0.549,0.591,0.595,0.466
0.480,0.532,0.537,0.377
0.480,0.532,0.537,0.377
0.481,0.532,0.537,0.379
0.481,0.532,0.537,0.380
0.481,0.532,0.537,0.380
0.480,0.531,0.536,0.379
0.478,0.530,0.535,0.376
0.476,0.528,0.533,0.372
0.472,0.525,0.530,0.366
0.467,0.522,0.527,0.358
0.460,0.518,0.523,0.348
0.452,0.512,0.518,0.333
0.442,0.506,0.512,0.318
0.432,0.500,0.506,0.300
0.420,0.494,0.500,0.279
0.407,0.487,0.494,0.255
0.395,0.482,0.490,0.231
0.382,0.478,0.485,0.203
0.368,0.474,0.482,0.173
0.355,0.471,0.479,0.143
0.354,0.471,0.479,0.140
0.352,0.470,0.479,0.136
0.340,0.469,0.478,0.107
0.329,0.468,0.477,0.079
0.317,0.468,0.478,0.048
0.304,0.469,0.479,0.015
0.292,0.471,0.481,-0.017
0.280,0.473,0.484,-0.049
0.268,0.475,0.487,-0.081
0.257,0.478,0.490,-0.111
0.245,0.479,0.492,-0.139
0.230,0.477,0.490,-0.172
0.226,0.476,0.489,-0.179
0.205,0.468,0.482,-0.216
0.171,0.448,0.462,-0.267
0.112,0.407,0.423,-0.348
0.043,0.356,0.373,-0.436
-0.029,0.299,0.317,-0.525
-0.106,0.235,0.254,-0.617
-0.180,0.173,0.192,-0.701
-0.223,0.135,0.155,-0.751
-0.246,0.114,0.134,-0.776
-0.339,0.029,0.050,-0.877
-0.437,-0.060,-0.039,-0.982
-0.534,-0.150,-0.128,-1.086
-0.624,-0.235,-0.212,-1.183
-0.683,-0.289,-0.267,-1.244
-0.641,-0.251,-0.228,-1.199
-0.604,-0.215,-0.193,-1.161
-0.678,-0.284,-0.261,-1.241
-0.790,-0.388,-0.365,-1.360
-0.891,-0.483,-0.458,-1.467
-0.991,-0.576,-0.551,-1.573
-1.091,-0.670,-0.644,-1.678
-1.191,-0.764,-0.738,-1.784
-1.291,-0.857,-0.831,-1.889
-1.389,-0.950,-0.923,-1.993
-1.489,-1.043,-1.015,-2.098
-1.587,-1.136,-1.107,-2.202
-1.685,-1.226,-1.197,-2.305
-1.782,-1.316,-1.287,-2.409
-1.880,-1.404,-1.374,-2.514
-1.977,-1.491,-1.459,-2.620
-2.074,-1.577,-1.544,-2.725
-2.172,-1.662,-1.627,-2.833
-2.270,-1.746,-1.710,-2.941
-2.366,-1.827,-1.790,-3.048
-2.461,-1.906,-1.867,-3.155
-2.552,-1.979,-1.939,-3.258
-2.641,-2.049,-2.007,-3.361
-2.744,-2.127,-2.083,-3.481
-2.802,-2.169,-2.124,-3.550
-2.691,-2.088,-2.045,-3.419
-2.686,-2.084,-2.041,-3.412
-2.686,-2.084,-2.042,-3.413
-2.728,-2.115,-2.072,-3.462
-2.756,-2.136,-2.093,-3.496
-2.825,-2.185,-2.141,-3.577
-2.905,-2.242,-2.196,-3.672
