Gmag,G_BPbrmag,G_BPftmag,G_RPmag
13.609,15.463,15.504,12.370
12.813,14.187,14.234,11.699
12.664,13.969,14.017,11.573
12.290,13.474,13.523,11.244
11.788,12.842,12.891,10.796
11.723,12.765,12.814,10.737
11.260,12.221,12.270,10.311
10.859,11.766,11.814,9.938
10.252,11.096,11.143,9.365
9.703,10.498,10.544,8.845
9.287,10.046,10.091,8.449
9.217,9.970,10.015,8.383
8.949,9.679,9.724,8.130
8.552,9.238,9.282,7.761
8.351,9.008,9.051,7.579
8.055,8.672,8.713,7.312
7.485,8.014,8.051,6.809
6.882,7.341,7.373,6.266
6.306,6.699,6.725,5.750
6.302,6.694,6.720,5.746
6.172,6.549,6.573,5.630
6.048,6.412,6.434,5.519
5.933,6.284,6.305,5.416
5.826,6.166,6.186,5.321
5.722,6.051,6.070,5.228
5.608,5.926,5.944,5.126
5.478,5.785,5.801,5.009
5.351,5.647,5.662,4.893
5.229,5.515,5.530,4.781
5.111,5.388,5.402,4.673
5.107,5.384,5.398,4.669
5.091,5.367,5.381,4.655
4.975,5.244,5.257,4.548
4.854,5.116,5.129,4.435
4.744,5.000,5.013,4.332
4.632,4.883,4.895,4.226
4.513,4.759,4.771,4.114
4.365,4.606,4.617,3.973
4.294,4.532,4.544,3.904
4.180,4.415,4.426,3.794
4.057,4.289,4.300,3.674
3.968,4.199,4.210,3.587
3.931,4.162,4.173,3.550
3.779,4.012,4.023,3.396
3.646,3.883,3.895,3.258
3.621,3.859,3.871,3.231
3.594,3.834,3.846,3.203
3.498,3.746,3.758,3.097
3.415,3.671,3.684,3.002
3.340,3.607,3.621,2.914
3.275,3.554,3.569,2.835
3.215,3.506,3.522,2.762
3.154,3.458,3.475,2.687
3.088,3.404,3.422,2.608
3.004,3.331,3.350,2.511
2.918,3.253,3.272,2.417
2.851,3.191,3.210,2.345
2.815,3.156,3.176,2.307
2.714,3.060,3.080,2.203
2.596,2.945,2.966,2.079
2.486,2.839,2.860,1.967
2.374,2.731,2.752,1.852
2.252,2.611,2.632,1.726
2.130,2.492,2.513,1.602
2.011,2.376,2.398,1.480
1.900,2.266,2.289,1.366
1.781,2.150,2.173,1.245
1.656,2.028,2.051,1.117
1.541,1.916,1.940,0.999
1.427,1.806,1.829,0.883
1.311,1.693,1.716,0.764
1.200,1.584,1.608,0.649
1.083,1.471,1.496,0.530
0.971,1.363,1.387,0.414
0.863,1.258,1.283,0.302
0.750,1.148,1.173,0.186
0.639,1.041,1.067,0.071
0.532,0.938,0.964,-0.039
0.426,0.836,0.863,-0.149
0.315,0.730,0.757,-0.265
0.209,0.629,0.656,-0.374
0.105,0.530,0.557,-0.482
0.000,0.429,0.457,-0.592
-0.097,0.336,0.365,-0.693
-0.191,0.247,0.276,-0.791
-0.276,0.166,0.196,-0.880
-0.338,0.108,0.137,-0.944
-0.304,0.139,0.169,-0.908
-0.323,0.121,0.150,-0.928
-0.425,0.024,0.054,-1.035
-0.526,-0.071,-0.040,-1.141
-0.630,-0.169,-0.138,-1.250
-0.725,-0.257,-0.225,-1.351
-0.825,-0.350,-0.317,-1.456
-0.920,-0.437,-0.403,-1.557
-1.014,-0.524,-0.489,-1.658
-1.108,-0.609,-0.574,-1.759
-1.221,-0.710,-0.674,-1.880
-1.312,-0.792,-0.754,-1.978
-1.418,-0.886,-0.847,-2.094
-1.524,-0.978,-0.938,-2.210
-1.633,-1.073,-1.032,-2.330
-1.729,-1.154,-1.112,-2.437
-1.831,-1.241,-1.197,-2.549
-1.927,-1.324,-1.280,-2.654
-2.022,-1.406,-1.360,-2.759
-2.116,-1.487,-1.441,-2.863
-2.204,-1.561,-1.515,-2.960
-2.295,-1.636,-1.589,-3.062
-2.381,-1.707,-1.659,-3.157
-2.464,-1.774,-1.726,-3.251
-2.550,-1.843,-1.794,-3.348
-2.628,-1.905,-1.856,-3.436
-2.711,-1.971,-1.921,-3.530
-2.790,-2.033,-1.982,-3.619
-2.870,-2.096,-2.045,-3.709
-2.948,-2.157,-2.106,-3.799
-3.023,-2.211,-2.160,-3.884
-3.101,-2.268,-2.216,-3.975
0.416,0.672,0.687,0.006
0.378,0.642,0.658,-0.042
0.374,0.637,0.652,-0.044
0.371,0.632,0.648,-0.046
0.369,0.628,0.643,-0.046
0.368,0.624,0.639,-0.042
0.368,0.620,0.635,-0.038
0.368,0.615,0.630,-0.032
0.369,0.611,0.625,-0.024
0.370,0.606,0.620,-0.015
0.370,0.600,0.614,-0.007
0.371,0.596,0.609,0.000
0.371,0.591,0.605,0.007
0.371,0.588,0.601,0.012
0.371,0.586,0.599,0.014
0.371,0.585,0.598,0.015
0.371,0.584,0.597,0.015
0.370,0.583,0.596,0.014
0.368,0.582,0.595,0.011
0.365,0.582,0.596,0.005
0.362,0.583,0.596,-0.003
