Gmag,G_BPbrmag,G_BPftmag,G_RPmag,logAge,MH
13.746,15.755,15.795,12.474,10.02119,-1.35000
13.513,15.358,15.400,12.274,10.02119,-1.35000
12.832,14.266,14.313,11.699,10.02119,-1.35000
11.938,13.068,13.117,10.913,10.02119,-1.35000
11.403,12.426,12.475,10.425,10.02119,-1.35000
11.002,11.965,12.014,10.053,10.02119,-1.35000
10.392,11.283,11.331,9.479,10.02119,-1.35000
9.836,10.675,10.722,8.951,10.02119,-1.35000
9.412,10.215,10.261,8.549,10.02119,-1.35000
9.302,10.095,10.141,8.445,10.02119,-1.35000
9.069,9.842,9.888,8.224,10.02119,-1.35000
8.958,9.719,9.764,8.120,10.02119,-1.35000
8.669,9.398,9.443,7.850,10.02119,-1.35000
8.619,9.341,9.385,7.804,10.02119,-1.35000
8.177,8.837,8.880,7.403,10.02119,-1.35000
7.601,8.167,8.206,6.897,10.02119,-1.35000
6.995,7.476,7.510,6.361,10.02119,-1.35000
6.441,6.855,6.883,5.866,10.02119,-1.35000
6.353,6.756,6.783,5.788,10.02119,-1.35000
6.179,6.561,6.586,5.634,10.02119,-1.35000
6.021,6.386,6.409,5.493,10.02119,-1.35000
5.893,6.244,6.265,5.379,10.02119,-1.35000
5.788,6.127,6.147,5.285,10.02119,-1.35000
5.635,5.958,5.977,5.149,10.02119,-1.35000
5.490,5.799,5.817,5.019,10.02119,-1.35000
5.359,5.656,5.673,4.901,10.02119,-1.35000
5.359,5.656,5.673,4.901,10.02119,-1.35000
5.254,5.542,5.558,4.805,10.02119,-1.35000
5.152,5.432,5.447,4.712,10.02119,-1.35000
5.011,5.282,5.295,4.583,10.02119,-1.35000
4.875,5.137,5.150,4.457,10.02119,-1.35000
4.774,5.030,5.043,4.363,10.02119,-1.35000
4.671,4.921,4.933,4.266,10.02119,-1.35000
4.522,4.765,4.777,4.127,10.02119,-1.35000
4.381,4.618,4.629,3.993,10.02119,-1.35000
4.241,4.473,4.484,3.860,10.02119,-1.35000
4.102,4.329,4.341,3.727,10.02119,-1.35000
4.015,4.240,4.251,3.642,10.02119,-1.35000
3.954,4.177,4.188,3.583,10.02119,-1.35000
3.813,4.035,4.045,3.446,10.02119,-1.35000
3.809,4.030,4.041,3.441,10.02119,-1.35000
3.762,3.983,3.994,3.394,10.02119,-1.35000
3.620,3.843,3.854,3.251,10.02119,-1.35000
3.485,3.712,3.723,3.109,10.02119,-1.35000
3.460,3.688,3.700,3.083,10.02119,-1.35000
3.409,3.641,3.653,3.027,10.02119,-1.35000
3.300,3.543,3.556,2.906,10.02119,-1.35000
3.212,3.468,3.481,2.801,10.02119,-1.35000
3.141,3.412,3.426,2.712,10.02119,-1.35000
3.074,3.364,3.380,2.623,10.02119,-1.35000
3.019,3.326,3.344,2.549,10.02119,-1.35000
2.949,3.272,3.290,2.462,10.02119,-1.35000
2.868,3.201,3.221,2.369,10.02119,-1.35000
2.767,3.110,3.131,2.259,10.02119,-1.35000
2.747,3.091,3.111,2.238,10.02119,-1.35000
2.635,2.984,3.005,2.120,10.02119,-1.35000
2.533,2.886,2.907,2.014,10.02119,-1.35000
2.409,2.766,2.788,1.886,10.02119,-1.35000
2.285,2.645,2.667,1.759,10.02119,-1.35000
2.149,2.513,2.536,1.620,10.02119,-1.35000
2.018,2.385,2.408,1.486,10.02119,-1.35000
1.898,2.268,2.291,1.363,10.02119,-1.35000
1.796,2.169,2.192,1.259,10.02119,-1.35000
1.674,2.049,2.072,1.133,10.02119,-1.35000
1.545,1.924,1.948,1.001,10.02119,-1.35000
1.418,1.800,1.824,0.870,10.02119,-1.35000
1.296,1.682,1.706,0.745,10.02119,-1.35000
1.177,1.566,1.591,0.622,10.02119,-1.35000
1.059,1.452,1.478,0.501,10.02119,-1.35000
0.940,1.337,1.362,0.378,10.02119,-1.35000
0.825,1.226,1.252,0.259,10.02119,-1.35000
0.708,1.113,1.139,0.138,10.02119,-1.35000
0.595,1.004,1.031,0.021,10.02119,-1.35000
0.485,0.899,0.926,-0.093,10.02119,-1.35000
0.375,0.793,0.821,-0.208,10.02119,-1.35000
0.269,0.692,0.720,-0.318,10.02119,-1.35000
0.161,0.590,0.619,-0.430,10.02119,-1.35000
0.058,0.492,0.521,-0.537,10.02119,-1.35000
-0.043,0.396,0.425,-0.644,10.02119,-1.35000
-0.143,0.301,0.331,-0.748,10.02119,-1.35000
-0.233,0.216,0.246,-0.842,10.02119,-1.35000
-0.296,0.156,0.187,-0.908,10.02119,-1.35000
-0.253,0.196,0.226,-0.862,10.02119,-1.35000
-0.237,0.211,0.241,-0.845,10.02119,-1.35000
-0.336,0.117,0.148,-0.949,10.02119,-1.35000
-0.432,0.027,0.058,-1.050,10.02119,-1.35000
-0.531,-0.066,-0.034,-1.154,10.02119,-1.35000
-0.632,-0.159,-0.126,-1.261,10.02119,-1.35000
-0.728,-0.248,-0.214,-1.363,10.02119,-1.35000
-0.823,-0.335,-0.300,-1.464,10.02119,-1.35000
-0.917,-0.420,-0.385,-1.565,10.02119,-1.35000
-1.010,-0.505,-0.469,-1.665,10.02119,-1.35000
-1.099,-0.585,-0.548,-1.761,10.02119,-1.35000
-1.188,-0.665,-0.627,-1.857,10.02119,-1.35000
-1.295,-0.760,-0.721,-1.973,10.02119,-1.35000
-1.399,-0.851,-0.811,-2.086,10.02119,-1.35000
-1.502,-0.941,-0.899,-2.199,10.02119,-1.35000
-1.599,-1.024,-0.981,-2.307,10.02119,-1.35000
-1.694,-1.106,-1.062,-2.410,10.02119,-1.35000
-1.791,-1.190,-1.146,-2.517,10.02119,-1.35000
-1.880,-1.267,-1.222,-2.615,10.02119,-1.35000
-1.970,-1.344,-1.299,-2.714,10.02119,-1.35000
-2.061,-1.422,-1.376,-2.813,10.02119,-1.35000
-2.143,-1.492,-1.445,-2.905,10.02119,-1.35000
-2.227,-1.562,-1.514,-2.998,10.02119,-1.35000
-2.311,-1.630,-1.582,-3.092,10.02119,-1.35000
-2.386,-1.690,-1.642,-3.177,10.02119,-1.35000
-2.463,-1.751,-1.702,-3.264,10.02119,-1.35000
-2.541,-1.814,-1.764,-3.352,10.02119,-1.35000
-2.612,-1.870,-1.820,-3.432,10.02119,-1.35000
-2.686,-1.928,-1.878,-3.517,10.02119,-1.35000
-2.759,-1.985,-1.934,-3.599,10.02119,-1.35000
-2.828,-2.038,-1.987,-3.678,10.02119,-1.35000
-2.898,-2.091,-2.040,-3.757,10.02119,-1.35000
-2.964,-2.140,-2.089,-3.834,10.02119,-1.35000
-3.025,-2.183,-2.131,-3.905,10.02119,-1.35000
-3.070,-2.214,-2.162,-3.957,10.02119,-1.35000
0.346,0.671,0.691,-0.143,10.02119,-1.35000
0.303,0.631,0.651,-0.189,10.02119,-1.35000
0.296,0.624,0.644,-0.197,10.02119,-1.35000
0.292,0.620,0.640,-0.200,10.02119,-1.35000
0.290,0.617,0.637,-0.202,10.02119,-1.35000
0.289,0.615,0.635,-0.202,10.02119,-1.35000
0.289,0.614,0.633,-0.200,10.02119,-1.35000
0.290,0.613,0.633,-0.198,10.02119,-1.35000
0.291,0.613,0.632,-0.194,10.02119,-1.35000
0.292,0.612,0.632,-0.191,10.02119,-1.35000
0.294,0.612,0.631,-0.188,10.02119,-1.35000
0.295,0.611,0.631,-0.185,10.02119,-1.35000
0.296,0.611,0.630,-0.182,10.02119,-1.35000
0.297,0.610,0.629,-0.180,10.02119,-1.35000
0.297,0.609,0.628,-0.178,10.02119,-1.35000
0.297,0.609,0.628,-0.178,10.02119,-1.35000
0.297,0.609,0.628,-0.178,10.02119,-1.35000
0.296,0.608,0.626,-0.177,10.02119,-1.35000
0.295,0.606,0.625,-0.178,10.02119,-1.35000
0.294,0.604,0.623,-0.179,10.02119,-1.35000
0.291,0.602,0.620,-0.182,10.02119,-1.35000
0.288,0.599,0.618,-0.186,10.02119,-1.35000
0.283,0.595,0.614,-0.191,10.02119,-1.35000
0.279,0.592,0.611,-0.196,10.02119,-1.35000
0.278,0.591,0.610,-0.198,10.02119,-1.35000
0.272,0.587,0.606,-0.205,10.02119,-1.35000
0.266,0.582,0.601,-0.213,10.02119,-1.35000
0.259,0.576,0.596,-0.222,10.02119,-1.35000
0.251,0.570,0.589,-0.232,10.02119,-1.35000
0.243,0.564,0.583,-0.243,10.02119,-1.35000
0.233,0.556,0.576,-0.254,10.02119,-1.35000
0.225,0.549,0.569,-0.264,10.02119,-1.35000
0.212,0.539,0.560,-0.279,10.02119,-1.35000
0.192,0.523,0.544,-0.303,10.02119,-1.35000
0.177,0.511,0.531,-0.321,10.02119,-1.35000
0.147,0.486,0.507,-0.356,10.02119,-1.35000
0.101,0.446,0.468,-0.410,10.02119,-1.35000
0.020,0.376,0.399,-0.502,10.02119,-1.35000
-0.065,0.302,0.325,-0.598,10.02119,-1.35000
-0.151,0.227,0.251,-0.693,10.02119,-1.35000
-0.235,0.152,0.177,-0.787,10.02119,-1.35000
-0.309,0.086,0.112,-0.868,10.02119,-1.35000
-0.378,0.024,0.051,-0.943,10.02119,-1.35000
-0.386,0.016,0.043,-0.953,10.02119,-1.35000
-0.457,-0.048,-0.021,-1.030,10.02119,-1.35000
-0.544,-0.127,-0.099,-1.124,10.02119,-1.35000
-0.627,-0.202,-0.174,-1.214,10.02119,-1.35000
-0.690,-0.260,-0.231,-1.282,10.02119,-1.35000
-0.718,-0.286,-0.256,-1.312,10.02119,-1.35000
-0.666,-0.239,-0.210,-1.256,10.02119,-1.35000
-0.606,-0.184,-0.155,-1.191,10.02119,-1.35000
-0.640,-0.215,-0.186,-1.228,10.02119,-1.35000
-0.722,-0.289,-0.259,-1.317,10.02119,-1.35000
-0.843,-0.398,-0.367,-1.448,10.02119,-1.35000
-0.950,-0.495,-0.464,-1.564,10.02119,-1.35000
-1.052,-0.587,-0.555,-1.674,10.02119,-1.35000
-1.150,-0.675,-0.642,-1.781,10.02119,-1.35000
-1.247,-0.761,-0.726,-1.886,10.02119,-1.35000
-1.341,-0.843,-0.807,-1.989,10.02119,-1.35000
-1.434,-0.924,-0.887,-2.092,10.02119,-1.35000
-1.525,-1.000,-0.962,-2.194,10.02119,-1.35000
-1.607,-1.059,-1.019,-2.294,10.02119,-1.35000
-1.682,-1.105,-1.062,-2.391,10.02119,-1.35000
-1.767,-1.174,-1.130,-2.486,10.02119,-1.35000
-1.851,-1.245,-1.200,-2.580,10.02119,-1.35000
-1.934,-1.314,-1.269,-2.674,10.02119,-1.35000
-2.018,-1.383,-1.336,-2.767,10.02119,-1.35000
-2.099,-1.449,-1.402,-2.859,10.02119,-1.35000
-2.188,-1.526,-1.478,-2.957,10.02119,-1.35000
-2.298,-1.637,-1.590,-3.064,10.02119,-1.35000
-2.402,-1.763,-1.716,-3.152,10.02119,-1.35000
-2.475,-1.882,-1.837,-3.193,10.02119,-1.35000
29.949,30.641,30.684,29.155,10.02119,-1.35000
