Gmag,G_BPbrmag,G_BPftmag,G_RPmag
13.892,16.077,16.117,12.586
13.655,15.660,15.701,12.382
13.006,14.583,14.629,11.830
12.088,13.301,13.350,11.029
11.540,12.629,12.678,10.533
11.136,12.157,12.205,10.158
10.514,11.454,11.503,9.576
9.953,10.838,10.886,9.044
9.528,10.374,10.421,8.640
9.181,9.996,10.042,8.310
8.767,9.537,9.582,7.923
8.736,9.501,9.547,7.894
8.266,8.967,9.011,7.465
7.666,8.262,8.303,6.940
7.023,7.517,7.553,6.378
6.449,6.870,6.900,5.867
6.373,6.785,6.814,5.801
6.199,6.590,6.616,5.647
6.052,6.425,6.450,5.515
5.910,6.269,6.292,5.388
5.882,6.237,6.260,5.363
5.767,6.110,6.132,5.261
5.620,5.949,5.969,5.130
5.484,5.799,5.817,5.007
5.356,5.660,5.678,4.891
5.325,5.627,5.644,4.863
5.277,5.575,5.592,4.819
5.137,5.423,5.439,4.691
5.001,5.278,5.293,4.566
4.867,5.136,5.150,4.442
4.744,5.006,5.020,4.327
4.696,4.955,4.969,4.281
4.654,4.911,4.925,4.241
4.514,4.765,4.778,4.109
4.377,4.623,4.636,3.978
4.242,4.484,4.496,3.848
4.113,4.352,4.365,3.724
3.992,4.229,4.241,3.605
3.954,4.191,4.203,3.568
3.917,4.154,4.166,3.531
3.819,4.057,4.069,3.432
3.769,4.007,4.019,3.381
3.639,3.880,3.893,3.246
3.615,3.858,3.871,3.221
3.565,3.811,3.824,3.167
3.457,3.712,3.726,3.048
3.369,3.636,3.651,2.946
3.299,3.580,3.596,2.860
3.234,3.532,3.549,2.775
3.178,3.492,3.511,2.702
3.105,3.434,3.454,2.612
3.021,3.361,3.382,2.517
2.919,3.267,3.289,2.405
2.899,3.249,3.270,2.385
2.790,3.144,3.167,2.270
2.689,3.047,3.070,2.165
2.566,2.929,2.952,2.039
2.444,2.809,2.832,1.913
2.310,2.679,2.702,1.776
2.180,2.552,2.576,1.644
2.061,2.436,2.460,1.522
1.960,2.337,2.361,1.418
1.839,2.219,2.243,1.294
1.711,2.095,2.119,1.164
1.585,1.972,1.997,1.034
1.465,1.855,1.881,0.910
1.346,1.741,1.766,0.788
1.230,1.628,1.654,0.668
1.112,1.514,1.540,0.546
0.998,1.404,1.431,0.428
0.882,1.292,1.320,0.308
0.770,1.185,1.212,0.192
0.662,1.081,1.109,0.079
0.552,0.976,1.005,-0.035
0.447,0.876,0.905,-0.144
0.341,0.775,0.805,-0.255
0.239,0.678,0.708,-0.362
0.138,0.583,0.613,-0.468
0.039,0.489,0.520,-0.571
-0.053,0.403,0.434,-0.667
-0.110,0.349,0.380,-0.726
-0.068,0.387,0.419,-0.682
-0.052,0.402,0.433,-0.664
-0.150,0.309,0.341,-0.768
-0.247,0.218,0.251,-0.870
-0.348,0.125,0.158,-0.976
-0.448,0.032,0.066,-1.083
-0.544,-0.056,-0.021,-1.186
-0.640,-0.144,-0.108,-1.288
-0.735,-0.229,-0.193,-1.389
-0.830,-0.315,-0.278,-1.491
-0.920,-0.396,-0.358,-1.589
-1.010,-0.477,-0.438,-1.686
-1.120,-0.575,-0.534,-1.806
-1.227,-0.669,-0.627,-1.922
-1.333,-0.761,-0.718,-2.037
-1.432,-0.848,-0.804,-2.147
-1.531,-0.934,-0.889,-2.255
-1.632,-1.021,-0.976,-2.365
-1.725,-1.101,-1.056,-2.468
-1.820,-1.183,-1.137,-2.572
-1.916,-1.265,-1.218,-2.678
-2.003,-1.338,-1.290,-2.774
-2.093,-1.413,-1.364,-2.875
-2.183,-1.486,-1.437,-2.975
-2.263,-1.549,-1.500,-3.066
-2.346,-1.615,-1.566,-3.160
-2.432,-1.684,-1.633,-3.257
-2.510,-1.744,-1.693,-3.346
-2.592,-1.808,-1.757,-3.439
-2.672,-1.870,-1.818,-3.530
-2.749,-1.927,-1.876,-3.618
-2.825,-1.983,-1.931,-3.706
-2.901,-2.035,-1.983,-3.793
-2.971,-2.084,-2.032,-3.876
-3.023,-2.119,-2.066,-3.936
0.380,0.716,0.737,-0.119
0.338,0.676,0.697,-0.164
0.332,0.670,0.691,-0.170
0.328,0.666,0.687,-0.174
0.326,0.663,0.684,-0.175
0.326,0.662,0.683,-0.175
0.327,0.661,0.682,-0.172
0.328,0.662,0.683,-0.169
0.331,0.662,0.683,-0.165
0.333,0.663,0.684,-0.161
0.335,0.663,0.684,-0.157
0.337,0.663,0.684,-0.154
0.338,0.663,0.684,-0.151
0.339,0.663,0.684,-0.148
0.340,0.663,0.683,-0.147
0.340,0.663,0.683,-0.146
0.340,0.663,0.683,-0.146
0.340,0.662,0.682,-0.145
0.339,0.661,0.681,-0.145
0.338,0.660,0.680,-0.146
0.336,0.658,0.678,-0.148
0.334,0.655,0.675,-0.151
0.330,0.652,0.673,-0.155
0.326,0.649,0.669,-0.160
0.324,0.647,0.667,-0.163
0.321,0.644,0.665,-0.167
0.314,0.639,0.659,-0.175
0.306,0.633,0.653,-0.184
0.297,0.625,0.646,-0.196
0.288,0.618,0.638,-0.206
0.278,0.609,0.630,-0.218
0.273,0.605,0.626,-0.223
0.259,0.594,0.615,-0.240
0.235,0.574,0.595,-0.268
0.202,0.546,0.568,-0.306
0.155,0.506,0.529,-0.360
0.071,0.433,0.456,-0.455
-0.015,0.357,0.382,-0.553
-0.102,0.281,0.307,-0.649
-0.185,0.208,0.234,-0.742
-0.269,0.134,0.161,-0.834
-0.347,0.063,0.091,-0.921
-0.367,0.046,0.074,-0.943
-0.369,0.044,0.072,-0.945
-0.464,-0.041,-0.012,-1.048
-0.555,-0.123,-0.093,-1.147
-0.634,-0.194,-0.164,-1.234
-0.686,-0.241,-0.210,-1.291
-0.691,-0.246,-0.215,-1.295
-0.616,-0.179,-0.148,-1.214
-0.555,-0.123,-0.094,-1.147
-0.606,-0.169,-0.139,-1.203
-0.686,-0.240,-0.209,-1.290
-0.804,-0.346,-0.314,-1.420
-0.915,-0.446,-0.413,-1.540
-1.019,-0.537,-0.503,-1.654
-1.121,-0.627,-0.591,-1.766
-1.220,-0.713,-0.675,-1.876
-1.317,-0.796,-0.757,-1.983
-1.411,-0.876,-0.836,-2.089
-1.505,-0.954,-0.913,-2.194
-1.582,-1.000,-0.956,-2.293
-1.639,-1.038,-0.993,-2.364
-1.725,-1.109,-1.064,-2.462
-1.812,-1.182,-1.135,-2.559
-1.898,-1.253,-1.206,-2.655
-1.989,-1.327,-1.280,-2.756
-2.087,-1.415,-1.367,-2.862
-2.243,-1.596,-1.549,-3.000
-2.403,-1.852,-1.810,-3.091
30.037,30.847,30.894,29.171
