Gmag,G_BPbrmag,G_BPftmag,G_RPmag
14.700,17.700,17.745,13.258
13.925,16.385,16.431,12.558
12.940,14.803,14.850,11.684
12.305,13.878,13.925,11.121
11.839,13.252,13.299,10.704
11.412,12.708,12.756,10.316
11.153,12.390,12.438,10.079
10.545,11.679,11.726,9.513
10.087,11.159,11.207,9.082
9.694,10.718,10.766,8.712
9.247,10.206,10.254,8.298
8.755,9.643,9.691,7.844
8.207,9.007,9.054,7.346
7.579,8.263,8.308,6.793
7.243,7.854,7.898,6.508
6.963,7.519,7.561,6.270
6.377,6.836,6.872,5.765
6.371,6.829,6.865,5.760
6.217,6.654,6.688,5.625
6.077,6.495,6.527,5.502
5.949,6.350,6.381,5.389
5.846,6.235,6.265,5.298
5.707,6.081,6.109,5.174
5.554,5.911,5.938,5.037
5.417,5.760,5.785,4.915
5.330,5.664,5.688,4.836
5.287,5.618,5.642,4.798
5.167,5.488,5.511,4.688
5.051,5.364,5.385,4.582
4.937,5.241,5.261,4.476
4.831,5.128,5.148,4.378
4.800,5.095,5.114,4.349
4.746,5.038,5.057,4.298
4.620,4.906,4.925,4.180
4.498,4.777,4.796,4.064
4.379,4.654,4.672,3.950
4.263,4.535,4.552,3.839
4.180,4.450,4.467,3.758
4.094,4.362,4.379,3.673
4.065,4.333,4.350,3.645
4.012,4.280,4.297,3.592
3.905,4.173,4.190,3.485
3.773,4.044,4.062,3.349
3.724,3.997,4.015,3.298
3.638,3.917,3.935,3.205
3.544,3.834,3.853,3.099
3.478,3.785,3.806,3.014
3.452,3.777,3.800,2.967
3.435,3.782,3.807,2.928
3.401,3.768,3.794,2.874
3.334,3.715,3.743,2.793
3.234,3.626,3.654,2.683
3.218,3.610,3.639,2.665
3.114,3.512,3.541,2.556
3.055,3.455,3.485,2.494
2.939,3.344,3.374,2.374
2.819,3.228,3.258,2.251
2.723,3.134,3.164,2.152
2.623,3.037,3.068,2.050
2.499,2.916,2.947,1.923
2.378,2.798,2.829,1.799
2.250,2.674,2.705,1.668
2.131,2.558,2.590,1.546
2.008,2.439,2.471,1.419
1.892,2.326,2.358,1.300
1.773,2.211,2.244,1.177
1.654,2.097,2.130,1.053
1.542,1.990,2.023,0.937
1.428,1.881,1.915,0.819
1.323,1.781,1.815,0.709
1.212,1.675,1.710,0.594
1.108,1.576,1.611,0.485
1.003,1.476,1.511,0.375
0.902,1.381,1.417,0.270
0.803,1.288,1.324,0.166
0.704,1.195,1.232,0.061
0.612,1.109,1.146,-0.036
0.530,1.033,1.071,-0.123
0.490,0.996,1.033,-0.164
0.510,1.013,1.051,-0.143
0.586,1.083,1.120,-0.061
0.596,1.092,1.129,-0.050
0.505,1.007,1.045,-0.147
0.400,0.910,0.948,-0.258
0.302,0.819,0.858,-0.362
0.201,0.727,0.766,-0.469
0.103,0.637,0.677,-0.574
0.004,0.546,0.586,-0.680
-0.091,0.459,0.500,-0.782
-0.188,0.372,0.414,-0.886
-0.280,0.289,0.332,-0.985
-0.374,0.205,0.248,-1.086
-0.466,0.123,0.167,-1.185
-0.556,0.043,0.087,-1.282
-0.645,-0.037,0.008,-1.378
-0.733,-0.115,-0.069,-1.473
-0.823,-0.194,-0.148,-1.569
-0.905,-0.266,-0.220,-1.659
-0.990,-0.340,-0.293,-1.751
-1.072,-0.411,-0.363,-1.842
-1.153,-0.480,-0.432,-1.932
-1.236,-0.550,-0.502,-2.023
-1.335,-0.633,-0.584,-2.132
-1.414,-0.699,-0.649,-2.220
-1.493,-0.765,-0.715,-2.308
-1.590,-0.844,-0.794,-2.415
-1.682,-0.919,-0.868,-2.519
-1.759,-0.979,-0.928,-2.605
-1.849,-1.050,-0.999,-2.708
-1.936,-1.115,-1.063,-2.808
-2.024,-1.180,-1.128,-2.909
-2.109,-1.241,-1.189,-3.008
-2.190,-1.298,-1.246,-3.102
-2.270,-1.351,-1.298,-3.196
-2.345,-1.394,-1.342,-3.287
-2.416,-1.433,-1.381,-3.375
-2.480,-1.457,-1.405,-3.458
-2.541,-1.474,-1.422,-3.538
-2.594,-1.479,-1.427,-3.613
-2.642,-1.470,-1.419,-3.684
-2.690,-1.464,-1.413,-3.753
-2.702,-1.457,-1.406,-3.772
0.445,0.870,0.902,-0.139
0.418,0.846,0.877,-0.167
0.409,0.837,0.869,-0.177
0.405,0.833,0.865,-0.181
0.405,0.831,0.863,-0.181
0.406,0.832,0.863,-0.178
0.409,0.833,0.865,-0.174
0.412,0.835,0.866,-0.169
0.415,0.837,0.868,-0.165
0.418,0.838,0.869,-0.161
0.421,0.839,0.870,-0.157
0.422,0.840,0.871,-0.154
0.424,0.840,0.871,-0.152
0.425,0.841,0.872,-0.149
0.426,0.841,0.872,-0.148
0.426,0.841,0.872,-0.147
0.426,0.841,0.872,-0.147
0.427,0.840,0.871,-0.146
0.427,0.840,0.870,-0.146
0.426,0.839,0.869,-0.146
0.424,0.837,0.868,-0.148
0.422,0.835,0.865,-0.150
0.419,0.832,0.862,-0.153
0.416,0.828,0.859,-0.157
0.415,0.828,0.859,-0.157
0.411,0.824,0.855,-0.162
0.405,0.819,0.850,-0.169
0.398,0.813,0.844,-0.176
0.390,0.806,0.837,-0.185
0.381,0.799,0.830,-0.195
0.371,0.790,0.821,-0.206
0.361,0.781,0.812,-0.218
0.352,0.773,0.805,-0.228
0.334,0.758,0.790,-0.248
0.307,0.735,0.767,-0.279
0.271,0.703,0.736,-0.319
0.199,0.640,0.673,-0.400
0.119,0.571,0.605,-0.489
0.035,0.498,0.532,-0.582
-0.046,0.427,0.463,-0.672
-0.123,0.360,0.396,-0.758
-0.199,0.293,0.330,-0.842
-0.282,0.221,0.259,-0.934
-0.307,0.200,0.238,-0.962
-0.385,0.132,0.172,-1.048
-0.480,0.050,0.091,-1.153
-0.566,-0.024,0.018,-1.248
-0.586,-0.041,0.001,-1.270
-0.616,-0.067,-0.025,-1.303
-0.579,-0.035,0.006,-1.263
-0.516,0.019,0.060,-1.193
-0.524,0.013,0.053,-1.202
-0.549,-0.008,0.033,-1.229
-0.638,-0.085,-0.043,-1.328
-0.731,-0.165,-0.122,-1.431
-0.819,-0.241,-0.197,-1.528
-0.906,-0.315,-0.271,-1.624
-0.989,-0.386,-0.341,-1.716
-1.070,-0.455,-0.409,-1.807
-1.150,-0.522,-0.475,-1.896
-1.228,-0.586,-0.539,-1.984
-1.307,-0.651,-0.604,-2.072
-1.343,-0.678,-0.630,-2.114
-1.407,-0.721,-0.672,-2.193
-1.471,-0.763,-0.714,-2.271
-1.538,-0.809,-0.760,-2.352
-1.609,-0.864,-0.813,-2.434
-1.677,-0.914,-0.864,-2.514
-1.749,-0.967,-0.916,-2.597
-1.823,-1.020,-0.969,-2.684
-1.895,-1.069,-1.017,-2.769
-1.961,-1.114,-1.062,-2.848
-2.026,-1.156,-1.104,-2.925
-2.094,-1.199,-1.146,-3.008
-2.163,-1.243,-1.191,-3.089
-2.238,-1.297,-1.245,-3.174
-2.323,-1.373,-1.321,-3.263
-2.375,-1.449,-1.396,-3.303
-2.376,-1.453,-1.400,-3.303
