Gmag,G_BPbrmag,G_BPftmag,G_RPmag,logAge,MH
14.484,17.314,17.358,13.071,9.95424,-0.75000
14.247,16.890,16.935,12.859,9.95424,-0.75000
13.706,15.956,16.001,12.377,9.95424,-0.75000
13.249,15.211,15.257,11.974,9.95424,-0.75000
12.757,14.445,14.492,11.545,9.95424,-0.75000
12.144,13.579,13.626,11.003,9.95424,-0.75000
11.697,12.992,13.040,10.603,9.95424,-0.75000
11.053,12.209,12.258,10.013,9.95424,-0.75000
10.466,11.532,11.580,9.465,9.95424,-0.75000
10.015,11.024,11.072,9.039,9.95424,-0.75000
9.695,10.668,10.716,8.737,9.95424,-0.75000
9.635,10.602,10.650,8.681,9.95424,-0.75000
9.230,10.146,10.193,8.302,9.95424,-0.75000
8.777,9.632,9.679,7.883,9.95424,-0.75000
8.270,9.049,9.095,7.421,9.95424,-0.75000
7.698,8.373,8.417,6.915,9.95424,-0.75000
7.105,7.661,7.702,6.410,9.95424,-0.75000
6.557,7.023,7.058,5.937,9.95424,-0.75000
6.343,6.779,6.812,5.750,9.95424,-0.75000
6.133,6.541,6.571,5.567,9.95424,-0.75000
6.051,6.448,6.477,5.494,9.95424,-0.75000
6.021,6.414,6.443,5.467,9.95424,-0.75000
5.822,6.194,6.220,5.291,9.95424,-0.75000
5.648,6.000,6.025,5.135,9.95424,-0.75000
5.569,5.912,5.936,5.065,9.95424,-0.75000
5.489,5.825,5.848,4.993,9.95424,-0.75000
5.339,5.661,5.682,4.859,9.95424,-0.75000
5.206,5.516,5.536,4.738,9.95424,-0.75000
5.095,5.395,5.415,4.637,9.95424,-0.75000
5.004,5.297,5.316,4.553,9.95424,-0.75000
4.909,5.196,5.214,4.465,9.95424,-0.75000
4.812,5.093,5.110,4.375,9.95424,-0.75000
4.674,4.947,4.964,4.246,9.95424,-0.75000
4.595,4.864,4.880,4.172,9.95424,-0.75000
4.588,4.857,4.873,4.166,9.95424,-0.75000
4.484,4.748,4.764,4.068,9.95424,-0.75000
4.383,4.643,4.658,3.972,9.95424,-0.75000
4.282,4.537,4.552,3.875,9.95424,-0.75000
