Gmag,G_BPbrmag,G_BPftmag,G_RPmag
13.569,15.352,15.393,12.347
13.542,15.306,15.347,12.325
12.586,13.818,13.867,11.523
12.523,13.731,13.779,11.469
11.970,13.029,13.079,10.976
11.652,12.640,12.690,10.691
11.394,12.340,12.389,10.454
11.134,12.039,12.088,10.214
10.742,11.599,11.647,9.848
10.146,10.945,10.991,9.285
9.598,10.349,10.394,8.765
9.177,9.894,9.938,8.366
9.099,9.809,9.853,8.292
8.835,9.522,9.565,8.042
8.468,9.117,9.159,7.702
8.006,8.596,8.636,7.282
7.487,8.006,8.042,6.819
6.935,7.392,7.423,6.319
6.404,6.802,6.828,5.841
6.332,6.722,6.746,5.778
6.195,6.569,6.592,5.656
6.037,6.393,6.414,5.515
5.894,6.234,6.254,5.388
5.874,6.212,6.232,5.370
5.837,6.172,6.191,5.338
5.674,5.992,6.009,5.193
5.523,5.826,5.842,5.057
5.379,5.668,5.683,4.927
5.353,5.640,5.655,4.904
5.270,5.551,5.565,4.829
5.132,5.402,5.415,4.703
4.994,5.254,5.266,4.577
4.868,5.119,5.131,4.460
4.786,5.033,5.044,4.385
4.728,4.971,4.982,4.331
4.593,4.828,4.839,4.205
4.460,4.689,4.699,4.081
4.333,4.556,4.566,3.962
4.205,4.422,4.432,3.841
4.078,4.291,4.301,3.720
4.069,4.282,4.292,3.712
4.064,4.277,4.287,3.707
3.935,4.144,4.153,3.584
3.808,4.013,4.022,3.462
3.655,3.857,3.866,3.312
3.631,3.833,3.842,3.289
3.585,3.787,3.797,3.243
3.447,3.650,3.660,3.103
3.314,3.522,3.532,2.964
3.290,3.499,3.509,2.938
3.263,3.474,3.485,2.909
3.169,3.388,3.399,2.804
3.088,3.317,3.329,2.709
3.017,3.259,3.271,2.622
2.955,3.212,3.225,2.542
2.901,3.173,3.187,2.469
2.852,3.140,3.155,2.402
2.800,3.103,3.119,2.333
2.729,3.047,3.064,2.246
2.649,2.977,2.995,2.156
2.556,2.891,2.910,2.054
2.519,2.856,2.875,2.015
2.416,2.758,2.777,1.907
2.295,2.642,2.662,1.781
2.183,2.534,2.554,1.666
2.143,2.495,2.515,1.625
2.069,2.423,2.444,1.549
1.963,2.320,2.340,1.440
1.846,2.205,2.226,1.319
1.730,2.092,2.113,1.201
1.617,1.982,2.003,1.086
1.503,1.871,1.893,0.969
1.390,1.760,1.782,0.853
1.274,1.647,1.670,0.734
1.164,1.540,1.563,0.621
1.051,1.430,1.453,0.505
0.936,1.318,1.342,0.387
0.825,1.210,1.234,0.272
0.712,1.100,1.124,0.156
0.599,0.991,1.015,0.040
0.487,0.884,0.908,-0.075
0.376,0.776,0.801,-0.191
0.265,0.669,0.695,-0.305
0.154,0.563,0.589,-0.420
0.042,0.456,0.482,-0.536
-0.067,0.351,0.377,-0.650
-0.179,0.244,0.271,-0.767
-0.285,0.143,0.171,-0.876
-0.389,0.044,0.072,-0.985
-0.493,-0.055,-0.027,-1.093
-0.591,-0.148,-0.119,-1.195
-0.567,-0.126,-0.097,-1.170
-0.541,-0.102,-0.073,-1.142
-0.635,-0.191,-0.162,-1.241
-0.734,-0.284,-0.254,-1.344
-0.832,-0.377,-0.346,-1.447
-0.928,-0.467,-0.436,-1.548
-1.021,-0.554,-0.523,-1.647
-1.117,-0.643,-0.611,-1.749
-1.210,-0.728,-0.694,-1.847
-1.305,-0.815,-0.781,-1.948
-1.413,-0.913,-0.877,-2.064
-1.505,-0.996,-0.960,-2.164
-1.611,-1.089,-1.052,-2.279
-1.700,-1.167,-1.129,-2.375
-1.803,-1.257,-1.217,-2.489
-1.905,-1.345,-1.304,-2.602
-2.007,-1.431,-1.389,-2.715
-2.101,-1.508,-1.465,-2.820
-2.197,-1.591,-1.546,-2.926
-2.289,-1.670,-1.625,-3.028
-2.379,-1.746,-1.700,-3.127
-2.470,-1.822,-1.775,-3.229
-2.552,-1.889,-1.841,-3.322
-2.637,-1.958,-1.910,-3.416
-2.723,-2.029,-1.980,-3.513
-2.799,-2.088,-2.039,-3.599
-2.881,-2.153,-2.104,-3.691
-2.960,-2.216,-2.166,-3.781
-3.037,-2.275,-2.225,-3.868
-3.111,-2.334,-2.283,-3.952
-3.135,-2.353,-2.302,-3.980
0.339,0.619,0.635,-0.101
0.292,0.581,0.597,-0.158
0.287,0.576,0.592,-0.163
0.283,0.572,0.588,-0.166
0.281,0.568,0.585,-0.167
0.279,0.565,0.581,-0.167
0.279,0.562,0.579,-0.165
0.278,0.560,0.576,-0.163
0.279,0.558,0.574,-0.160
0.279,0.555,0.571,-0.156
0.279,0.553,0.569,-0.153
0.279,0.551,0.567,-0.150
0.279,0.549,0.564,-0.148
0.279,0.547,0.562,-0.146
0.278,0.545,0.560,-0.146
0.278,0.545,0.560,-0.146
0.277,0.544,0.559,-0.146
0.276,0.542,0.558,-0.148
0.274,0.541,0.557,-0.151
0.272,0.541,0.556,-0.155
0.269,0.540,0.555,-0.160
0.265,0.539,0.554,-0.167
0.261,0.537,0.553,-0.175
0.258,0.537,0.553,-0.179
0.254,0.535,0.551,-0.188
0.248,0.532,0.549,-0.197
0.241,0.529,0.546,-0.208
0.234,0.525,0.542,-0.219
0.226,0.520,0.537,-0.231
0.218,0.515,0.532,-0.242
0.207,0.508,0.525,-0.258
0.191,0.497,0.515,-0.279
0.173,0.484,0.502,-0.302
0.161,0.474,0.493,-0.317
0.136,0.455,0.474,-0.348
0.099,0.425,0.444,-0.393
0.036,0.372,0.392,-0.466
-0.037,0.310,0.331,-0.551
-0.117,0.241,0.262,-0.641
-0.197,0.170,0.193,-0.732
-0.278,0.098,0.122,-0.821
-0.353,0.031,0.055,-0.903
-0.356,0.027,0.051,-0.907
-0.358,0.026,0.050,-0.908
-0.414,-0.025,-0.001,-0.969
-0.522,-0.124,-0.099,-1.085
-0.617,-0.212,-0.186,-1.187
-0.706,-0.294,-0.267,-1.282
-0.766,-0.350,-0.323,-1.346
-0.734,-0.321,-0.294,-1.312
-0.664,-0.257,-0.230,-1.237
-0.706,-0.294,-0.267,-1.282
-0.806,-0.385,-0.358,-1.390
-0.886,-0.459,-0.431,-1.475
-0.979,-0.545,-0.517,-1.576
-1.076,-0.635,-0.605,-1.679
-1.173,-0.724,-0.694,-1.783
-1.270,-0.813,-0.783,-1.886
-1.366,-0.901,-0.870,-1.989
-1.463,-0.990,-0.957,-2.093
-1.560,-1.077,-1.043,-2.199
-1.656,-1.161,-1.127,-2.304
-1.751,-1.244,-1.208,-2.408
-1.844,-1.324,-1.287,-2.511
-1.938,-1.403,-1.364,-2.615
-2.028,-1.479,-1.439,-2.716
-2.121,-1.556,-1.515,-2.821
-2.214,-1.631,-1.589,-2.926
-2.306,-1.705,-1.660,-3.032
-2.401,-1.783,-1.738,-3.138
-2.490,-1.855,-1.809,-3.238
-2.572,-1.921,-1.875,-3.331
-2.655,-1.988,-1.941,-3.425
-2.778,-2.087,-2.038,-3.566
-3.009,-2.265,-2.215,-3.830
-3.032,-2.282,-2.232,-3.856
-3.070,-2.310,-2.260,-3.900
-3.139,-2.361,-2.310,-3.980
-3.197,-2.402,-2.351,-4.049
-3.208,-2.409,-2.358,-4.061
-3.325,-2.489,-2.438,-4.200
-3.002,-2.250,-2.200,-3.827
-2.719,-2.035,-1.987,-3.501
-2.294,-1.700,-1.656,-3.015
-2.303,-1.706,-1.662,-3.026
-2.493,-1.854,-1.808,-3.244
-2.817,-2.104,-2.056,-3.617
-3.089,-2.305,-2.255,-3.933
-3.258,-2.417,-2.366,-4.135
-3.346,-2.471,-2.419,-4.242
-3.387,-2.493,-2.441,-4.293
-3.409,-2.501,-2.449,-4.322
30.052,30.045,30.036,30.047
