Zini,MH,logAge,Mini,int_IMF,Mass,logL,logTe,logg,label,McoreTP,C_O,period0,period1,period2,period3,period4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,Gmag,G_BPbrmag,G_BPftmag,G_RPmag
0.00049103,-1.50000,9.98900,0.0900000036,1.0816895962,0.090,-3.185,3.4746,5.428,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-5.29e-17,0.00,7.485e-01,2.510e-01,8.884e-05,2.397e-05,2.174e-04,-1.000,4.941e-04,12.732,13.618,15.479,15.520,12.378
0.00049103,-1.50000,9.98900,0.0995635837,1.1674505472,0.100,-2.907,3.5143,5.352,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1.04e-16,0.00,7.471e-01,2.524e-01,8.884e-05,2.397e-05,2.174e-04,-1.000,4.941e-04,12.038,12.710,14.037,14.085,11.612
0.00049103,-1.50000,9.98900,0.1000000015,1.1711064577,0.100,-2.895,3.5160,5.349,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1.07e-16,0.00,7.470e-01,2.525e-01,8.884e-05,2.397e-05,2.174e-04,-1.000,4.941e-04,12.008,12.670,13.980,14.028,11.579
0.00049103,-1.50000,9.98900,0.1149587706,1.2851532698,0.115,-2.677,3.5399,5.286,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1.78e-16,0.00,7.454e-01,2.541e-01,8.884e-05,2.397e-05,2.174e-04,-1.000,4.941e-04,11.461,11.999,13.105,13.154,10.985
0.00049103,-1.50000,9.98900,0.1199999973,1.3193154335,0.120,-2.609,3.5472,5.267,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-2.07e-16,0.00,7.449e-01,2.546e-01,8.884e-05,2.397e-05,2.174e-04,-1.000,4.941e-04,11.293,11.794,12.851,12.900,10.801
0.00049103,-1.50000,9.98900,0.1322551966,1.3951100111,0.132,-2.495,3.5568,5.234,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-2.67e-16,0.00,7.439e-01,2.556e-01,8.884e-05,2.397e-05,2.174e-04,-1.000,4.941e-04,11.008,11.463,12.459,12.508,10.498
0.00049103,-1.50000,9.98900,0.1400000006,1.4384527206,0.140,-2.429,3.5625,5.214,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-3.09e-16,0.00,7.433e-01,2.562e-01,8.884e-05,2.397e-05,2.174e-04,-1.000,4.941e-04,10.842,11.270,12.233,12.282,10.321
0.00049103,-1.50000,9.98900,0.1599999964,1.5372931957,0.160,-2.288,3.5727,5.173,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-4.19e-16,0.00,7.420e-01,2.575e-01,8.884e-05,2.397e-05,2.174e-04,-1.000,4.941e-04,10.491,10.874,11.783,11.831,9.952
0.00049103,-1.50000,9.98900,0.2000000179,1.6938792467,0.200,-2.069,3.5860,5.104,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-6.74e-16,0.00,7.408e-01,2.587e-01,8.884e-05,2.397e-05,2.174e-04,-1.000,4.940e-04,9.941,10.273,11.118,11.165,9.385
0.00049103,-1.50000,9.98900,0.2500000000,1.8403258324,0.250,-1.863,3.5971,5.040,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1.04e-15,0.00,7.407e-01,2.589e-01,8.883e-05,2.397e-05,2.174e-04,-1.000,4.941e-04,9.429,9.720,10.515,10.561,8.860
0.00049103,-1.50000,9.98900,0.3062472045,1.9652582407,0.306,-1.690,3.6066,4.992,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1.48e-15,0.00,7.408e-01,2.587e-01,8.882e-05,2.397e-05,2.174e-04,-1.000,4.941e-04,8.994,9.253,10.009,10.054,8.417
0.00049103,-1.50000,9.98900,0.3459749520,2.0367708206,0.346,-1.590,3.6124,4.968,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1.8e-15,0.00,7.409e-01,2.586e-01,8.879e-05,2.397e-05,2.174e-04,-1.000,4.939e-04,8.744,8.983,9.716,9.761,8.161
0.00049103,-1.50000,9.98900,0.3499999940,2.0434174538,0.350,-1.580,3.6129,4.966,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1.84e-15,0.00,7.409e-01,2.586e-01,8.879e-05,2.397e-05,2.174e-04,-1.000,4.940e-04,8.720,8.957,9.688,9.733,8.137
0.00049103,-1.50000,9.98900,0.3554446399,2.0522520542,0.355,-1.564,3.6142,4.962,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1.9e-15,0.00,7.419e-01,2.576e-01,8.880e-05,2.397e-05,2.174e-04,-1.000,4.939e-04,8.680,8.913,9.639,9.684,8.096
0.00049103,-1.50000,9.98900,0.4000000060,2.1185026169,0.400,-1.440,3.6240,4.928,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-2.48e-15,0.00,7.503e-01,2.492e-01,8.884e-05,2.397e-05,2.174e-04,-1.000,4.941e-04,8.370,8.571,9.260,9.303,7.778
0.00049103,-1.50000,9.98900,0.4500000179,2.1822810173,0.450,-1.269,3.6422,4.880,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-3.66e-15,0.00,7.504e-01,2.491e-01,8.884e-05,2.397e-05,2.174e-04,-1.000,4.941e-04,7.942,8.087,8.709,8.750,7.341
0.00049103,-1.50000,9.98900,0.5000000000,2.2374541759,0.500,-1.077,3.6674,4.836,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-5.68e-15,0.00,7.504e-01,2.491e-01,8.884e-05,2.397e-05,2.174e-04,-1.000,4.942e-04,7.464,7.536,8.073,8.111,6.854
0.00049103,-1.50000,9.98900,0.5500000715,2.2836585045,0.550,-0.872,3.6919,4.770,1,0.000,0.544,0.00,0.00,0.00,0.00,0.00,-1,-9.36e-15,0.00,7.785e-01,2.210e-01,7.947e-05,2.145e-05,1.946e-04,-1.000,4.912e-04,6.951,6.964,7.431,7.464,6.341
0.00049103,-1.50000,9.98900,0.6000000238,2.3211214542,0.600,-0.674,3.7181,4.714,1,0.000,0.544,0.00,0.00,0.00,0.00,0.00,-1,-1.51e-14,0.00,7.874e-01,2.121e-01,7.665e-05,2.070e-05,1.878e-04,-1.000,4.390e-04,6.455,6.426,6.831,6.858,5.859
