Zini,MH,logAge,Mini,int_IMF,Mass,logL,logTe,logg,label,McoreTP,C_O,period0,period1,period2,period3,period4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,Gmag,G_BPbrmag,G_BPftmag,G_RPmag
0.0019443,-0.90000,10.03141,0.0900000036,1.0816895962,0.090,-3.254,3.4369,5.346,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-4.96e-17,0.00,7.442e-01,2.538e-01,3.523e-04,9.504e-05,8.620e-04,-1.000,1.959e-03,12.904,14.259,16.851,16.892,12.883
0.0019443,-0.90000,10.03141,0.1000000015,1.1711064577,0.100,-3.023,3.4693,5.290,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-8.53e-17,0.00,7.433e-01,2.548e-01,3.523e-04,9.504e-05,8.620e-04,-1.000,1.959e-03,12.328,13.427,15.405,15.450,12.152
0.0019443,-0.90000,10.03141,0.1199999973,1.3193154335,0.120,-2.743,3.5029,5.224,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1.6e-16,0.00,7.415e-01,2.565e-01,3.523e-04,9.504e-05,8.621e-04,-1.000,1.959e-03,11.628,12.464,13.938,13.985,11.314
0.0019443,-0.90000,10.03141,0.1400000006,1.4384527206,0.140,-2.557,3.5214,5.179,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-2.4e-16,0.00,7.401e-01,2.579e-01,3.523e-04,9.504e-05,8.621e-04,-1.000,1.959e-03,11.163,11.866,13.134,13.183,10.783
0.0019443,-0.90000,10.03141,0.1599999964,1.5372931957,0.160,-2.416,3.5331,5.142,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-3.24e-16,0.00,7.390e-01,2.590e-01,3.523e-04,9.504e-05,8.621e-04,-1.000,1.959e-03,10.809,11.437,12.606,12.655,10.393
0.0019443,-0.90000,10.03141,0.2000000179,1.6938792467,0.200,-2.196,3.5481,5.080,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-5.16e-16,0.00,7.375e-01,2.605e-01,3.523e-04,9.505e-05,8.621e-04,-1.000,1.959e-03,10.261,10.800,11.862,11.910,9.802
0.0019443,-0.90000,10.03141,0.2500000000,1.8403258324,0.250,-1.991,3.5598,5.018,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-2.61e-16,0.00,7.371e-01,2.609e-01,3.523e-04,9.505e-05,8.621e-04,-1.000,1.959e-03,9.747,10.223,11.212,11.260,9.259
0.0019443,-0.90000,10.03141,0.3000000417,1.9529141188,0.300,-1.830,3.5688,4.972,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1.3e-16,0.00,7.371e-01,2.609e-01,3.523e-04,9.505e-05,8.621e-04,-1.000,1.959e-03,9.346,9.778,10.718,10.766,8.838
0.0019443,-0.90000,10.03141,0.3499999940,2.0434174538,0.350,-1.697,3.5761,4.935,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1.46e-15,0.00,7.457e-01,2.524e-01,3.523e-04,9.504e-05,8.620e-04,-1.000,1.959e-03,9.012,9.411,10.316,10.363,8.490
0.0019443,-0.90000,10.03141,0.4000000060,2.1185026169,0.400,-1.543,3.5874,4.885,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-2.06e-15,0.00,7.460e-01,2.520e-01,3.523e-04,9.504e-05,8.620e-04,-1.000,1.959e-03,8.627,8.980,9.833,9.881,8.087
0.0019443,-0.90000,10.03141,0.4500000179,2.1822810173,0.450,-1.367,3.6037,4.825,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-3.12e-15,0.00,7.460e-01,2.520e-01,3.523e-04,9.504e-05,8.620e-04,-1.000,1.959e-03,8.187,8.479,9.266,9.312,7.626
0.0019443,-0.90000,10.03141,0.5000000000,2.2374541759,0.500,-1.169,3.6290,4.774,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-4.95e-15,0.00,7.460e-01,2.520e-01,3.523e-04,9.504e-05,8.620e-04,-1.000,1.959e-03,7.692,7.902,8.590,8.635,7.110
0.0019443,-0.90000,10.03141,0.5500000715,2.2836585045,0.550,-0.948,3.6626,4.728,1,0.000,0.544,0.00,0.00,0.00,0.00,0.00,-1,-8.26e-15,0.00,7.767e-01,2.216e-01,3.128e-04,8.444e-05,7.662e-04,-1.000,1.763e-03,7.139,7.235,7.795,7.836,6.536
0.0019443,-0.90000,10.03141,0.6000000238,2.3211214542,0.600,-0.746,3.6930,4.686,1,0.000,0.544,0.00,0.00,0.00,0.00,0.00,-1,-1.32e-14,0.00,7.830e-01,2.153e-01,3.052e-04,8.242e-05,7.480e-04,-1.000,1.666e-03,6.635,6.643,7.110,7.145,6.021
0.0019443,-0.90000,10.03141,0.6187871099,2.3334114552,0.618,-0.669,3.7053,4.671,1,0.000,0.544,0.00,0.00,0.00,0.00,0.00,-1,-1.58e-14,0.00,7.856e-01,2.127e-01,3.020e-04,8.157e-05,7.405e-04,-1.000,1.666e-03,6.442,6.425,6.861,6.894,5.830
0.0019443,-0.90000,10.03141,0.6407092810,2.3467097282,0.640,-0.580,3.7193,4.654,1,0.000,0.544,0.00,0.00,0.00,0.00,0.00,-1,-1.95e-14,0.00,7.888e-01,2.095e-01,2.982e-04,8.056e-05,7.314e-04,-1.000,1.666e-03,6.219,6.178,6.582,6.611,5.614
0.0019443,-0.90000,10.03141,0.6499999762,2.3520355225,0.650,-0.542,3.7252,4.645,1,0.000,0.543,0.00,0.00,0.00,0.00,0.00,-1,-2.12e-14,0.00,7.902e-01,2.082e-01,2.965e-04,8.012e-05,7.275e-04,-1.000,1.667e-03,6.125,6.076,6.468,6.496,5.524
