Gmag,G_BPbrmag,G_BPftmag,G_RPmag,logAge,MH
14.070,16.461,16.502,12.727,10.03141,-1.05000
13.210,14.977,15.022,11.983,10.03141,-1.05000
12.317,13.666,13.714,11.208,10.03141,-1.05000
12.270,13.601,13.649,11.167,10.03141,-1.05000
11.700,12.872,12.920,10.655,10.03141,-1.05000
11.285,12.376,12.424,10.275,10.03141,-1.05000
10.657,11.655,11.703,9.689,10.03141,-1.05000
10.087,11.021,11.069,9.152,10.03141,-1.05000
9.652,10.543,10.591,8.738,10.03141,-1.05000
9.296,10.154,10.202,8.400,10.03141,-1.05000
8.874,9.686,9.732,8.006,10.03141,-1.05000
8.376,9.120,9.165,7.548,10.03141,-1.05000
7.789,8.430,8.473,7.029,10.03141,-1.05000
7.137,7.663,7.701,6.465,10.03141,-1.05000
6.557,7.002,7.035,5.955,10.03141,-1.05000
6.382,6.803,6.834,5.801,10.03141,-1.05000
6.183,6.579,6.607,5.625,10.03141,-1.05000
6.001,6.376,6.402,5.464,10.03141,-1.05000
5.998,6.372,6.398,5.461,10.03141,-1.05000
5.866,6.226,6.251,5.342,10.03141,-1.05000
5.705,6.049,6.071,5.199,10.03141,-1.05000
5.557,5.886,5.907,5.067,10.03141,-1.05000
5.464,5.783,5.803,4.983,10.03141,-1.05000
5.443,5.761,5.780,4.964,10.03141,-1.05000
5.332,5.640,5.659,4.864,10.03141,-1.05000
5.226,5.525,5.543,4.768,10.03141,-1.05000
5.124,5.414,5.431,4.675,10.03141,-1.05000
5.022,5.305,5.321,4.581,10.03141,-1.05000
4.921,5.197,5.212,4.488,10.03141,-1.05000
4.901,5.175,5.191,4.469,10.03141,-1.05000
4.898,5.172,5.188,4.467,10.03141,-1.05000
4.778,5.046,5.061,4.355,10.03141,-1.05000
4.665,4.927,4.942,4.248,10.03141,-1.05000
4.554,4.811,4.825,4.143,10.03141,-1.05000
4.439,4.692,4.705,4.034,10.03141,-1.05000
4.279,4.526,4.539,3.881,10.03141,-1.05000
4.213,4.458,4.471,3.818,10.03141,-1.05000
4.065,4.306,4.319,3.673,10.03141,-1.05000
3.939,4.178,4.191,3.550,10.03141,-1.05000
3.935,4.174,4.187,3.546,10.03141,-1.05000
3.873,4.112,4.125,3.485,10.03141,-1.05000
3.740,3.980,3.993,3.350,10.03141,-1.05000
