Zini,MH,logAge,Mini,int_IMF,Mass,logL,logTe,logg,label,McoreTP,C_O,period0,period1,period2,period3,period4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,,mbolmag,Umag,Bmag,Vmag,Rmag,Imag,Jmag,Hmag,Kmag
0.00039019,-1.60000,10.27875,0.0900000036,1.0816895962,0.090,-3.180,3.4797,5.443,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1e-30,0.00,7.467e-01,2.529e-01,7.531e-05,2.032e-05,1.843e-04,-1.000,4.188e-04,12.720,20.015,17.279,15.266,13.596,12.017,10.728,10.432,10.335,
0.00039019,-1.60000,10.27875,0.1000000015,1.1711064577,0.100,-2.869,3.5243,5.356,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1e-30,0.00,7.433e-01,2.563e-01,7.531e-05,2.032e-05,1.843e-04,-1.000,4.189e-04,11.943,17.283,15.434,13.618,12.376,11.238,10.105,9.641,9.502,
0.00039019,-1.60000,10.27875,0.1200000048,1.3193155527,0.120,-2.580,3.5553,5.271,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1e-30,0.00,7.390e-01,2.606e-01,7.531e-05,2.032e-05,1.843e-04,-1.000,4.188e-04,11.221,15.518,14.094,12.508,11.424,10.513,9.485,8.959,8.796,
0.00039019,-1.60000,10.27875,0.1400000006,1.4384527206,0.140,-2.394,3.5705,5.212,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1e-30,0.00,7.361e-01,2.635e-01,7.531e-05,2.032e-05,1.843e-04,-1.000,4.188e-04,10.755,14.598,13.355,11.885,10.868,10.046,9.069,8.522,8.347,
0.00039019,-1.60000,10.27875,0.1599999964,1.5372931957,0.160,-2.247,3.5804,5.163,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1e-30,0.00,7.345e-01,2.651e-01,7.531e-05,2.032e-05,1.843e-04,-1.000,4.188e-04,10.388,13.966,12.825,11.427,10.454,9.678,8.733,8.176,7.994,
0.00039019,-1.60000,10.27875,0.2000000179,1.6938792467,0.200,-2.026,3.5931,5.089,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1e-30,0.00,7.338e-01,2.658e-01,7.531e-05,2.032e-05,1.843e-04,-1.000,4.189e-04,9.834,13.086,12.075,10.765,9.852,9.124,8.218,7.654,7.465,
0.00039019,-1.60000,10.27875,0.2500000000,1.8403258324,0.250,-1.827,3.6042,5.032,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1.01e-30,0.00,7.342e-01,2.654e-01,7.530e-05,2.032e-05,1.843e-04,-1.000,4.188e-04,9.338,12.336,11.421,10.181,9.317,8.624,7.753,7.185,6.997,
0.00039019,-1.60000,10.27875,0.3000000417,1.9529141188,0.300,-1.676,3.6130,4.995,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1e-30,0.00,7.341e-01,2.655e-01,7.528e-05,2.032e-05,1.843e-04,-1.000,4.188e-04,8.960,11.771,10.925,9.738,8.911,8.244,7.398,6.831,6.648,
0.00039019,-1.60000,10.27875,0.3499999940,2.0434174538,0.350,-1.551,3.6208,4.969,1,0.000,0.544,0.00,0.00,0.00,0.00,0.00,-1,-1e-30,0.00,7.335e-01,2.661e-01,7.524e-05,2.032e-05,1.843e-04,-1.000,4.188e-04,8.649,11.304,10.515,9.371,8.577,7.931,7.108,6.541,6.366,
0.00039019,-1.60000,10.27875,0.4000000060,2.1185026169,0.400,-1.401,3.6323,4.922,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1e-30,0.00,7.502e-01,2.494e-01,7.531e-05,2.032e-05,1.843e-04,-1.000,4.188e-04,8.272,10.704,9.999,8.916,8.168,7.554,6.763,6.199,6.036,
