Zini,MH,logAge,Mini,int_IMF,Mass,logL,logTe,logg,label,McoreTP,C_O,period0,period1,period2,period3,period4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,,mbolmag,Gmag,G_BPbrmag,G_BPftmag,G_RPmag
0.00012351,-2.10000,10.05115,0.0969537646,1.1451442242,0.097,-2.909,3.5370,5.433,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-9.56e-17,0.00,7.466e-01,2.533e-01,2.346e-05,6.329e-06,5.740e-05,-1.000,1.305e-04,12.043,12.513,13.627,13.677,11.496,
0.00012351,-2.10000,10.05115,0.1068295985,1.2257492542,0.106,-2.689,3.5649,5.366,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1.64e-16,0.00,7.446e-01,2.553e-01,2.346e-05,6.329e-06,5.740e-05,-1.000,1.304e-04,11.493,11.859,12.797,12.847,10.923,
0.00012351,-2.10000,10.05115,0.1265812516,1.3612058163,0.126,-2.431,3.5899,5.282,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-3e-16,0.00,7.417e-01,2.582e-01,2.346e-05,6.329e-06,5.740e-05,-1.000,1.305e-04,10.848,11.133,11.947,11.993,10.263,
0.00012351,-2.10000,10.05115,0.1463329047,1.4716402292,0.146,-2.262,3.6023,5.226,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-4.39e-16,0.00,7.398e-01,2.601e-01,2.346e-05,6.329e-06,5.740e-05,-1.000,1.304e-04,10.426,10.673,11.434,11.479,9.834,
0.00012351,-2.10000,10.05115,0.1660845429,1.5642192364,0.166,-2.131,3.6103,5.181,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-5.88e-16,0.00,7.388e-01,2.611e-01,2.346e-05,6.329e-06,5.740e-05,-1.000,1.304e-04,10.097,10.321,11.049,11.093,9.502,
0.00012351,-2.10000,10.05115,0.1748906523,1.6009972095,0.174,-2.080,3.6130,5.164,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-6.56e-16,0.00,7.387e-01,2.612e-01,2.346e-05,6.329e-06,5.740e-05,-1.000,1.304e-04,9.970,10.186,10.904,10.948,9.374,
0.00012351,-2.10000,10.05115,0.2055878639,1.7124989033,0.205,-1.922,3.6216,5.110,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-9.25e-16,0.00,7.382e-01,2.616e-01,2.346e-05,6.329e-06,5.740e-05,-1.000,1.304e-04,9.575,9.765,10.450,10.493,8.974,
0.00012351,-2.10000,10.05115,0.2549670041,1.8527730703,0.255,-1.729,3.6319,5.053,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1.38e-15,0.00,7.384e-01,2.614e-01,2.346e-05,6.330e-06,5.740e-05,-1.000,1.304e-04,9.093,9.253,9.900,9.941,8.487,
0.00012351,-2.10000,10.05115,0.3043461442,1.9615367651,0.304,-1.580,3.6406,5.015,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1.86e-15,0.00,7.385e-01,2.614e-01,2.345e-05,6.330e-06,5.740e-05,-1.000,1.304e-04,8.721,8.856,9.474,9.514,8.111,
0.00012351,-2.10000,10.05115,0.3537252247,2.0494811535,0.354,-1.456,3.6485,4.989,1,0.000,0.544,0.00,0.00,0.00,0.00,0.00,-1,-2.37e-15,0.00,7.391e-01,2.607e-01,2.344e-05,6.331e-06,5.740e-05,-1.000,1.304e-04,8.411,8.524,9.117,9.155,7.797,
