Zini,MH,logAge,Mini,int_IMF,Mass,logL,logTe,logg,label,McoreTP,C_O,period0,period1,period2,period3,period4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,,mbolmag,Gmag,G_BPbrmag,G_BPftmag,G_RPmag
0.0019443,-0.90000,9.98900,0.0900000036,1.0816895962,0.090,-3.254,3.4368,5.346,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-4.96e-17,0.00,7.444e-01,2.536e-01,3.523e-04,9.504e-05,8.620e-04,-1.000,1.959e-03,12.905,14.261,16.854,16.895,12.884,
0.0019443,-0.90000,9.98900,0.1000000015,1.1711064577,0.100,-3.024,3.4692,5.290,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-8.53e-17,0.00,7.435e-01,2.545e-01,3.523e-04,9.504e-05,8.620e-04,-1.000,1.959e-03,12.330,13.428,15.409,15.453,12.153,
0.0019443,-0.90000,9.98900,0.1199999973,1.3193154335,0.120,-2.744,3.5028,5.224,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1.6e-16,0.00,7.420e-01,2.560e-01,3.523e-04,9.504e-05,8.620e-04,-1.000,1.959e-03,11.629,12.466,13.941,13.988,11.315,
0.0019443,-0.90000,9.98900,0.1400000006,1.4384527206,0.140,-2.558,3.5213,5.179,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-2.39e-16,0.00,7.407e-01,2.573e-01,3.523e-04,9.504e-05,8.621e-04,-1.000,1.959e-03,11.164,11.868,13.138,13.186,10.785,
0.0019443,-0.90000,9.98900,0.1599999964,1.5372931957,0.160,-2.417,3.5330,5.143,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-3.23e-16,0.00,7.397e-01,2.584e-01,3.523e-04,9.504e-05,8.621e-04,-1.000,1.959e-03,10.812,11.440,12.611,12.659,10.396,
0.0019443,-0.90000,9.98900,0.2000000179,1.6938792467,0.200,-2.199,3.5480,5.082,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-5.12e-16,0.00,7.383e-01,2.598e-01,3.523e-04,9.505e-05,8.621e-04,-1.000,1.959e-03,10.267,10.807,11.869,11.917,9.808,
0.0019443,-0.90000,9.98900,0.2500000000,1.8403258324,0.250,-1.994,3.5598,5.021,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-4.4e-16,0.00,7.378e-01,2.603e-01,3.523e-04,9.505e-05,8.621e-04,-1.000,1.959e-03,9.754,10.230,11.219,11.267,9.266,
0.0019443,-0.90000,9.98900,0.3000000417,1.9529141188,0.300,-1.833,3.5687,4.975,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-2.74e-16,0.00,7.378e-01,2.603e-01,3.523e-04,9.505e-05,8.621e-04,-1.000,1.959e-03,9.352,9.784,10.725,10.772,8.845,
0.0019443,-0.90000,9.98900,0.3499999940,2.0434174538,0.350,-1.698,3.5761,4.937,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1.45e-15,0.00,7.457e-01,2.523e-01,3.523e-04,9.504e-05,8.620e-04,-1.000,1.959e-03,9.016,9.415,10.320,10.368,8.494,
0.0019443,-0.90000,9.98900,0.4000000060,2.1185026169,0.400,-1.545,3.5873,4.886,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-2.04e-15,0.00,7.460e-01,2.520e-01,3.523e-04,9.504e-05,8.620e-04,-1.000,1.959e-03,8.633,8.986,9.840,9.887,8.093,
0.0019443,-0.90000,9.98900,0.4500000179,2.1822810173,0.450,-1.370,3.6034,4.827,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-3.09e-15,0.00,7.460e-01,2.520e-01,3.523e-04,9.504e-05,8.620e-04,-1.000,1.959e-03,8.195,8.488,9.276,9.322,7.634,
0.0019443,-0.90000,9.98900,0.5000000000,2.2374541759,0.500,-1.174,3.6282,4.776,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-4.88e-15,0.00,7.460e-01,2.520e-01,3.523e-04,9.504e-05,8.620e-04,-1.000,1.959e-03,7.705,7.917,8.609,8.653,7.123,
0.0019443,-0.90000,9.98900,0.5500000715,2.2836585045,0.550,-0.957,3.6614,4.732,1,0.000,0.544,0.00,0.00,0.00,0.00,0.00,-1,-8.06e-15,0.00,7.740e-01,2.242e-01,3.163e-04,8.537e-05,7.746e-04,-1.000,1.763e-03,7.161,7.261,7.825,7.866,6.559,
0.0019443,-0.90000,9.98900,0.6000000238,2.3211214542,0.600,-0.758,3.6914,4.692,1,0.000,0.544,0.00,0.00,0.00,0.00,0.00,-1,-1.27e-14,0.00,7.797e-01,2.186e-01,3.093e-04,8.352e-05,7.581e-04,-1.000,1.748e-03,6.666,6.678,7.149,7.184,6.053,
0.0019443,-0.90000,9.98900,0.6247932911,2.3371617794,0.625,-0.659,3.7072,4.674,1,0.000,0.544,0.00,0.00,0.00,0.00,0.00,-1,-1.6e-14,0.00,7.829e-01,2.154e-01,3.055e-04,8.250e-05,7.488e-04,-1.000,1.667e-03,6.418,6.397,6.829,6.861,5.807,
0.0019443,-0.90000,9.98900,0.6488961577,2.3514118195,0.649,-0.564,3.7223,4.655,1,0.000,0.544,0.00,0.00,0.00,0.00,0.00,-1,-2e-14,0.00,7.862e-01,2.122e-01,3.015e-04,8.146e-05,7.395e-04,-1.000,1.667e-03,6.180,6.135,6.533,6.561,5.577,
