Zini,MH,logAge,Mini,int_IMF,Mass,logL,logTe,logg,label,McoreTP,C_O,period0,period1,period2,period3,period4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,,mbolmag,Gmag,G_BPbrmag,G_BPftmag,G_RPmag
0.00024632,-1.80000,10.13830,0.0900000036,1.0816895962,0.090,-3.194,3.4854,5.479,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-2.24e-17,0.00,7.479e-01,2.518e-01,4.823e-05,1.301e-05,1.180e-04,-1.000,2.681e-04,12.754,13.493,15.163,15.206,12.299,
0.00024632,-1.80000,10.13830,0.0981742665,1.1556719542,0.098,-2.897,3.5289,5.394,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-4.03e-17,0.00,7.456e-01,2.541e-01,4.823e-05,1.301e-05,1.180e-04,-1.000,2.682e-04,12.012,12.566,13.752,13.802,11.520,
0.00024632,-1.80000,10.13830,0.1000000015,1.1711064577,0.100,-2.834,3.5381,5.376,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1.2e-16,0.00,7.451e-01,2.547e-01,4.823e-05,1.301e-05,1.180e-04,-1.000,2.683e-04,11.855,12.368,13.483,13.533,11.350,
0.00024632,-1.80000,10.13830,0.1022941843,1.1899896860,0.102,-2.797,3.5419,5.365,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1.3e-16,0.00,7.446e-01,2.551e-01,4.823e-05,1.301e-05,1.180e-04,-1.000,2.682e-04,11.764,12.260,13.347,13.397,11.253,
0.00024632,-1.80000,10.13830,0.1199999973,1.3193154335,0.120,-2.541,3.5689,5.286,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1.81e-16,0.00,7.415e-01,2.583e-01,4.823e-05,1.301e-05,1.180e-04,-1.000,2.682e-04,11.122,11.502,12.425,12.474,10.573,
0.00024632,-1.80000,10.13830,0.1400000006,1.4384527206,0.140,-2.356,3.5838,5.227,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-3.46e-16,0.00,7.391e-01,2.607e-01,4.823e-05,1.301e-05,1.180e-04,-1.000,2.682e-04,10.660,10.984,11.834,11.881,10.094,
0.00024632,-1.80000,10.13830,0.1599999964,1.5372931957,0.160,-2.211,3.5934,5.179,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-5.82e-17,0.00,7.376e-01,2.621e-01,4.823e-05,1.301e-05,1.180e-04,-1.000,2.682e-04,10.297,10.588,11.393,11.439,9.723,
0.00024632,-1.80000,10.13830,0.2000000179,1.6938792467,0.200,-1.990,3.6058,5.104,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-8.07e-16,0.00,7.368e-01,2.629e-01,4.823e-05,1.301e-05,1.180e-04,-1.000,2.682e-04,9.745,9.995,10.748,10.793,9.161,
0.00024632,-1.80000,10.13830,0.2500000000,1.8403258324,0.250,-1.789,3.6168,5.044,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1.46e-16,0.00,7.371e-01,2.626e-01,4.822e-05,1.301e-05,1.180e-04,-1.000,2.682e-04,9.244,9.458,10.167,10.211,8.652,
0.00024632,-1.80000,10.13830,0.3000000417,1.9529141188,0.300,-1.636,3.6258,5.006,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-9.02e-18,0.00,7.372e-01,2.626e-01,4.821e-05,1.301e-05,1.180e-04,-1.000,2.682e-04,8.860,9.046,9.720,9.763,8.263,
