Gmag,G_BPbrmag,G_BPftmag,G_RPmag
13.608,15.461,15.502,12.370
13.172,14.735,14.781,12.003
12.663,13.968,14.016,11.572
11.787,12.841,12.891,10.795
11.259,12.220,12.269,10.311
10.857,11.764,11.813,9.936
10.250,11.094,11.141,9.364
9.702,10.497,10.543,8.844
9.286,10.045,10.091,8.449
9.127,9.872,9.917,8.298
8.949,9.679,9.723,8.129
8.599,9.291,9.334,7.805
8.550,9.236,9.280,7.759
8.052,8.669,8.710,7.310
7.481,8.009,8.046,6.805
6.875,7.333,7.365,6.259
6.295,6.687,6.713,5.740
6.201,6.582,6.607,5.656
6.077,6.444,6.467,5.545
5.961,6.316,6.337,5.441
5.854,6.197,6.218,5.346
5.749,6.082,6.101,5.252
5.706,6.034,6.053,5.214
5.634,5.955,5.974,5.150
5.504,5.813,5.830,5.032
5.377,5.675,5.691,4.916
5.254,5.543,5.558,4.804
5.136,5.416,5.430,4.696
5.079,5.356,5.369,4.644
4.999,5.270,5.284,4.569
4.878,5.142,5.155,4.456
4.768,5.026,5.038,4.353
4.655,4.908,4.920,4.247
4.536,4.783,4.795,4.134
4.387,4.630,4.641,3.993
4.236,4.474,4.486,3.847
4.231,4.468,4.480,3.841
4.202,4.439,4.450,3.814
4.078,4.313,4.324,3.693
3.989,4.222,4.233,3.606
3.952,4.185,4.196,3.569
3.800,4.035,4.046,3.415
3.668,3.907,3.919,3.278
3.644,3.883,3.895,3.252
3.617,3.858,3.870,3.223
3.520,3.769,3.781,3.117
3.436,3.694,3.707,3.022
3.361,3.629,3.643,2.934
3.295,3.575,3.590,2.855
3.234,3.527,3.542,2.780
3.172,3.477,3.494,2.704
3.105,3.422,3.439,2.624
3.018,3.346,3.365,2.525
2.931,3.266,3.286,2.430
2.863,3.203,3.223,2.357
2.827,3.168,3.188,2.319
2.726,3.072,3.093,2.214
2.607,2.958,2.978,2.091
2.498,2.852,2.873,1.979
2.387,2.743,2.764,1.864
2.264,2.623,2.645,1.739
2.142,2.504,2.526,1.614
2.024,2.389,2.411,1.493
1.912,2.279,2.302,1.379
1.794,2.163,2.186,1.258
1.669,2.041,2.064,1.130
1.554,1.930,1.953,1.012
