Zini,MH,logAge,Mini,int_IMF,Mass,logL,logTe,logg,label,McoreTP,C_O,period0,period1,period2,period3,period4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,Gmag,G_BPbrmag,G_BPftmag,G_RPmag
0.010582,-0.15000,10.06070,0.0900000036,1.0816895962,0.090,-3.392,3.3763,5.242,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-4.07e-17,0.00,7.199e-01,2.694e-01,1.919e-03,5.177e-04,4.696e-03,-1.000,1.067e-02,13.250,15.211,18.162,18.209,13.741
0.010582,-0.15000,10.06070,0.0999999940,1.1711063385,0.100,-3.199,3.4043,5.206,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1.1e-17,0.00,7.193e-01,2.700e-01,1.919e-03,5.177e-04,4.696e-03,-1.000,1.067e-02,12.768,14.727,17.664,17.711,13.259
0.010582,-0.15000,10.06070,0.1200000048,1.3193155527,0.120,-2.931,3.4388,5.156,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1.12e-16,0.00,7.182e-01,2.712e-01,1.919e-03,5.177e-04,4.696e-03,-1.000,1.067e-02,12.099,13.780,16.286,16.334,12.385
0.010582,-0.15000,10.06070,0.1400000006,1.4384527206,0.140,-2.750,3.4578,5.117,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1.18e-16,0.00,7.172e-01,2.721e-01,1.919e-03,5.177e-04,4.696e-03,-1.000,1.067e-02,11.646,13.097,15.266,15.314,11.767
0.010582,-0.15000,10.06070,0.1419978589,1.4491298199,0.142,-2.735,3.4592,5.114,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1.23e-16,0.00,7.171e-01,2.722e-01,1.919e-03,5.177e-04,4.696e-03,-1.000,1.067e-02,11.608,13.042,15.184,15.232,11.717
0.010582,-0.15000,10.06070,0.1599999964,1.5372931957,0.160,-2.607,3.4714,5.087,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1.96e-16,0.00,7.164e-01,2.730e-01,1.919e-03,5.177e-04,4.696e-03,-1.000,1.067e-02,11.288,12.587,14.532,14.579,11.304
0.010582,-0.15000,10.06070,0.1999999881,1.6938791275,0.200,-2.385,3.4902,5.036,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-3.52e-16,0.00,7.150e-01,2.744e-01,1.919e-03,5.177e-04,4.696e-03,-1.000,1.067e-02,10.732,11.828,13.488,13.535,10.615
0.010582,-0.15000,10.06070,0.2500000000,1.8403258324,0.250,-2.174,3.5048,4.981,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-6.12e-18,0.00,7.142e-01,2.752e-01,1.919e-03,5.177e-04,4.696e-03,-1.000,1.067e-02,10.205,11.170,12.660,12.708,10.008
0.010582,-0.15000,10.06070,0.3000000119,1.9529139996,0.300,-2.007,3.5152,4.935,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1.96e-16,0.00,7.138e-01,2.755e-01,1.919e-03,5.177e-04,4.696e-03,-1.000,1.067e-02,9.788,10.669,12.056,12.103,9.540
0.010582,-0.15000,10.06070,0.3500000238,2.0434176922,0.350,-1.863,3.5240,4.893,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-5.32e-16,0.00,7.210e-01,2.683e-01,1.919e-03,5.177e-04,4.696e-03,-1.000,1.067e-02,9.427,10.244,11.553,11.600,9.142
