Zini,MH,logAge,Mini,int_IMF,Mass,logL,logTe,logg,label,McoreTP,C_O,period0,period1,period2,period3,period4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,Gmag,G_BPbrmag,G_BPftmag,G_RPmag
0.010582,-0.15000,10.07918,0.0900000036,1.0816895962,0.090,-3.392,3.3764,5.242,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-4.07e-17,0.00,7.198e-01,2.695e-01,1.919e-03,5.177e-04,4.696e-03,-1.000,1.067e-02,13.250,15.211,18.161,18.208,13.741
0.010582,-0.15000,10.07918,0.0939885601,1.1188335419,0.094,-3.313,3.3879,5.227,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-2.2e-17,0.00,7.196e-01,2.698e-01,1.919e-03,5.177e-04,4.696e-03,-1.000,1.067e-02,13.051,15.012,17.956,18.004,13.542
0.010582,-0.15000,10.07918,0.0999999940,1.1711063385,0.100,-3.199,3.4043,5.206,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-6e-18,0.00,7.192e-01,2.701e-01,1.919e-03,5.177e-04,4.696e-03,-1.000,1.067e-02,12.767,14.727,17.663,17.710,13.258
0.010582,-0.15000,10.07918,0.1200000048,1.3193155527,0.120,-2.931,3.4388,5.156,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1.12e-16,0.00,7.180e-01,2.713e-01,1.919e-03,5.177e-04,4.696e-03,-1.000,1.067e-02,12.098,13.779,16.285,16.332,12.384
0.010582,-0.15000,10.07918,0.1400000006,1.4384527206,0.140,-2.750,3.4578,5.117,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-7.28e-17,0.00,7.170e-01,2.723e-01,1.919e-03,5.177e-04,4.696e-03,-1.000,1.067e-02,11.645,13.096,15.265,15.312,11.766
0.010582,-0.15000,10.07918,0.1570816636,1.5239017010,0.157,-2.627,3.4696,5.091,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1.45e-16,0.00,7.162e-01,2.731e-01,1.919e-03,5.177e-04,4.696e-03,-1.000,1.067e-02,11.337,12.655,14.630,14.677,11.366
0.010582,-0.15000,10.07918,0.1599999964,1.5372931957,0.160,-2.607,3.4714,5.087,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1.69e-16,0.00,7.161e-01,2.732e-01,1.919e-03,5.177e-04,4.696e-03,-1.000,1.067e-02,11.287,12.586,14.530,14.578,11.303
0.010582,-0.15000,10.07918,0.1660321802,1.5639930964,0.166,-2.570,3.4746,5.078,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1.7e-16,0.00,7.159e-01,2.735e-01,1.919e-03,5.177e-04,4.696e-03,-1.000,1.067e-02,11.195,12.459,14.356,14.403,11.188
0.010582,-0.15000,10.07918,0.1999999881,1.6938791275,0.200,-2.384,3.4902,5.036,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-3.52e-16,0.00,7.147e-01,2.746e-01,1.919e-03,5.177e-04,4.696e-03,-1.000,1.067e-02,10.730,11.826,13.485,13.532,10.613
0.010582,-0.15000,10.07918,0.2488018274,1.8372750282,0.249,-2.178,3.5045,4.982,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-2.2e-18,0.00,7.139e-01,2.754e-01,1.919e-03,5.177e-04,4.696e-03,-1.000,1.067e-02,10.214,11.182,12.675,12.722,10.018
