Zini,MH,logAge,Mini,int_IMF,Mass,logL,logTe,logg,label,McoreTP,C_O,period0,period1,period2,period3,period4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,,mbolmag,Umag,Bmag,Vmag,Rmag,Imag,Jmag,Hmag,Kmag
0.0015467,-1.00000,10.00000,0.0900000036,1.0816895962,0.090,-3.240,3.4437,5.359,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-5.05e-17,0.00,7.453e-01,2.531e-01,2.929e-04,7.903e-05,7.168e-04,-1.000,1.629e-03,12.869,21.312,18.553,16.543,14.492,12.452,10.790,10.415,10.247,
0.0015467,-1.00000,10.00000,0.0977863967,1.1523448229,0.098,-3.052,3.4702,5.313,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-7.88e-17,0.00,7.445e-01,2.539e-01,2.929e-04,7.903e-05,7.168e-04,-1.000,1.629e-03,12.399,19.603,17.247,15.308,13.623,11.873,10.405,9.949,9.767,
0.0015467,-1.00000,10.00000,0.1000000015,1.1711064577,0.100,-3.001,3.4774,5.301,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-8.88e-17,0.00,7.443e-01,2.541e-01,2.929e-04,7.903e-05,7.168e-04,-1.000,1.629e-03,12.272,19.168,16.912,14.993,13.393,11.722,10.301,9.827,9.642,
0.0015467,-1.00000,10.00000,0.1044454947,1.2072033882,0.104,-2.934,3.4853,5.284,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1.03e-16,0.00,7.439e-01,2.545e-01,2.929e-04,7.903e-05,7.168e-04,-1.000,1.629e-03,12.105,18.657,16.517,14.622,13.112,11.531,10.159,9.667,9.477,
0.0015467,-1.00000,10.00000,0.1199999973,1.3193154335,0.120,-2.720,3.5107,5.232,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1.68e-16,0.00,7.426e-01,2.558e-01,2.929e-04,7.903e-05,7.168e-04,-1.000,1.629e-03,11.569,17.123,15.330,13.538,12.250,10.938,9.705,9.169,8.965,
0.0015467,-1.00000,10.00000,0.1400000006,1.4384527206,0.140,-2.535,3.5285,5.185,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-2.5e-16,0.00,7.413e-01,2.571e-01,2.929e-04,7.903e-05,7.168e-04,-1.000,1.629e-03,11.108,16.058,14.474,12.777,11.598,10.449,9.299,8.744,8.534,
0.0015467,-1.00000,10.00000,0.1599999964,1.5372931957,0.160,-2.395,3.5397,5.148,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-3.38e-16,0.00,7.402e-01,2.582e-01,2.929e-04,7.903e-05,7.168e-04,-1.000,1.629e-03,10.758,15.370,13.899,12.270,11.145,10.085,8.982,8.417,8.206,
0.0015467,-1.00000,10.00000,0.2000000179,1.6938792467,0.200,-2.176,3.5545,5.085,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-5.37e-16,0.00,7.388e-01,2.596e-01,2.929e-04,7.904e-05,7.168e-04,-1.000,1.629e-03,10.211,14.424,13.085,11.544,10.481,9.525,8.479,7.905,7.691,
0.0015467,-1.00000,10.00000,0.2500000000,1.8403258324,0.250,-1.971,3.5660,5.023,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-4.59e-16,0.00,7.383e-01,2.601e-01,2.929e-04,7.904e-05,7.168e-04,-1.000,1.629e-03,9.698,13.623,12.379,10.906,9.887,9.006,8.002,7.420,7.206,
0.0015467,-1.00000,10.00000,0.3000000417,1.9529141188,0.300,-1.811,3.5748,4.978,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-4.06e-16,0.00,7.384e-01,2.600e-01,2.929e-04,7.904e-05,7.168e-04,-1.000,1.629e-03,9.299,13.027,11.846,10.422,9.434,8.602,7.628,7.042,6.828,
