Gmag,G_BPbrmag,G_BPftmag,G_RPmag
15.370,18.285,18.333,13.892
14.909,17.811,17.859,13.432
14.130,16.863,16.910,12.682
13.472,15.879,15.926,12.087
13.406,15.782,15.829,12.027
12.877,15.017,15.064,11.546
12.109,13.961,14.008,10.844
11.402,13.033,13.080,10.195
10.897,12.415,12.462,9.724
10.462,11.895,11.942,9.316
10.016,11.353,11.400,8.903
9.553,10.797,10.844,8.476
9.249,10.429,10.476,8.198
9.052,10.192,10.239,8.018
8.470,9.485,9.532,7.495
7.887,8.772,8.821,6.981
7.530,8.335,8.383,6.672
7.275,8.021,8.069,6.453
6.672,7.282,7.329,5.943
6.616,7.215,7.262,5.895
6.394,6.951,6.997,5.705
6.185,6.707,6.750,5.524
6.119,6.631,6.674,5.468
5.986,6.478,6.521,5.351
5.826,6.297,6.338,5.209
5.678,6.131,6.171,5.078
5.622,6.068,6.108,5.028
5.512,5.946,5.984,4.929
5.374,5.794,5.832,4.803
5.241,5.649,5.685,4.683
5.133,5.530,5.565,4.584
5.002,5.387,5.422,4.464
4.871,5.246,5.279,4.344
4.748,5.114,5.146,4.229
4.625,4.984,5.015,4.114
4.624,4.982,5.014,4.112
4.517,4.870,4.901,4.010
4.388,4.737,4.767,3.887
4.369,4.717,4.747,3.868
4.277,4.623,4.653,3.778
4.187,4.532,4.562,3.689
4.081,4.427,4.457,3.581
4.054,4.402,4.432,3.554
4.022,4.371,4.401,3.521
4.002,4.352,4.382,3.499
3.918,4.276,4.307,3.407
3.847,4.223,4.256,3.319
3.833,4.229,4.263,3.286
3.841,4.256,4.292,3.274
3.846,4.283,4.321,3.259
3.818,4.276,4.315,3.211
3.750,4.225,4.265,3.128
3.713,4.193,4.234,3.086
3.657,4.141,4.183,3.027
3.556,4.046,4.087,2.921
3.432,3.927,3.968,2.793
3.319,3.816,3.858,2.678
3.216,3.716,3.757,2.573
3.110,3.612,3.654,2.464
3.002,3.507,3.549,2.354
2.892,3.400,3.442,2.242
2.792,3.302,3.345,2.139
2.680,3.194,3.237,2.025
2.576,3.094,3.137,1.918
2.473,2.994,3.037,1.812
2.376,2.900,2.943,1.711
2.277,2.806,2.849,1.609
2.178,2.711,2.755,1.507
2.078,2.616,2.660,1.403
1.984,2.526,2.570,1.305
1.890,2.437,2.481,1.208
1.767,2.320,2.365,1.080
1.676,2.234,2.279,0.984
1.557,2.122,2.167,0.860
1.441,2.013,2.058,0.738
1.327,1.906,1.952,0.620
1.222,1.808,1.854,0.509
1.149,1.740,1.786,0.432
1.203,1.789,1.835,0.491
1.284,1.862,1.908,0.577
1.304,1.881,1.926,0.598
1.193,1.778,1.823,0.481
1.083,1.676,1.722,0.365
0.971,1.574,1.621,0.246
0.861,1.473,1.520,0.127
0.754,1.378,1.425,0.013
0.648,1.282,1.330,-0.101
0.542,1.188,1.236,-0.214
0.439,1.097,1.145,-0.325
0.340,1.010,1.059,-0.432
0.240,0.922,0.972,-0.540
0.142,0.835,0.884,-0.645
0.048,0.752,0.801,-0.747
-0.047,0.667,0.717,-0.849
-0.140,0.584,0.634,-0.949
-0.231,0.504,0.554,-1.047
-0.322,0.424,0.474,-1.145
-0.408,0.347,0.397,-1.238
-0.495,0.270,0.320,-1.333
-0.579,0.197,0.247,-1.424
-0.660,0.131,0.181,-1.515
-0.740,0.069,0.120,-1.605
-0.815,0.013,0.064,-1.692
-0.889,-0.042,0.009,-1.777
-0.961,-0.093,-0.042,-1.862
-1.026,-0.136,-0.084,-1.940
-1.092,-0.178,-0.127,-2.018
-1.155,-0.214,-0.163,-2.096
-1.223,-0.243,-0.192,-2.184
-1.289,-0.268,-0.217,-2.270
-1.342,-0.268,-0.217,-2.346
-1.393,-0.264,-0.213,-2.422
-1.438,-0.245,-0.195,-2.491
-1.474,-0.210,-0.161,-2.554
-1.507,-0.169,-0.119,-2.613
-1.528,-0.100,-0.051,-2.662
-1.545,-0.029,0.019,-2.708
-1.551,0.068,0.115,-2.742
-1.552,0.175,0.221,-2.772
-1.543,0.297,0.342,-2.792
-1.521,0.437,0.481,-2.797
-1.493,0.591,0.632,-2.798
-1.440,0.779,0.818,-2.773
-1.383,0.974,1.012,-2.744
-1.335,1.138,1.173,-2.721
-1.284,1.302,1.334,-2.693
-1.228,1.463,1.494,-2.659
-1.173,1.619,1.647,-2.626
-1.138,1.715,1.741,-2.604
0.673,1.228,1.273,-0.015
0.656,1.212,1.257,-0.034
0.648,1.205,1.250,-0.042
0.648,1.204,1.249,-0.041
0.652,1.207,1.252,-0.036
0.657,1.210,1.255,-0.030
0.663,1.214,1.259,-0.023
0.668,1.218,1.262,-0.016
0.673,1.222,1.266,-0.009
0.679,1.225,1.270,-0.003
0.683,1.228,1.273,0.002
0.687,1.231,1.275,0.007
0.690,1.233,1.277,0.011
0.693,1.235,1.279,0.015
0.694,1.236,1.280,0.017
0.695,1.236,1.280,0.018
0.697,1.237,1.281,0.020
0.698,1.238,1.282,0.022
0.698,1.238,1.282,0.022
0.698,1.237,1.281,0.023
0.697,1.236,1.280,0.022
0.695,1.234,1.278,0.020
0.693,1.232,1.275,0.017
0.692,1.231,1.275,0.017
0.691,1.230,1.274,0.015
0.687,1.226,1.270,0.011
0.681,1.221,1.265,0.004
0.674,1.215,1.259,-0.003
0.666,1.208,1.252,-0.012
0.656,1.199,1.244,-0.023
0.643,1.188,1.232,-0.037
0.629,1.176,1.220,-0.053
0.613,1.162,1.207,-0.071
0.599,1.151,1.195,-0.086
0.572,1.127,1.172,-0.117
0.520,1.083,1.128,-0.174
0.439,1.013,1.058,-0.264
0.359,0.945,0.991,-0.353
0.275,0.873,0.920,-0.446
0.195,0.805,0.852,-0.536
0.114,0.737,0.785,-0.626
0.035,0.670,0.718,-0.714
-0.045,0.602,0.651,-0.801
-0.101,0.554,0.602,-0.863
-0.122,0.536,0.585,-0.886
-0.222,0.450,0.499,-0.996
-0.311,0.373,0.422,-1.094
-0.408,0.290,0.340,-1.200
-0.344,0.344,0.394,-1.130
-0.221,0.451,0.500,-0.995
-0.292,0.390,0.439,-1.073
-0.366,0.327,0.376,-1.155
-0.445,0.259,0.309,-1.242
-0.526,0.189,0.239,-1.330
-0.605,0.122,0.172,-1.417
-0.685,0.056,0.106,-1.507
-0.765,-0.008,0.043,-1.598
-0.843,-0.068,-0.017,-1.688
-0.920,-0.127,-0.076,-1.776
-0.994,-0.180,-0.129,-1.862
-1.064,-0.228,-0.177,-1.945
-1.132,-0.272,-0.221,-2.027
-1.174,-0.271,-0.220,-2.094
