NGC_104_47Tuc.txt,NGC_5139_oCen.txt,NGC_5904_M_5.txt,NGC_6139.txt,NGC_6266_M_62.txt,NGC_6273_M_19.txt,NGC_6402_M_14.txt,NGC_6539.txt,NGC_6656_M_22.txt,NGC_6809_M_55.txt,NGC_7078_M_15.txt,NGC_7089_M_2.txt
16955.729102534933,117.56674477855624,19.23268234096258,6.66301849455957,19.482304286492138,64.8421098033962,39.37568815255322,7.510623463933642,62.06399358788465,37.219974585865415,61.315263486047535,1792.9875061369496
17006.282243165984,120.25881355351062,20.22324862766306,7.55461195738462,25.65736292931936,72.66762257946603,1096.9406971576077,9.980740895846155,4728.57558219392,63.55665879276701,3171.43633731859,1811.4804692649434
17044.23113072284,23699.284303614873,4073.3261086758293,235.02548333691885,33.00134918910053,1307.184630394475,1122.5474071353715,10.943488185360826,4769.774558580931,3879.2876871601443,3173.31613071086,1879.506382302991
17120.71082640132,23907.767491438222,4212.867147718682,236.69375329925532,408.1675530792515,1311.5716011868383,1123.2011936110746,274.5116580672308,4851.130374495414,3910.5948178317053,3178.1216736929496,1881.8698781973762
17144.877680742364,24045.063499817545,4293.180294825534,239.37517372791436,425.2454584219566,1316.6869402445272,1127.55932447308,274.9555610308902,4907.176135207525,3991.0159585238266,3178.479437033541,1920.7612738284383
17449.167668239712,24136.35185908607,4406.376902641072,239.55342141592408,427.77918693898926,1331.9855593866341,1134.5996094314123,275.9409936054973,4929.143974109575,4052.7037393107257,3179.4969580877646,1934.1904211530866
17475.97970068677,24463.940230531254,4418.826101805616,241.20497190670199,431.48502373135847,1333.9059211356796,1141.7091381745993,277.3806633745836,5169.229972103618,4102.411678463993,3184.22662182509,1978.3100969890913
18021.687651988592,24547.97942949304,4441.534699439415,242.7245140978723,432.0634119738506,1341.096354645466,1150.3065044750256,285.28936817711366,5403.144671198676,4103.324257263757,3185.8730180750485,1992.9011323514865
18023.588740090596,24800.454606469764,4574.484541041504,243.35416108075285,432.5659043137363,1347.2777796182068,1154.362840458721,288.60158188523064,5405.344070411021,4107.471122657884,3186.518681250918,1998.915631781335
18149.820287049177,25043.64338511415,4585.148250460111,243.5702940674595,439.18159042128974,1349.3402100990552,1159.6384629138504,288.7781005580611,5431.714270029424,4110.4008534286695,3187.7810463501887,2001.8550538425332
